task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
chess_001,001,chessboard,1,chess 001.tif,142cb9a401019717e1cc8cff0d5139c72252f0c4c411a834f8c79e947818277e,114,,914673989235,,1785814165232316400,1458157568328100,60000.0,0.0,Mono8,0,0,2448,2048,True,,63.74153137207031,8.0,59.0,118.0,110.0,0.0001968682981004902,5.185993668300654e-06,65.61432940585942,,True
chess_002,002,chessboard,1,chess 002.tif,05978455ae93eafabfae80d1840fc40c575e8f40d1904b571e59a0a7136655e1,300,,916637677076,,1785814184875202500,1458177210709900,60000.0,0.0,Mono8,0,0,2448,2048,True,,62.84746551513672,7.0,60.0,118.0,111.0,0.00010451771854575163,6.482492085375817e-05,54.77678365505139,,True
chess_003,003,chessboard,1,chess 003.tif,eed5654c9317ce3df057ac5fbdc2a1038937f1a5b51330a11ecfefe8d2bbbd18,157,,917733154515,,1785814195780838700,1458188116733100,60000.0,0.0,Mono8,0,0,2448,2048,True,,62.0766716003418,7.0,57.0,120.0,113.0,0.00011728324142156863,3.6700878267973855e-05,55.58423562280251,,True
chess_004,004,chessboard,1,chess 004.tif,6f72302463a79b26e96a75cd46a97e33d09108b46dcd10e96a2196d3ca7d23b7,246,,919366260876,,1785814212156915300,1458204492714900,60000.0,0.0,Mono8,0,0,2448,2048,True,,60.589019775390625,7.0,56.0,121.0,114.0,0.00011947731566584967,2.273858762254902e-05,55.01638634066592,,True
chess_005,005,chessboard,1,chess 005.tif,cc4794d963c0512816c5a03c2e1720c8e0abb59d870f6172610f5fcf764a53db,1387,,1530274553835,,1785820320950582600,1464316475762900,60000.0,0.0,Mono8,0,0,2448,2048,True,,57.31135177612305,7.0,51.0,116.0,109.0,6.422653696895425e-05,2.0145590788398692e-05,56.15445883139548,,True
chess_006,006,chessboard,1,chess 006.tif,7790ffc2ef502a73dac128164df75b9c51f26d13431114073ab89e1105059d47,448,,1533135947796,,1785820349552957700,1464345077827700,60000.0,0.0,Mono8,0,0,2448,2048,True,,58.769798278808594,6.0,55.0,119.0,113.0,2.5531045751633988e-05,0.002115685955371732,50.48055650254044,,True
chess_007,007,chessboard,1,chess 007.tif,288c2a462efab63b8bb963b3a21aae16716085076f9b70648bf5f67d6f1dd2b7,409,,1535759785635,,1785820375798944700,1464371323691000,60000.0,0.0,Mono8,0,0,2448,2048,True,,59.41407012939453,7.0,55.0,118.0,111.0,0.0,0.00010172526041666667,53.72968905219353,,True
chess_008,008,chessboard,1,chess 008.tif,cb40a0ad7ede4889a2dc0d0cf69ebc420b37b90ad9ebb841ef548f01945f84f2,204,,1537132212636,,1785820389518103500,1464385043417500,60000.0,0.0,Mono8,0,0,2448,2048,True,,60.62376022338867,6.0,58.0,122.0,116.0,1.9946129493464053e-06,0.004936866510927287,52.65151238607976,,True
chess_009,009,chessboard,1,chess 009.tif,c179bfd394580a3b016098f9f66784a595fe3e6a2ddcf6a88e83f546bd10ba89,210,,1538546906876,,1785820403670351400,1464399194962600,60000.0,0.0,Mono8,0,0,2448,2048,True,,60.01820373535156,7.0,59.0,121.0,114.0,2.672781352124183e-05,0.0005688636131535948,66.20123090667988,,True
chess_010,010,chessboard,1,chess 010.tif,4024e19331d7bb810b067f3e0345df786faa3d50a25b9bf5fa46b19a1007e264,168,,1539706546155,,1785820415286887800,1464410811919800,60000.0,0.0,Mono8,0,0,2448,2048,True,,61.13059616088867,7.0,53.0,122.0,115.0,7.659313725490196e-05,4.866855596405229e-05,67.27899943866275,,True
