task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
exposure_01,fixed,exposure_series,1,300us/fixed.png,832abe34268178700b844fd329886dcf43c1b428dfb6a86388d36579705bfb1f,5,,9194571200275,,1786433190266505600,505405546401400,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08230818808078766,0.0,0.0,1.0,23.0,0.0,0.99823486328125,1.858943277897835,0.5686666666666667,
exposure_01,fixed,exposure_series,2,300us/fixed_02.png,86024b281a4dd0ea165554549f9193a015f8503b3649260dc770f4195c1df05c,6,1,9194613676275,,1786433190644786700,505405925246400,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08232364803552628,0.0,0.0,1.0,23.0,0.0,0.998233154296875,1.8530257974502187,0.5686666666666667,
exposure_01,fixed,exposure_series,3,300us/fixed_03.png,13da3dce3244b6ad466d992ba9a8efd9ad22c640a7c5f6aced10dd05fe0640f2,7,1,9194656152275,,1786433191001346100,505406281285900,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08226896077394485,0.0,0.0,1.0,23.0,0.0,0.9982357584635416,1.8471906737374706,0.5683333333333334,
exposure_01,fixed,exposure_series,4,300us/fixed_04.png,4e3301b41c0a8e6fddec43a56b1d3472a59892ef9db10592ac1999df6e974a18,8,1,9194698628275,,1786433191365099700,505406645147400,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08230322599411011,0.0,0.0,1.0,23.0,0.0,0.9982338053385417,1.8527741698488556,0.568,
exposure_01,fixed,exposure_series,5,300us/fixed_05.png,be9d7582fc15823dc2ebb0cf5676d8eb8f6ab50407543a306f071f1f88006de2,9,1,9194741104275,,1786433191730093400,505407009997400,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08229760825634003,0.0,0.0,1.0,23.0,0.0,0.9982339680989584,1.852536214119695,0.5683333333333334,
exposure_01,fixed,exposure_series,6,300us/fixed_06.png,3cd62118adcb4cda0d1fd159c266dbc9f9a96ce9294f875765c41064fcaf52bf,10,1,9194783580275,,1786433192073966800,505407354428100,300.0,0.0,Mono8,0,0,4096,3000,True,,0.0823054164648056,0.0,0.0,1.0,23.0,0.0,0.9982320149739583,1.8583931477241364,0.5676666666666667,
exposure_01,fixed,exposure_series,7,300us/fixed_07.png,3be0870b0ade5a5502dbcd982eba993946edc1e1a8dd8ba747302b75c7674362,11,1,9194826056275,,1786433192491136000,505407771621900,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08225512504577637,0.0,0.0,1.0,23.0,0.0,0.9982338053385417,1.8540161132202169,0.5673333333333334,
exposure_01,fixed,exposure_series,8,300us/fixed_08.png,7ee02f258364cf35c53eced177b4958854aa9b96ca184286e2a4cb1c9a8330cd,12,1,9194868532275,,1786433193136871500,505408416707000,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08228132873773575,0.0,0.0,1.0,23.0,0.0,0.9982371419270833,1.8480903319358835,0.568,
exposure_01,fixed,exposure_series,9,300us/fixed_09.png,bc03f28f314e39823b108b45d0571a5a34ee7a594a90e2b438f3d1dc99480304,13,1,9194911008275,,1786433193775954600,505409055639700,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08226782083511353,0.0,0.0,1.0,23.0,0.0,0.998234375,1.8504536945856322,0.5686666666666667,
exposure_01,fixed,exposure_series,10,300us/fixed_10.png,8f14073d1f2d28ea67d6a482a5b0dfc7cee8921ffa7cc70dac35f5ddf9d9aac8,14,1,9194953484275,,1786433194500756500,505409781731500,300.0,0.0,Mono8,0,0,4096,3000,True,,0.08228206634521484,0.0,0.0,1.0,23.0,0.0,0.9982320963541667,1.8496382648952723,0.5686666666666667,
