exposure_us,dynamic_range_u8_p50,intensity_coverage_fraction,peak_contrast_p50_dn,peak_contrast_p05_dn,global_fwhm_p50_px,global_fwhm_p95_px,contiguous_fwhm_p50_px,contiguous_fwhm_p95_px,interpolated_fwhm_p50_px,interpolated_fwhm_p95_px,steger_aligned_contiguous_fwhm_p50_px,steger_aligned_contiguous_fwhm_p95_px,steger_aligned_interpolated_fwhm_p50_px,steger_aligned_interpolated_fwhm_p95_px,multiple_halfmax_components_fraction,global_exceeds_contiguous_fraction,peak_saturated_fraction,peak_near_saturated_fraction,steger_success_fraction,steger_valid_fraction,steger_common_valid_fraction,steger_response_p50,steger_response_p95,centre_jitter_p50_px,centre_jitter_p95_px
50.0,4.0,0.4142222222222222,18.0,13.0,5.0,10.0,4.0,10.0,4.1666666666667425,9.76625000000005,nan,nan,nan,nan,0.12392703862660945,0.12392703862660945,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
75.0,6.0,0.496,25.0,16.0,5.0,11.0,5.0,11.0,4.75,10.666666666666515,4.0,7.150000000000002,3.5919117647058556,6.623333333333383,0.13709677419354838,0.13709677419354838,0.0,0.0,1.0,0.0022222222222222222,0.002,1.4847396612167358,1.6613860428333282,0.03858490836726621,0.06650146502168269
100.0,9.0,0.5294444444444445,32.0,15.0,5.0,11.0,5.0,11.0,4.571428571428669,10.60714285714289,7.0,11.0,6.857142857142662,10.86153846153843,0.12885624344176286,0.12885624344176286,0.0,0.0,1.0,0.026111111111111113,0.021,1.5124657154083252,2.1624933242797852,0.031140194246185453,0.20872085188173103
150.0,12.0,0.56,43.0,17.0,5.0,11.0,4.0,11.0,4.473611111111154,10.511111111111177,8.0,12.0,8.370915032679704,11.778333333333308,0.12281746031746031,0.12281746031746031,0.0,0.0,1.0,0.07822222222222222,0.07133333333333333,1.8020085096359253,2.7804702043533327,0.028336527383129896,1.2491671905350104
200.0,16.0,0.5653333333333334,58.0,22.0,5.0,11.0,4.0,11.0,4.455508645766031,10.522083333333384,8.0,12.0,8.514475108225042,11.910075757575724,0.11988993710691824,0.11988993710691824,0.0,0.0,1.0,0.10888888888888888,0.10633333333333334,2.298627257347107,3.735272526741028,0.026592951511630387,0.5113709391088888
300.0,24.0,0.5682222222222223,85.0,32.0,5.0,11.0,4.0,10.0,4.4755166217429405,10.343262987013082,8.0,12.0,8.216666666666697,11.791809006211281,0.12064919827923348,0.12064919827923348,0.004888541259288229,0.005279624560031287,1.0,0.11888888888888889,0.11533333333333333,3.4422473907470703,5.46641457080841,0.024513998156550643,0.573196365205213
400.0,32.0,0.5718888888888889,112.0,42.0,5.0,11.0,4.0,10.0,4.458823529411802,10.364103901996373,8.0,12.0,8.24945887445881,11.859073820916024,0.12045851952593743,0.12045851952593743,0.03497182824946571,0.040994754225762584,1.0,0.12066666666666667,0.11766666666666667,4.5285258293151855,7.276986598968506,0.020288039430462822,0.5275317152572372
500.0,39.0,0.5774444444444445,138.0,49.0,5.0,11.0,4.0,10.0,4.431803896920201,10.350967741935573,8.0,12.0,8.32228070175438,11.854716468078493,0.12083894554550702,0.12083894554550702,0.10640754281316143,0.11448912834327496,1.0,0.12222222222222222,0.119,5.616225481033325,9.085506153106689,0.01842222610449342,0.5052390058064237
600.0,47.0,0.5902222222222222,163.0,48.0,5.0,11.0,4.0,10.0,4.316021901827071,10.29618818681307,8.0,12.0,8.268398268398414,11.840147753991799,0.12085843373493976,0.12085843373493976,0.18072289156626506,0.19126506024096385,1.0,0.12433333333333334,0.123,6.7247419357299805,10.60441455841064,0.013933731154078723,0.20864293569057493
800.0,64.0,0.6611111111111111,209.0,14.0,5.0,11.0,4.0,10.0,4.28286183046589,10.233478510192198,8.0,12.0,8.349994429590083,11.849410832632042,0.13680672268907562,0.13680672268907562,0.31983193277310923,0.3299159663865546,1.0,0.12866666666666668,0.12833333333333333,8.858687400817871,14.004538536071776,0.012045526458682497,0.14216836118843146
1000.0,79.0,0.7464444444444444,240.0,14.0,5.0,11.0,4.0,10.0,4.308608058608115,10.484289639351278,9.0,12.0,9.069515858128966,12.076933006535782,0.15882703185471866,0.15882703185471866,0.4617445668353677,0.47290860375111643,1.0,0.12933333333333333,0.12833333333333333,10.026644229888916,15.444828176498413,0.010705319443297221,0.22232713058738787
1200.0,95.0,0.8260000000000001,252.0,14.0,5.0,12.0,4.0,12.0,4.4839872773809475,11.548876399231641,10.0,13.0,10.312665343915342,13.350512233460814,0.19249394673123488,0.19249394673123488,0.5316115146623621,0.5392789884315308,1.0,0.13266666666666665,0.13133333333333333,9.165659427642822,17.150146675109845,0.01162447813965988,0.1171697545961014
