task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
exposure_01,fixed,exposure_series,1,50us/fixed.tif,ce4601737bb7eab0c66e238681f87ce1365cecfac8f31c5d7178893a27fa89dc,5,,9858641170725,,1786433854329208000,506069609286700,50.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.012994466349482536,0.0,0.0,0.0,4.0,0.0,0.999147216796875,0.15773502604036913,0.4146666666666667,
exposure_01,fixed,exposure_series,2,50us/fixed_02.tif,0b6e8dfb069f20e68650fbe46d593e758dabd903c2beeb860bdcf7368876c39b,6,1,9858683646725,,1786433854718949900,506069999026300,50.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.012968180701136589,0.0,0.0,0.0,4.0,0.0,0.9991478678385417,0.15704581705723134,0.414,
exposure_01,fixed,exposure_series,3,50us/fixed_03.tif,0302dd016fcf0c325e561f7d03c24fe682c4b5855ee22ae0859f3d59429b36e0,7,1,9858726122725,,1786433855088181100,506070367755700,50.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.012974446639418602,0.0,0.0,0.0,4.0,0.0,0.9991458333333333,0.1569760742183263,0.414,
exposure_02,fixed,exposure_series,1,75us/fixed.tif,6aa997d5ba30f1c5696861c5d98f51bcaafe6c85977cebbbf0c2ab8410dca751,5,,9860201098400,,1786433855888041500,506071168843600,75.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.022076496854424477,0.0,0.0,0.0,6.0,0.0,0.998937255859375,0.34536409504251747,0.49566666666666664,
exposure_02,fixed,exposure_series,2,75us/fixed_02.tif,43f29f0099ed1cb5a2018ab8570ff34665cc5ade730a155e3ab08901fcb0c591,6,1,9860243574400,,1786433856258128300,506071538479800,75.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.022027751430869102,0.0,0.0,0.0,6.0,0.0,0.9989391276041667,0.34527539061904,0.49633333333333335,
exposure_02,fixed,exposure_series,3,75us/fixed_03.tif,c7793d5b9c4adb1b7179b99b5a86024e0f78e762bcbf1b285f44518e530677fa,7,1,9860286050400,,1786433856773769500,506072054101000,75.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.02204744517803192,0.0,0.0,0.0,6.0,0.0,0.9989373372395833,0.3485488281182179,0.496,
exposure_03,fixed,exposure_series,1,100us/fixed.tif,c0542c76407d0f58b1df2493ca92c630789ef2b09342c6974f8b5fa731373278,5,,9862162165175,,1786433857851946300,506073131980600,100.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.03386970981955528,0.0,0.0,1.0,9.0,0.0,0.99881005859375,0.6252434081897141,0.5306666666666666,
exposure_03,fixed,exposure_series,2,100us/fixed_02.tif,1f4d6c03b69d93bb6cd7667d42d525d596aa53a69760e37092d74becaf377eef,6,1,9862204641175,,1786433858481009500,506073761018200,100.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.033810220658779144,0.0,0.0,1.0,9.0,0.0,0.9988135579427083,0.6217061360653172,0.529,
exposure_03,fixed,exposure_series,3,100us/fixed_03.tif,75881d52cf7e34d29f1e2445ad90592060d4cd1d7f1e2bf1a7108454b1027027,7,1,9862247117175,,1786433859086215200,506074366247200,100.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.03378116711974144,0.0,0.0,1.0,9.0,0.0,0.9988140462239583,0.622902994773759,0.5286666666666666,
exposure_04,fixed,exposure_series,1,150us/fixed.tif,9a8ca5d476609822664192dc5d2b8c44b1e9a6b66d66227dd986d6c4568ff42a,5,,9864585663325,,1786433860275341000,506075555426100,150.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.06005558371543884,0.0,0.0,1.0,12.0,0.0,0.9986763509114583,1.2322089029446635,0.5606666666666666,
exposure_04,fixed,exposure_series,2,150us/fixed_02.tif,8c7ea05a56437829d7ef524beaf8bec61d8571dafc974ca42fa9a4d9aa325fe8,6,1,9864628139325,,1786433860880431300,506076160914400,150.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.06029484048485756,0.0,0.0,1.0,12.0,0.0,0.9986765950520833,1.2429972330729167,0.5596666666666666,
exposure_04,fixed,exposure_series,3,150us/fixed_03.tif,0dcdee2f5662b4d3e4ca43dde4a92049a440a65e52ebdc9ffa59f3189baef076,7,1,9864670615325,,1786433861494748800,506076775280100,150.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.06014599651098251,0.0,0.0,1.0,12.0,0.0,0.9986763509114583,1.2365476073740254,0.5596666666666666,
exposure_05,fixed,exposure_series,1,200us/fixed.tif,b1a4c33658974c60f695a8ff7c53336ce9689a136e9505ac22ecae513a8da7de,5,,9867340876325,,1786433863030547900,506078310922900,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.12422452867031097,0.0,0.0,1.0,16.0,0.0,0.9985145670572917,2.5152872721225945,0.5653333333333334,
exposure_05,fixed,exposure_series,2,200us/fixed_02.tif,7ec7dacf14e8d2aa8ab40e95fcdf7e7424cc91a4142fae0b6556767267713fcf,6,1,9867383352325,,1786433863717240400,506078997567400,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.12435147911310196,0.0,0.0,1.0,16.0,0.0,0.9985159505208333,2.507282226493595,0.5653333333333334,
exposure_05,fixed,exposure_series,3,200us/fixed_03.tif,e8217943e4191009af7f1264e8e1f30fb8d8177cc6fb8d8ad7aec7280042cd83,7,1,9867425828325,,1786433864364097900,506079644533600,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.12453727424144745,0.0,0.0,1.0,16.0,0.0,0.9985143229166666,2.5030684407522794,0.5653333333333334,
exposure_06,fixed,exposure_series,1,300us/fixed.tif,1deab20aa86a6e4d63d707024d7e0cdefa2d7ec08f8140dd9a1b8422b7a50113,5,,9870292056525,,1786433865981718900,506081261614300,300.0,0.0,Mono8,0,0,4096,3000,True,,0.35186833143234253,0.0,0.0,2.0,24.0,7.32421875e-07,0.9981385904947917,5.81048567697819,0.5683333333333334,
exposure_06,fixed,exposure_series,2,300us/fixed_02.tif,6a3e3bcd6af7d8c609d7658f9c4837fb390f7503db161d878261d9a36557e4b6,6,1,9870334532525,,1786433866729669400,506082010068100,300.0,0.0,Mono8,0,0,4096,3000,True,,0.35325610637664795,0.0,0.0,2.0,24.0,6.510416666666666e-07,0.9981370442708334,5.820115966795397,0.568,
exposure_06,fixed,exposure_series,3,300us/fixed_03.tif,020fa78de467c89d085ea0961d91eee876150c9ef05a3e2288cbd0b6866a43e8,7,1,9870377008525,,1786433867486724500,506082766922800,300.0,0.0,Mono8,0,0,4096,3000,True,,0.35292813181877136,0.0,0.0,2.0,24.0,6.510416666666666e-07,0.99813720703125,5.79729654946961,0.5683333333333334,
exposure_07,fixed,exposure_series,1,400us/fixed.tif,cb62b4e848e4ee3768233fb573d3df921d4621eac6d89d06e4892db3eac6739b,5,,9873330068200,,1786433869022299000,506084302304400,400.0,0.0,Mono8,0,0,4096,3000,False,laser_peak_saturated,0.6270285844802856,0.0,0.0,3.0,32.0,5.045572916666667e-06,0.997477783203125,8.174736409398395,0.5716666666666667,
