roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1846,1887,42,41,true,,-1.5892052340479381,1.5892052340479381,0.0,true,false
h001,1.0,2,1848,1885,38,38,true,,-1.5938816144426653,1.5938816144426653,0.002942590607265841,true,false
h001,1.0,3,1849,1884,36,36,true,,-1.5938816144426653,1.5938816144426653,0.002942590607265841,true,false
h001,1.0,4,1850,1883,34,34,true,,-1.5938816144426653,1.5938816144426653,0.002942590607265841,true,false
h010,10.0,0,1909,1940,32,32,true,,-15.491084066102133,1.5491084066102132,0.0,true,false
h010,10.0,2,1911,1938,28,28,true,,-15.491084066102133,1.5491084066102132,0.0,true,false
h010,10.0,3,1912,1937,26,26,true,,-15.491084066102133,1.5491084066102132,0.0,true,false
h010,10.0,4,1913,1936,24,24,true,,-15.462109813983432,1.5462109813983431,0.001870382472592918,true,false
h030,30.0,0,1974,2021,48,48,true,,-47.647005924279625,1.5882335308093207,0.0,true,false
h030,30.0,2,1976,2019,44,44,true,,-47.65404872045235,1.588468290681745,0.00014781193563188186,true,false
h030,30.0,3,1977,2018,42,42,true,,-47.66014918291987,1.5886716394306624,0.00027584647524623733,true,false
h030,30.0,4,1978,2017,40,40,true,,-47.665536461172195,1.5888512153724066,0.00038891293446695314,true,false
