task_id,frame_index,filename,image_height,image_width,seed_row,adaptive_row_threshold,raw_candidate_top,raw_candidate_bottom,margin_before_clip,margin_after_clip,roi_max_height_applied,final_band_top,final_band_bottom
reference,1,images/reference/0001.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,2,images/reference/0002.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,3,images/reference/0003.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,4,images/reference/0004.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,5,images/reference/0005.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,6,images/reference/0006.tif,2048,2448,1353,65.7,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,7,images/reference/0007.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,8,images/reference/0008.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,9,images/reference/0009.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,10,images/reference/0010.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,11,images/reference/0011.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,12,images/reference/0012.tif,2048,2448,1353,66.0,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,13,images/reference/0013.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,14,images/reference/0014.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,15,images/reference/0015.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,16,images/reference/0016.tif,2048,2448,1353,67.8,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,17,images/reference/0017.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,18,images/reference/0018.tif,2048,2448,1353,68.1,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,19,images/reference/0019.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,20,images/reference/0020.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,21,images/reference/0021.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,22,images/reference/0022.tif,2048,2448,1353,67.5,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,23,images/reference/0023.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,24,images/reference/0024.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,25,images/reference/0025.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,26,images/reference/0026.tif,2048,2448,1353,68.1,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,27,images/reference/0027.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,28,images/reference/0028.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,29,images/reference/0029.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,30,images/reference/0030.tif,2048,2448,1353,65.7,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,31,images/reference/0031.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,32,images/reference/0032.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,33,images/reference/0033.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,34,images/reference/0034.tif,2048,2448,1353,66.0,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,35,images/reference/0035.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,36,images/reference/0036.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,37,images/reference/0037.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,38,images/reference/0038.tif,2048,2448,1353,67.5,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,39,images/reference/0039.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,40,images/reference/0040.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,41,images/reference/0041.tif,2048,2448,1353,67.8,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,42,images/reference/0042.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,43,images/reference/0043.tif,2048,2448,1353,67.2,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,44,images/reference/0044.tif,2048,2448,1353,66.0,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,45,images/reference/0045.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,46,images/reference/0046.tif,2048,2448,1353,66.6,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,47,images/reference/0047.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,48,images/reference/0048.tif,2048,2448,1353,67.5,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,49,images/reference/0049.tif,2048,2448,1353,66.3,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
reference,50,images/reference/0050.tif,2048,2448,1353,66.89999999999999,1350,1369,"[1302, 1417]","[1302, 1417]",false,1302,1417
multiheight,1,images/multiheight/0001.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,2,images/multiheight/0002.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,3,images/multiheight/0003.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,4,images/multiheight/0004.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,5,images/multiheight/0005.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,6,images/multiheight/0006.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,7,images/multiheight/0007.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,8,images/multiheight/0008.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,9,images/multiheight/0009.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,10,images/multiheight/0010.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,11,images/multiheight/0011.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,12,images/multiheight/0012.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,13,images/multiheight/0013.tif,2048,2448,1296,75.89999999999999,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,14,images/multiheight/0014.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,15,images/multiheight/0015.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,16,images/multiheight/0016.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,17,images/multiheight/0017.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,18,images/multiheight/0018.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
