roi_id,u,detected_frame_count,detected_frame_fraction,sigma_pixel_px,median_center_position_px
h001,1823,0,0.0,NaN,NaN
h001,1824,0,0.0,NaN,NaN
h001,1825,0,0.0,NaN,NaN
h001,1826,0,0.0,NaN,NaN
h001,1827,0,0.0,NaN,NaN
h001,1828,0,0.0,NaN,NaN
h001,1829,0,0.0,NaN,NaN
h001,1830,0,0.0,NaN,NaN
h001,1831,0,0.0,NaN,NaN
h001,1832,0,0.0,NaN,NaN
h001,1833,0,0.0,NaN,NaN
h001,1834,0,0.0,NaN,NaN
h001,1835,0,0.0,NaN,NaN
h001,1836,0,0.0,NaN,NaN
h001,1837,0,0.0,NaN,NaN
h001,1838,0,0.0,NaN,NaN
h001,1839,0,0.0,NaN,NaN
h001,1840,0,0.0,NaN,NaN
h001,1841,0,0.0,NaN,NaN
h001,1842,0,0.0,NaN,NaN
h001,1843,0,0.0,NaN,NaN
h001,1844,0,0.0,NaN,NaN
h001,1845,0,0.0,NaN,NaN
h001,1846,0,0.0,NaN,NaN
h001,1847,0,0.0,NaN,NaN
h001,1848,0,0.0,NaN,NaN
h001,1849,0,0.0,NaN,NaN
h001,1850,0,0.0,NaN,NaN
h001,1851,0,0.0,NaN,NaN
h010,1879,50,1.0,0.02525608898611699,1343.624884352088
h010,1880,50,1.0,0.02482084922156316,1343.6936100423336
h010,1881,50,1.0,0.02369274783419747,1343.7660645172
h010,1882,50,1.0,0.024251088149280994,1343.8085358291864
h010,1883,50,1.0,0.02440399938900187,1343.8364395052195
h010,1884,50,1.0,0.022521593080370012,1343.8623644635081
h010,1885,50,1.0,0.020045447854094553,1343.8649792149663
h010,1886,50,1.0,0.01659421543761308,1343.8446590080857
h010,1887,50,1.0,0.014480701807551856,1343.8109889104962
h010,1888,50,1.0,0.013941221436133211,1343.783464603126
h010,1889,50,1.0,0.01395442648302049,1343.7699990719557
h010,1890,50,1.0,0.014951139873807567,1343.7948888912797
h010,1891,50,1.0,0.014901225253573626,1343.8582382127643
h010,1892,50,1.0,0.014363179190700126,1343.8980380930007
h010,1893,50,1.0,0.013980685411355363,1343.876629061997
h010,1894,50,1.0,0.015218136244782663,1343.800064176321
h010,1895,50,1.0,0.018615382416920005,1343.70800550282
h010,1896,50,1.0,0.022291947677529667,1343.6456719636917
h010,1897,50,1.0,0.02356399603572729,1343.6278669536114
h010,1898,50,1.0,0.02391191692720116,1343.632020816207
h010,1899,50,1.0,0.023997002001047867,1343.6471142470837
h010,1900,50,1.0,0.021938047958715606,1343.6405036449432
h010,1901,50,1.0,0.019816434404917493,1343.5905376672745
h010,1902,50,1.0,0.01993534184964762,1343.528123319149
h010,1903,50,1.0,0.022875924190392603,1343.513757482171
h010,1904,50,1.0,0.023540135294364415,1343.5232972055674
h010,1905,50,1.0,0.022010467227479832,1343.5133211910725
h010,1906,50,1.0,0.016894579499392336,1343.448361903429
h010,1907,50,1.0,0.019238094742990444,1343.3896425515413
h010,1908,50,1.0,0.02087305195486824,1343.366489008069
h010,1909,50,1.0,0.023206989042813278,1343.3853171020746
h010,1910,50,1.0,0.022369543555905418,1343.394470795989
h010,1911,50,1.0,0.020030925778448703,1343.3856942355633
