parameter_id,sigma,threshold,deriv_thresh,formal_parameters,roi_id,roi_kind,x_left,x_right,y_top,y_bottom,frame_count,roi_width_px,detected_event_count,per_frame_detection_rate_mean,per_frame_detection_rate_p05,per_frame_detection_rate_p50,per_frame_detection_rate_p95,valid_column_fraction_at_0_8,valid_column_fraction_at_0_6,valid_column_fraction_at_0_5,sigma_pixel_column_count,sigma_pixel_p50_px,sigma_pixel_p95_px,median_center_position_px,center_shift_vs_formal_px,sigma_p95_ratio_vs_formal
T30_D0.5,1.5,30.0,0.5,true,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T30_D0.5,1.5,30.0,0.5,true,h010,measurement_piece,1879,1923,,,50,45,2235,0.9933333333333332,0.9777777777777777,1.0,1.0,0.9777777777777777,1.0,1.0,45,0.022289751134972877,0.02629060122115079,1343.5893339514732,0.0,1.0
T30_D0.5,1.5,30.0,0.5,true,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T30_D0.5,1.5,30.0,0.5,true,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T30_D0.4,1.5,30.0,0.4,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T30_D0.4,1.5,30.0,0.4,false,h010,measurement_piece,1879,1923,,,50,45,2235,0.9933333333333332,0.9777777777777777,1.0,1.0,0.9777777777777777,1.0,1.0,45,0.022289751134972877,0.02629060122115079,1343.5893339514732,0.0,1.0
T30_D0.4,1.5,30.0,0.4,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T30_D0.4,1.5,30.0,0.4,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T30_D0.3,1.5,30.0,0.3,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T30_D0.3,1.5,30.0,0.3,false,h010,measurement_piece,1879,1923,,,50,45,2235,0.9933333333333332,0.9777777777777777,1.0,1.0,0.9777777777777777,1.0,1.0,45,0.022289751134972877,0.02629060122115079,1343.5893339514732,0.0,1.0
T30_D0.3,1.5,30.0,0.3,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T30_D0.3,1.5,30.0,0.3,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.5,1.5,25.0,0.5,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.5,1.5,25.0,0.5,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T25_D0.5,1.5,25.0,0.5,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T25_D0.5,1.5,25.0,0.5,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.4,1.5,25.0,0.4,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.4,1.5,25.0,0.4,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T25_D0.4,1.5,25.0,0.4,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T25_D0.4,1.5,25.0,0.4,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.3,1.5,25.0,0.3,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T25_D0.3,1.5,25.0,0.3,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T25_D0.3,1.5,25.0,0.3,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T25_D0.3,1.5,25.0,0.3,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.5,1.5,20.0,0.5,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.5,1.5,20.0,0.5,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T20_D0.5,1.5,20.0,0.5,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T20_D0.5,1.5,20.0,0.5,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.4,1.5,20.0,0.4,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.4,1.5,20.0,0.4,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T20_D0.4,1.5,20.0,0.4,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T20_D0.4,1.5,20.0,0.4,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.3,1.5,20.0,0.3,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T20_D0.3,1.5,20.0,0.3,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T20_D0.3,1.5,20.0,0.3,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T20_D0.3,1.5,20.0,0.3,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.5,1.5,15.0,0.5,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.5,1.5,15.0,0.5,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T15_D0.5,1.5,15.0,0.5,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T15_D0.5,1.5,15.0,0.5,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.4,1.5,15.0,0.4,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.4,1.5,15.0,0.4,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T15_D0.4,1.5,15.0,0.4,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T15_D0.4,1.5,15.0,0.4,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.3,1.5,15.0,0.3,false,h001,measurement_piece,1823,1851,,,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
T15_D0.3,1.5,15.0,0.3,false,h010,measurement_piece,1879,1923,,,50,45,2250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45,0.022289751134972877,0.028346141750808712,1343.5864374041557,-0.002896547317504883,1.0781853755403752
T15_D0.3,1.5,15.0,0.3,false,h030,measurement_piece,1949,1983,,,50,35,1750,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
T15_D0.3,1.5,15.0,0.3,false,background,background_false_positive_control,1823,1851,1180,1280,50,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
