roi_id,u,frame_count,accepted_count,no_intensity_peak_count,intensity_peak_outside_detected_band_count,ridge_response_below_threshold_count,derivative_condition_failed_count,invalid_subpixel_offset_count,no_valid_ridge_candidate_count,other_count,dominant_rejection_reason,full_image_intensity_peak_p50_dn,intensity_peak_outside_band_gate_count,intensity_peak_present_count,derivative_condition_passed_count,ridge_response_passed_count,subpixel_offset_passed_count,max_intensity_p50_dn,max_ridge_response_p50,min_subpixel_offset_p50_px
h001,1823,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,40.0,50,0,0,0,0,7.0,,
h001,1824,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,50.0,50,0,0,0,0,7.0,,
h001,1825,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,48.0,50,0,0,0,0,7.0,,
h001,1826,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,43.0,50,0,0,0,0,7.0,,
h001,1827,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,38.0,50,0,0,0,0,7.0,,
h001,1828,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,46.0,50,0,0,0,0,6.0,,
h001,1829,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,58.0,50,0,0,0,0,6.0,,
h001,1830,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,48.0,50,0,0,0,0,6.0,,
h001,1831,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,47.0,50,0,0,0,0,6.0,,
h001,1832,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,38.0,50,0,0,0,0,7.0,,
h001,1833,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,48.0,50,0,0,0,0,7.0,,
h001,1834,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,50.5,50,0,0,0,0,7.0,,
h001,1835,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,41.0,50,0,0,0,0,7.0,,
h001,1836,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,43.0,50,0,0,0,0,6.0,,
h001,1837,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,37.0,50,0,0,0,0,6.0,,
h001,1838,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,38.0,50,0,0,0,0,6.0,,
h001,1839,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,43.0,50,0,0,0,0,6.0,,
h001,1840,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,58.0,50,0,0,0,0,7.0,,
h001,1841,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,48.0,50,0,0,0,0,8.0,,
h001,1842,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,47.0,50,0,0,0,0,7.0,,
h001,1843,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,47.0,50,0,0,0,0,7.0,,
h001,1844,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,48.0,50,0,0,0,0,7.0,,
h001,1845,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,46.0,50,0,0,0,0,9.0,,
h001,1846,50,0,0,50,0,0,0,0,0,intensity_peak_outside_detected_band,58.0,50,0,0,0,0,8.0,,
