sigma,roi_id,frame_count,roi_width_px,detected_event_count,per_frame_detection_rate_mean,valid_column_fraction_at_0_8,sigma_pixel_p50_px,sigma_pixel_p95_px,median_center_position_px,center_shift_vs_formal_px,sigma_p95_ratio_vs_formal
0.8,h001,50,29,0,0.0,0.0,,,,,
0.8,h010,50,45,2194,0.975111111111111,0.9777777777777777,0.039379482844008565,0.26040494056262653,1343.719470784068,0.13013683259487152,9.904868221618711
0.8,h030,50,35,1736,0.992,0.9714285714285714,0.05005800618807317,0.5801092188330594,1319.0735078938305,0.10471157543361187,17.118338185337038
0.8,background,50,29,0,0.0,0.0,,,,,
1.0,h001,50,29,0,0.0,0.0,,,,,
1.0,h010,50,45,2222,0.9875555555555554,0.9777777777777777,0.031654915286002644,0.0905299422320091,1343.6738573014736,0.08452335000038147,3.4434336997655937
1.0,h030,50,35,1750,1.0,1.0,0.034488563915675806,0.06157820058350181,1319.046666700393,0.07787038199603558,1.8171000015365215
1.0,background,50,29,0,0.0,0.0,,,,,
1.2,h001,50,29,0,0.0,0.0,,,,,
1.2,h010,50,45,2235,0.9933333333333332,0.9777777777777777,0.02642276913886128,0.03687205544284412,1343.6272000074387,0.037866055965423584,1.4024804960785968
1.2,h030,50,35,1750,1.0,1.0,0.026654552104138935,0.04072902396440411,1319.01293979818,0.04414347978308797,1.201865413523115
1.2,background,50,29,0,0.0,0.0,,,,,
1.5,h001,50,29,0,0.0,0.0,,,,,
1.5,h010,50,45,2235,0.9933333333333332,0.9777777777777777,0.022289751134972877,0.02629060122115079,1343.5893339514732,0.0,1.0
1.5,h030,50,35,1750,1.0,1.0,0.02118215526717591,0.03388817375567217,1318.968796318397,0.0,1.0
1.5,background,50,29,0,0.0,0.0,,,,,
2.0,h001,50,29,0,0.0,0.0,,,,,
2.0,h010,50,45,2235,0.9933333333333332,0.9777777777777777,0.016451111411674282,0.020959978990598566,1343.569932937622,-0.01940101385116577,0.7972422849628963
2.0,h030,50,35,1750,1.0,1.0,0.016886202858127294,0.025827134481520117,1318.9611619487405,-0.007634369656443596,0.7621282476810127
2.0,background,50,29,0,0.0,0.0,,,,,
2.5,h001,50,29,0,0.0,0.0,,,,,
2.5,h010,50,45,2235,0.9933333333333332,0.9777777777777777,0.015290877408066018,0.023376433851214108,1343.635270923376,0.04593697190284729,0.8891555447734595
2.5,h030,50,35,1750,1.0,1.0,0.015353744248231303,0.020131380389251833,1318.9653836097568,-0.0034127086400985718,0.594053268682921
2.5,background,50,29,0,0.0,0.0,,,,,
