roi_id,height_mm,trim_px,x_start,x_end,width_px,valid_column_count,available,unavailable_reason,delta_y_median_px,sensitivity_median_px_per_mm,relative_change_vs_trim0,roi_stable,roi_sensitive
h001,1.0,0,1760,1794,35,34,true,,-0.8008996775995456,0.8008996775995456,0.0,false,true
h001,1.0,2,1762,1792,31,30,true,,-0.8053985497029998,0.8053985497029998,0.005617272961000858,false,true
h001,1.0,3,1763,1791,29,28,true,,-0.8070327497782728,0.8070327497782728,0.007657728365067132,false,true
h001,1.0,4,1764,1790,27,26,true,,-0.8266747429713632,0.8266747429713632,0.03218263921527672,false,true
h010,10.0,0,1823,1858,36,36,true,,-8.440951050253489,0.8440951050253489,0.0,true,false
h010,10.0,2,1825,1856,32,32,true,,-8.470908317568387,0.8470908317568387,0.0035490393365092206,true,false
h010,10.0,3,1826,1855,30,30,true,,-8.470908317568387,0.8470908317568387,0.0035490393365092206,true,false
h010,10.0,4,1827,1854,28,28,true,,-8.470908317568387,0.8470908317568387,0.0035490393365092206,true,false
h030,30.0,0,1889,1921,33,33,true,,-25.837718691418104,0.8612572897139368,0.0,true,false
h030,30.0,2,1891,1919,29,29,true,,-25.835864433846382,0.8611954811282128,7.17655298389995e-05,true,false
h030,30.0,3,1892,1918,27,27,true,,-25.835864433846382,0.8611954811282128,7.17655298389995e-05,true,false
h030,30.0,4,1893,1917,25,25,true,,-25.835864433846382,0.8611954811282128,7.17655298389995e-05,true,false
