config_id,baseline_scale_reading,laser_angle_deg,baseline_actual_mm,manual_notes,data_dir,captured_frame_count,valid_frame_count,laser_coverage,laser_fwhm_p50_px,laser_fwhm_p95_px,laser_saturation_fraction,board_reprojection_rmse_px,geometry_score,screening_status,analyzed_at_utc,status,capture_complete,exclude_reason,phaseA_selected
B00_A05,0,5,,,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,invalid_fov,false,laser_out_of_fov,false
B00_A10,0,10,,,data/B00_A10,100,,,,,,,,,,captured,true,,true
B00_A15,0,15,,,data/B00_A15,100,,,,,,,,,,captured,true,,true
B00_A20,0,20,,,data/B00_A20,100,,,,,,,,,,captured,true,,true
B05_A05,5,5,,,data/B05_A05,100,,,,,,,,,,captured,true,,true
B05_A10,5,10,,,data/B05_A10,100,,,,,,,,,,captured,true,,true
B05_A15,5,15,,,data/B05_A15,100,,,,,,,,,,captured,true,,true
B05_A20,5,20,,,data/B05_A20,100,,,,,,,,,,captured,true,,true
B12p5_A05,12.5,5,,,data/B12p5_A05,100,,,,,,,,,,captured,true,,true
B12p5_A10,12.5,10,,,data/B12p5_A10,100,,,,,,,,,,captured,true,,true
B12p5_A15,12.5,15,,,data/B12p5_A15,100,,,,,,,,,,captured,true,,true
B12p5_A20,12.5,20,,,data/B12p5_A20,100,,,,,,,,,,captured,true,,true
