config_id,baseline_scale_reading,laser_angle_deg,status_before,status_after,h1_available_before,h1_status_after,h1_recovered,h1_valid_column_fraction_after,sensitivity_h10_before,sensitivity_h10_after,sensitivity_h10_relative_change_pct,sensitivity_h30_before,sensitivity_h30_after,sensitivity_h30_relative_change_pct,sigma_pixel_h10_p95_before_px,sigma_pixel_h10_p95_after_px,sigma_pixel_h10_p95_delta_px,sigma_pixel_h10_p95_relative_change_pct,sigma_pixel_h30_p95_before_px,sigma_pixel_h30_p95_after_px,sigma_pixel_h30_p95_delta_px,sigma_pixel_h30_p95_relative_change_pct,sensitivity_combined_before_px_per_mm,sensitivity_combined_after_px_per_mm,sensitivity_combined_relative_change_pct,sigma_z_pred_combined_before_mm,sigma_z_pred_combined_after_mm,sigma_z_pred_combined_delta_mm,sigma_z_pred_combined_relative_change_pct,primary_sensitivity_within_1pct,notes
B00_A05,0,5,invalid_fov,invalid_fov,not_applicable,invalid_fov,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,invalid_fov
B00_A10,0,10,warning,warning,false,ok,true,1,1.54910840661021,1.54910840661021,0,1.58867163943066,1.58867163943066,0,0.0327612997239472,0.0327612997239472,0,0,0.0262038754935435,0.0262038754935435,0,0,1.56889002302044,1.56889002302044,0,0.0187970016107226,0.0187973761777284,3.7456700575228e-07,0.00199269550276897,true,
B00_A15,0,15,failed,ok,false,ok,true,1,NaN,1.503982191172,NaN,1.52935177310838,1.52935177310838,0,NaN,0.0287128122955343,NaN,NaN,0.0285874717757294,0.0285874717757294,0,0,NaN,1.51666698214019,NaN,NaN,0.0188102296812126,NaN,NaN,not_comparable,H10 newly available after band fix
B00_A20,0,20,failed,warning,false,ok,true,1,NaN,1.44705892755262,NaN,1.47464397370632,1.47464397370632,0,NaN,0.024367914090239,NaN,NaN,0.020013234785147,0.020013234785147,0,0,NaN,1.46085145062947,NaN,NaN,0.0151904612167131,NaN,NaN,not_comparable,H10 newly available after band fix
B05_A05,5,5,warning,warning,false,ok,true,1,1.24528981797296,1.24514775775272,-0.0114078038855877,1.25720280439238,1.25720280439238,0,0.0160152040567071,0.0159212457346076,-9.3958322099557e-05,-0.586682016456777,0.0196508968747543,0.0196508968747543,0,0,1.25124631118267,1.25117528107255,-0.00567674881324016,0.0142348129836916,0.0141965358838466,-3.82770998449966e-05,-0.268897806306619,true,
B05_A10,5,10,warning,warning,false,ok,true,0.964285714285714,1.21688703982855,1.22123611417231,0.357393431059252,1.23490926065311,1.23490926065311,0,0.0357326896926758,0.028202743735078,-0.00752994595759778,-21.0729895296441,0.0239839114151249,0.0239839114151249,0,0,1.22589815024083,1.22807268741271,0.177383184031389,0.0248055985813288,0.0211861359990513,-0.00361946258227752,-14.5913132086314,true,
B05_A15,5,15,warning,warning,true,ok,false,1,1.18669234298413,1.18669234298413,0,1.19972437588909,1.19972437588909,0,0.0243475779132647,0.0243475779132647,0,0,0.0345621783040578,0.0345621783040578,0,0,1.19320835943661,1.19320835943661,0,0.0247913057901352,0.0247913057901352,0,0,true,
B05_A20,5,20,warning,ok,false,ok,true,1,1.12494616613114,1.12494616613114,0,1.15153527924736,1.15153527924736,0,0.0286034581403477,0.0286034581403477,0,0,0.0228379273666744,0.0228379273666744,0,0,1.13824072268925,1.13824072268925,0,0.0225993035566291,0.0225993035566291,0,0,true,
B12p5_A05,12.5,5,warning,warning,true,ok,false,1,0.934062338877209,0.934062338877209,0,0.939527191557187,0.939527191557187,0,0.0196260543701287,0.0196260543701287,0,0,0.0227699832116122,0.0227699832116122,0,0,0.936794765217198,0.936794765217198,0,0.0230344096835867,0.0230344096835867,0,0,true,
B12p5_A10,12.5,10,warning,warning,true,warning,false,1,0.885506317657348,0.885506317657348,0,0.908323884493908,0.908323884493908,0,0.0339834991569047,0.0339834991569047,0,0,0.0231055944435623,0.0231055944435623,0,0,0.896915101075628,0.896915101075628,0,0.0320483029223718,0.0320483029223718,0,0,true,
B12p5_A15,12.5,15,warning,warning,false,unavailable,false,0.96551724137931,0.847090831756839,0.847090831756839,0,0.861195481128213,0.861195481128213,0,0.0295378094424912,0.0295378094424912,0,0,0.0285546814023051,0.0285546814023051,0,0,0.854143156442526,0.854143156442526,0,0.034325101941555,0.034325101941555,0,0,true,"H1 remains unavailable: trim sensitivity >= 2%, not band truncation"
B12p5_A20,12.5,20,warning,warning,true,ok,false,1,0.811736236370211,0.811736236370211,0,0.818701579976899,0.818701579976899,0,0.0255133794248552,0.0255133794248552,0,0,0.0190634076677178,0.0190634076677178,0,0,0.815218908173555,0.815218908173555,0,0.0274621287902365,0.0274621287902365,0,0,true,
