config_id,status,capture_complete,exclude_reason,phaseA_selected,dataset_path,dataset_exists,manifest_exists,manifest_status,manifest_frame_count,frames_csv_exists,frames_csv_row_count,reference_manifest_frames,reference_csv_frames,reference_image_count,multiheight_manifest_frames,multiheight_csv_frames,multiheight_image_count,missing_image_count,extra_image_count,exposure_us_values,reference_exposure_us_values,multiheight_exposure_us_values,gain_db_values,pixel_format_values,width_values,height_values,offset_x_values,offset_y_values,camera_parameters_consistent_within_dataset,camera_parameters_match_mode,camera_mismatch_fields,quality_passed_frame_count,quality_warning_frame_count,quality_warning_occurrence_count,quality_warning_counts,transport_warning_occurrence_count,audit_warning_count,audit_warnings,audit_error_count,audit_errors
B00_A05,invalid_fov,false,laser_out_of_fov,false,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B00_A05,false,false,,,false,,,,,,,,,,,,,,,,,,,false,false,,,,,,,0,[],0,[]
B00_A10,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B00_A10,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,0,100,150,"{""dynamic_range_low"": 50, ""laser_peak_saturated"": 100}",0,1,"[""quality_warning_frames:100""]",0,[]
B00_A15,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B00_A15,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,50,50,50,"{""dynamic_range_low"": 50}",0,1,"[""quality_warning_frames:50""]",0,[]
B00_A20,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B00_A20,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,100,0,0,{},0,0,[],0,[]
B05_A05,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B05_A05,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,0,100,100,"{""dynamic_range_low"": 50, ""laser_peak_saturated"": 50}",0,1,"[""quality_warning_frames:100""]",0,[]
B05_A10,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B05_A10,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1200.0,1200.0,1200.0,0.0,Mono8,2448,2048,0,0,true,false,exposure_us,50,50,50,"{""dynamic_range_low"": 50}",0,2,"[""quality_warning_frames:50"", ""camera_parameters_differ_from_mode:exposure_us""]",0,[]
B05_A15,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B05_A15,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,100,0,0,{},0,0,[],0,[]
B05_A20,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B05_A20,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,100,0,0,{},0,0,[],0,[]
B12p5_A05,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B12p5_A05,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,17,83,83,"{""laser_peak_saturated"": 83}",0,1,"[""quality_warning_frames:83""]",0,[]
B12p5_A10,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B12p5_A10,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,50,50,50,"{""dynamic_range_low"": 50}",0,1,"[""quality_warning_frames:50""]",0,[]
B12p5_A15,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B12p5_A15,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1500.0,1500.0,1500.0,0.0,Mono8,2448,2048,0,0,true,true,,50,50,50,"{""dynamic_range_low"": 50}",0,1,"[""quality_warning_frames:50""]",0,[]
B12p5_A20,captured,true,,true,D:\Docs\linelaserscan\calibration_tool\experiments\geometry_baseline_angle\data\B12p5_A20,true,true,completed,100,true,100,50,50,50,50,50,50,0,0,1900.0,1900.0,1900.0,0.0,Mono8,2448,2048,0,0,true,false,exposure_us,100,0,0,{},0,1,"[""camera_parameters_differ_from_mode:exposure_us""]",0,[]
