config_id,baseline_scale_reading,laser_angle_deg,matrix_x_index,matrix_y_index,status,phase_a_valid,fov_status,primary_quality_status,primary_warnings,all_warnings,needs_manual_review,h1_status,h1_valid_column_fraction,h1_detectability,reference_cv_interior_rmse_px,reference_cv_interior_p95_px,sensitivity_h1,sensitivity_h10,sensitivity_h30,sensitivity_combined_px_per_mm,sigma_pixel_h10_p95_px,sigma_pixel_h30_p95_px,sigma_z_pred_h10_p95_mm,sigma_z_pred_h30_p95_mm,sigma_z_pred_combined_mm,roi_trim_change_h10,roi_trim_change_h30,candidate_role,candidate_selection_reason
B00_A05,0,5,0,0,invalid_fov,false,invalid_fov,excluded,[],[],false,invalid_fov,NaN,invalid_fov,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_selected,not retained by the hierarchical Phase-A screen
B05_A05,5,5,1,0,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,1,available,0.127430940276437,0.242585220546488,1.32074979263882,1.24514775775272,1.25720280439238,1.25117528107255,0.0159212457346076,0.0196508968747543,0.0128619903533022,0.0155310814143911,0.0141965358838466,0.00197774668512421,0.00108610167465807,recommended_primary,lowest sigma_z_pred_combined among valid configs; H1 available; primary metrics complete
B12p5_A05,12.5,5,2,0,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,1,available,0.119596509048766,0.240330238867614,0.971537056726163,0.934062338877209,0.939527191557187,0.936794765217198,0.0196260543701287,0.0227699832116122,0.0218317033921843,0.0242371159749892,0.0230344096835867,0.00625653086309445,0.0014732993384781,not_selected,not retained by the hierarchical Phase-A screen
B00_A10,0,10,0,1,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,1,available,0.196410808011682,0.331485208200178,1.59388161444267,1.54910840661021,1.58867163943066,1.56889002302044,0.0327612997239472,0.0262038754935435,0.0210476319071985,0.0165471204482582,0.0187973761777284,0.00187038247259292,0.000388912934466953,recommended_validation_candidate,high sensitivity and third-lowest sigma_z_pred_combined; retains a diagnostic-only plateau warning
B05_A10,5,10,1,1,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,0.964285714285714,available,0.174406906384863,0.309665100271161,1.35809319841337,1.22123611417231,1.23490926065311,1.22807268741271,0.028202743735078,0.0239839114151249,0.0229097750548585,0.0194624969432442,0.0211861359990513,0.00297074243202436,0.000426686600699357,not_selected,not retained by the hierarchical Phase-A screen
B12p5_A10,12.5,10,2,1,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,warning,1,warning/unavailable,0.140047206318523,0.263847224338292,0.958909928898152,0.885506317657348,0.908323884493908,0.896915101075628,0.0339834991569047,0.0231055944435623,0.0386400365281341,0.0254565693166095,0.0320483029223718,0,0,not_selected,not retained by the hierarchical Phase-A screen
B00_A15,0,15,0,2,ok,true,captured_in_fov,clean,[],[],false,ok,1,available,0.199246621989488,0.372683666464491,1.64621309002314,1.503982191172,1.52935177310838,1.51666698214019,0.0287128122955343,0.0285874717757294,0.0189811360323171,0.018639323330108,0.0188102296812126,0.000682536657562987,0.000347091324726089,recommended_validation_candidate,clean status with sensitivity and sigma_z close to B00_A10; tests warning-free alternative
B05_A15,5,15,1,2,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,1,available,0.195928311904841,0.344183449029742,1.28540357760926,1.18669234298413,1.19972437588909,1.19320835943661,0.0243475779132647,0.0345621783040578,0.0206177808972716,0.0289648306829988,0.0247913057901352,0.000778869452982696,0,not_selected,not retained by the hierarchical Phase-A screen
B12p5_A15,12.5,15,2,2,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min"", ""formal_roi_trim_sensitive""]",false,unavailable,0.96551724137931,warning/unavailable,0.167667228092241,0.313905466015103,NaN,0.847090831756839,0.861195481128213,0.854143156442526,0.0295378094424912,0.0285546814023051,0.0355854500710352,0.0330647538120747,0.034325101941555,0.00354903933650922,7.17655298389995e-05,not_selected,not retained by the hierarchical Phase-A screen
B00_A20,0,20,0,3,warning,true,captured_in_fov,pass_with_diagnostic_warning,"[""stable_plateau_width_below_min""]","[""stable_plateau_width_below_min""]",false,ok,1,available,0.257719108988564,0.415923562854664,1.53844588247466,1.44705892755262,1.47464397370632,1.46085145062947,0.024367914090239,0.020013234785147,0.0168571797266371,0.0135237427067892,0.0151904612167131,0.000967379919114016,0.000807644094987093,recommended_backup,second-lowest sigma_z_pred_combined with substantially higher sensitivity than the primary
