config_id,reference_x_left,reference_x_right,h1_x_left,h1_x_right,h10_x_left,h10_x_right,h30_x_left,h30_x_right,all_rois_inside_reference,roi_status
B00_A05,,,,,,,,,false,invalid_fov
B00_A10,1047,2251,1846,1887,1909,1940,1974,2021,true,confirmed
B00_A15,1057,2255,1855,1888,1913,1951,1973,2018,true,confirmed
B00_A20,1063,2254,1858,1895,1911,1954,1980,2020,true,confirmed
B05_A05,984,2161,1788,1820,1851,1876,1913,1949,true,confirmed
B05_A10,1010,2189,1800,1833,1857,1899,1923,1957,true,confirmed
B05_A15,1049,2208,1823,1851,1879,1923,1949,1983,true,confirmed
B05_A20,1078,2251,1863,1901,1926,1961,1989,2023,true,confirmed
B12p5_A05,1002,2176,1786,1813,1839,1861,1910,1935,true,confirmed
B12p5_A10,1013,2171,1769,1802,1829,1861,1894,1923,true,confirmed
B12p5_A15,993,2142,1760,1794,1823,1858,1889,1921,true,confirmed
B12p5_A20,935,2236,1711,1744,1771,1807,1836,1862,true,confirmed
