config_id,baseline_scale_reading,laser_angle_deg,sensitivity_combined_px_per_mm,sigma_z_pred_combined_mm,candidate_role
B05_A05,5.0,5,1.25117528107255,0.0141965358838466,recommended_primary
B12p5_A05,12.5,5,0.936794765217198,0.0230344096835867,not_selected
B00_A10,0.0,10,1.56889002302044,0.0187973761777284,recommended_validation_candidate
B05_A10,5.0,10,1.22807268741271,0.0211861359990513,not_selected
B12p5_A10,12.5,10,0.896915101075628,0.0320483029223718,not_selected
B00_A15,0.0,15,1.51666698214019,0.0188102296812126,recommended_validation_candidate
B05_A15,5.0,15,1.19320835943661,0.0247913057901352,not_selected
B12p5_A15,12.5,15,0.854143156442526,0.034325101941555,not_selected
B00_A20,0.0,20,1.46085145062947,0.0151904612167131,recommended_backup
B05_A20,5.0,20,1.13824072268925,0.0225993035566291,not_selected
B12p5_A20,12.5,20,0.815218908173555,0.0274621287902365,not_selected
