config_id,baseline_scale_reading,laser_angle_deg,status,reference_cv_interior_rmse_px,reference_cv_interior_p95_px,sensitivity_h1,sensitivity_h10,sensitivity_h30,sensitivity_combined_px_per_mm,sigma_pixel_h10_p95_px,sigma_pixel_h30_p95_px,sigma_z_pred_h10_p95_mm,sigma_z_pred_h30_p95_mm,sigma_z_pred_combined_mm,roi_trim_change_h10,roi_trim_change_h30,warnings,needs_manual_review
B00_A05,0,5,invalid_fov,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,false
B00_A10,0,10,warning,0.19641080801168237,0.3314852082001778,NaN,1.5491084066102132,1.5886716394306624,1.5688900230204377,0.03276129972394723,0.026203875493543544,0.02104688277318701,0.0165471204482582,0.018797001610722605,0.001870382472592918,0.00038891293446695314,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",false
B00_A15,0,15,failed,0.1992466219894876,0.3726836664644906,NaN,NaN,1.5293517731083834,NaN,NaN,0.028587471775729446,NaN,0.018639323330108048,NaN,NaN,0.0003470913247260892,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",true
B00_A20,0,20,failed,0.2577191089885644,0.4159235628546639,NaN,NaN,1.4746439737063233,NaN,NaN,0.02001323478514703,NaN,0.013523742706789174,NaN,NaN,0.0008076440949870929,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",true
B05_A05,5,5,warning,0.1274309402764365,0.24258522054648776,NaN,1.2452898179729572,1.257202804392375,1.2512463111826662,0.01601520405670714,0.019650896874754305,0.012938544552992166,0.015531081414391119,0.014234812983691641,0.0021246197638159717,0.001086101674658066,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",false
B05_A10,5,10,warning,0.17440690638486273,0.309665100271161,NaN,1.216887039828555,1.2349092606531145,1.2258981502408348,0.03573268969267577,0.02398391141512493,0.030148700219413523,0.019462496943244173,0.024805598581328848,0.0034974203279712207,0.00042668660069935735,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",false
B05_A15,5,15,warning,0.19592831190484072,0.3441834490297424,1.2854035776092587,1.1866923429841336,1.1997243758890894,1.1932083594366114,0.024347577913264692,0.0345621783040578,0.020617780897271565,0.02896483068299883,0.0247913057901352,0.0007788694529826961,0.0,"[""stable_plateau_width_below_min""]",false
B05_A20,5,20,warning,0.20770353337247377,0.3571705759400743,NaN,1.1249461661311444,1.1515352792473625,1.1382407226892535,0.028603458140347746,0.022837927366674435,0.025323691287845004,0.019874915825413227,0.022599303556629115,0.002520302549208468,0.001792834807583785,"[""stable_plateau_width_below_min"", ""formal_roi_valid_column_fraction_low"", ""roi_trim_sensitivity_unavailable"", ""no_object_columns"", ""no_common_columns""]",false
B12p5_A05,12.5,5,warning,0.11959650904876587,0.2403302388676138,0.971537056726163,0.9340623388772087,0.9395271915571868,0.9367947652171977,0.019626054370128692,0.022769983211612218,0.021831703392184303,0.02423711597498919,0.02303440968358675,0.006256530863094451,0.0014732993384780984,"[""stable_plateau_width_below_min""]",false
B12p5_A10,12.5,10,warning,0.14004720631852266,0.2638472243382921,0.9589099288981515,0.8855063176573481,0.9083238844939084,0.8969151010756282,0.033983499156904726,0.02310559444356232,0.03864003652813407,0.025456569316609473,0.03204830292237177,0.0,0.0,"[""stable_plateau_width_below_min""]",false
B12p5_A15,12.5,15,warning,0.16766722809224094,0.31390546601510316,NaN,0.8470908317568387,0.8611954811282128,0.8541431564425257,0.029537809442491212,0.028554681402305087,0.03558545007103524,0.033064753812074715,0.03432510194155498,0.0035490393365092206,7.17655298389995e-05,"[""stable_plateau_width_below_min"", ""formal_roi_trim_sensitive""]",false
B12p5_A20,12.5,20,warning,0.19955275075981957,0.3935157187250182,0.9622327020117609,0.8117362363702114,0.8187015799768991,0.8152189081735552,0.025513379424855237,0.019063407667717847,0.031407845624836526,0.023516411955636533,0.02746212879023653,0.004438023873602181,0.0028265918083874475,"[""stable_plateau_width_below_min""]",false
