case_id,role,mode,frame_count,opportunity_count,valid_count,valid_fraction,region_start_p50_px,region_end_p50_px,region_size_p50_px,boundary_clearance_p05_px,response_mean,response_p50,response_p95,paired_vs_stable_count,center_shift_vs_stable_p50_px,center_shift_vs_stable_p95_px,center_shift_vs_stable_max_px,same_floor_candidate_vs_stable_fraction
B05_A10_boundary_sensitive_h10,boundary-sensitive positive,current,50,2150,2150,1.0,793.0,895.0,102.0,2.9889017089270054,3.9097807945207106,3.7826544046401978,5.6749692201614375,2150,0.06119142472743988,0.15316273244097828,0.20281963795423508,0.9162790697674419
B05_A10_boundary_sensitive_h10,boundary-sensitive positive,proposed,50,2150,2150,1.0,793.0,942.0,149.0,50.133650072664025,4.427969535007033,4.156993389129639,6.077477121353149,2150,0.0,0.0,0.0,1.0
B05_A10_boundary_sensitive_h10,boundary-sensitive positive,stable_reference,50,2150,2150,1.0,745.0,943.0,198.0,51.133650072664025,4.427969535007033,4.156993389129639,6.077477121353149,2150,0.0,0.0,0.0,1.0
B05_A10_h1_truncation,known truncation positive,current,50,1700,0,0.0,793.0,895.0,102.0,,,,,0,,,,
B05_A10_h1_truncation,known truncation positive,proposed,50,1700,1657,0.9747058823529412,793.0,942.0,149.0,39.068096461892125,4.363312199379064,4.391053199768066,5.38583402633667,1657,0.0,0.0,0.0,1.0
B05_A10_h1_truncation,known truncation positive,stable_reference,50,1700,1657,0.9747058823529412,745.0,943.0,198.0,40.068096461892125,4.363312199379064,4.391053199768066,5.38583402633667,1657,0.0,0.0,0.0,1.0
B05_A10_full_scanlines,full-frame alternate-ridge audit,current,50,122400,31759,0.259468954248366,793.0,895.0,102.0,3.527875527739525,11.419678250883527,11.887272834777832,20.97023468017578,31735,0.0,0.05538227856159208,2.3049713554792106,0.9907357806837876
B05_A10_full_scanlines,full-frame alternate-ridge audit,proposed,50,122400,66086,0.5399183006535948,793.0,942.0,149.0,28.333994783461094,11.592278150131948,11.50300931930542,21.7015962600708,66086,0.0,0.0,0.0,1.0
B05_A10_full_scanlines,full-frame alternate-ridge audit,stable_reference,50,122400,66086,0.5399183006535948,745.0,943.0,198.0,29.333994783461094,11.592278150131948,11.50300931930542,21.7015962600708,66086,0.0,0.0,0.0,1.0
B12p5_A10_normal_reference,normal negative control,current,50,122400,53276,0.43526143790849675,908.0,1024.0,116.0,32.90260309726,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.0,0.0,0.0,1.0
B12p5_A10_normal_reference,normal negative control,proposed,50,122400,53276,0.43526143790849675,899.0,1024.0,125.0,40.872497979551554,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.0,0.0,0.0,1.0
B12p5_A10_normal_reference,normal negative control,stable_reference,50,122400,53276,0.43526143790849675,860.0,1072.0,212.0,80.90260309726,15.203356422947659,15.10170316696167,24.759713649749756,53276,0.0,0.0,0.0,1.0
