case_id,role,from_expansion_px,to_expansion_px,opportunity_count,paired_count,paired_fraction,from_valid_fraction,to_valid_fraction,valid_fraction_delta,center_shift_p50_px,center_shift_p95_px,center_shift_max_px,same_floor_candidate_fraction,response_ratio_p50,response_ratio_p95
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,8,16,122400,47657,0.3893545751633987,0.38973856209150326,0.47410130718954246,0.08436274509803922,0.0,1.1842812731862067,1.6708178371191025,0.8012673898902575,1.0,1.8300646358527248
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,16,32,122400,58030,0.47410130718954246,0.47410130718954246,0.5387418300653595,0.064640522875817,0.0,0.00027702823281288075,0.8816355466842651,0.9930897811476822,1.0,1.0007341835248829
B05_A10_full_scanlines,Stage 2A boundary-sensitive positive,32,48,122400,65942,0.5387418300653595,0.5387418300653595,0.5399183006535948,0.001176470588235294,0.0,0.0,0.19624558091163635,1.0,1.0,1.0
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,8,16,2150,2150,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,16,32,2150,2150,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_boundary_sensitive_h10,isolated boundary-sensitive H10 ROI,32,48,2150,2150,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,8,16,122400,53276,0.43526143790849675,0.43526143790849675,0.43526143790849675,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,16,32,122400,53276,0.43526143790849675,0.43526143790849675,0.43526143790849675,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B12p5_A10_normal_reference,normal negative control,32,48,122400,53276,0.43526143790849675,0.43526143790849675,0.43526143790849675,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_h1_truncation,known H1 truncation,8,16,1700,1494,0.8788235294117647,0.9029411764705882,0.9747058823529412,0.07176470588235294,0.25588998943567276,0.3912029966711998,0.4596689632162452,1.0,1.0585877629916722,1.2670783182389738
B05_A10_h1_truncation,known H1 truncation,16,32,1700,1657,0.9747058823529412,0.9747058823529412,0.9747058823529412,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B05_A10_h1_truncation,known H1 truncation,32,48,1700,1657,0.9747058823529412,0.9747058823529412,0.9747058823529412,0.0,0.0,0.0,0.0,1.0,1.0,1.0
