image_id,split,tracking_ok,movement_method,template_consensus_ratio,median_correlation,median_dx_px,median_dy_px,median_displacement_px,p95_displacement_px,max_displacement_px,excluded_from_fit
1,train,True,short_exposure_nolaser_to_laser,1.0,0.9665153920650482,0.0,0.0,0.0,0.0,0.0,False
2,train,True,short_exposure_nolaser_to_laser,1.0,0.940339058637619,0.0,0.0,0.0,0.0,1.0,False
3,train,False,unresolved,0.011363636363636364,,,,,,,False
4,train,True,short_exposure_nolaser_to_laser,0.9545454545454546,0.9341542422771454,0.0,0.0,0.0,0.0,1.0,False
5,train,True,short_exposure_nolaser_to_laser,0.9431818181818182,0.9646649956703186,0.0,0.0,0.0,0.0,1.0,False
6,train,True,short_exposure_nolaser_to_laser,0.9659090909090909,0.86630779504776,0.0,0.0,0.0,0.0,0.0,False
7,train,True,short_exposure_nolaser_to_laser,0.9659090909090909,0.7910333275794983,0.0,0.0,0.0,0.7999999999999972,1.4142135623730951,False
8,train,False,unresolved,0.0,,,,,,,False
9,train,True,short_exposure_nolaser_to_laser,0.9659090909090909,0.9215235710144043,0.0,0.0,0.0,0.0,0.0,False
10,train,True,short_exposure_nolaser_to_laser,1.0,1.0,-14.0,-14.0,19.79898987322333,19.79898987322333,19.79898987322333,False
11,train,True,short_exposure_nolaser_to_laser,0.9204545454545454,0.9543063640594482,0.0,0.0,0.0,0.0,1.0,False
12,train,True,short_exposure_nolaser_to_laser,1.0,0.925955593585968,0.0,0.0,0.0,0.0,1.0,False
13,train,True,short_exposure_nolaser_to_laser,0.9772727272727273,0.9408744871616364,1.0,-2.0,2.23606797749979,2.23606797749979,2.23606797749979,False
14,train,True,short_exposure_nolaser_to_laser,0.9772727272727273,0.9537452757358551,0.0,0.0,0.0,0.0,1.0,False
15,train,True,short_exposure_nolaser_to_laser,0.9659090909090909,0.9677762985229492,0.0,0.0,0.0,0.0,0.0,False
16,train,True,short_exposure_nolaser_to_laser,0.9431818181818182,0.9317137002944946,0.0,0.0,0.0,0.0,0.0,False
17,train,False,unresolved,0.011363636363636364,,,,,,,False
18,train,True,short_exposure_nolaser_to_laser,1.0,0.8719841837882996,0.0,0.0,0.0,0.6499999999999915,1.0,False
19,validation,True,short_exposure_nolaser_to_laser,0.9886363636363636,0.8299196362495422,0.0,0.0,0.0,1.0,1.0,False
20,validation,True,short_exposure_nolaser_to_laser,1.0,0.9554567337036133,0.0,0.0,0.0,0.0,1.0,False
21,validation,False,unresolved,0.32954545454545453,,,,,,,False
22,validation,True,short_exposure_nolaser_to_laser,0.9659090909090909,0.9529104232788086,0.0,0.0,0.0,1.0,1.0,False
