dataset,split,pose,frame_count,exposure_us,search_mode,peak_p50_dn,peak_p95_dn,saturation_fraction,near_saturation_fraction,fwhm_p50_px,fwhm_p95_px,valid_fraction,response_p50,frame_index,filename,search_start_px,search_end_px
laser_plane,fit,001,1,200.0,auto,35.0,91.0,0.0,0.0,3.3333333333333357,4.3781565656565675,0.09233333333333334,4.117178916931152,1,fit/laser 001.tif,2109.0,2216.0
laser_plane,fit,002,1,200.0,auto,121.0,182.0,0.0020408163265306124,0.0020408163265306124,1.9935427968655794,2.5230432717916766,0.49,19.50512981414795,1,fit/laser 002.tif,1953.0,2063.0
laser_plane,fit,003,1,200.0,auto,87.0,128.5,0.0,0.0,4.01218161683278,5.880903665814152,0.19033333333333333,10.578071594238281,1,fit/laser 003.tif,1773.0,1890.0
laser_plane,fit,004,1,200.0,auto,112.0,186.0,0.009668508287292817,0.011049723756906077,2.8315806527630514,3.8550238645685746,0.4826666666666667,17.28654384613037,1,fit/laser 004.tif,1849.0,1953.0
laser_plane,fit,005,1,200.0,auto,110.0,178.0,0.003351206434316354,0.003351206434316354,2.787607316162749,3.7067262751473273,0.49733333333333335,17.22664451599121,1,fit/laser 005.tif,1879.0,1982.0
laser_plane,fit,006,1,200.0,auto,121.0,200.0,0.011494252873563218,0.013522650439486139,2.1446428571428555,2.8384084682440838,0.493,19.352121353149414,1,fit/laser 006.tif,2046.0,2150.0
laser_plane,fit,007,1,200.0,auto,123.0,201.0,0.006574621959237344,0.008547008547008548,2.19811746987952,3.327380952380949,0.507,20.076690673828125,1,fit/laser 007.tif,2026.0,2142.0
laser_plane,fit,008,1,200.0,auto,111.0,170.54999999999995,0.0018633540372670807,0.002484472049689441,2.3319081825847583,3.0339585274930045,0.5366666666666666,17.842490196228027,1,fit/laser 008.tif,2020.0,2126.0
laser_plane,fit,009,1,200.0,auto,119.0,202.0,0.008252063015753939,0.009752438109527382,2.2171717171717162,3.479230769230763,0.44433333333333336,19.13511085510254,1,fit/laser 009.tif,2048.0,2152.0
laser_plane,fit,010,1,200.0,auto,168.0,255.0,0.09658068386322735,0.10197960407918416,1.8368055555555571,2.3014359086579312,0.5556666666666666,26.005273818969727,1,fit/laser 010.tif,1966.0,2077.0
laser_plane,fit,011,1,200.0,auto,32.0,37.0,0.0,0.0,3.74603174603174,4.575000000000003,0.02033333333333333,3.4903807640075684,1,fit/laser 011.tif,2083.0,2184.0
laser_plane,fit,012,1,200.0,auto,112.0,173.04999999999995,0.002380952380952381,0.002380952380952381,2.388948306595367,4.003896103896107,0.42,18.251850128173828,1,fit/laser 012.tif,2068.0,2173.0
laser_plane,fit,013,1,200.0,auto,103.0,172.0,0.00850546780072904,0.009113001215066828,2.5042857142857144,3.321439988582847,0.5486666666666666,16.677939414978027,1,fit/laser 013.tif,2049.0,2170.0
laser_plane,fit,014,1,200.0,auto,106.0,174.0,0.005555555555555556,0.006349206349206349,2.421840927906974,3.6731730769230735,0.42,17.21568489074707,1,fit/laser 014.tif,2080.0,2186.0
laser_plane,fit,015,1,200.0,auto,34.0,166.74999999999994,0.0,0.0,3.7040043290043343,4.61201923076923,0.04066666666666666,3.714180111885071,1,fit/laser 015.tif,2083.0,2185.0
laser_plane,fit,016,1,200.0,auto,96.0,149.25,0.0,0.0,3.147681451612904,4.7101044932079414,0.23866666666666667,13.993563175201416,1,fit/laser 016.tif,1796.0,1920.0
laser_plane,fit,017,1,200.0,auto,98.5,171.0,0.0,0.0,2.0700549450549453,3.9268382352941167,0.07,15.750306606292725,1,fit/laser 017.tif,2083.0,2184.0
laser_plane,fit,018,1,200.0,auto,116.0,187.3499999999999,0.002818489289740699,0.002818489289740699,2.264436439179633,3.10414548022599,0.5913333333333334,18.76639747619629,1,fit/laser 018.tif,2048.0,2152.0
laser_plane,validation,019,1,200.0,auto,123.0,207.54999999999995,0.0087248322147651,0.010067114093959731,2.1917827130852316,3.5011427717019834,0.49666666666666665,20.124975204467773,1,validation/laser 019.tif,2040.0,2155.0
laser_plane,validation,020,1,200.0,auto,104.0,170.0,0.0034317089910775567,0.0034317089910775567,2.489001081860799,3.335377506265665,0.4856666666666667,16.914316177368164,1,validation/laser 020.tif,2076.0,2183.0
laser_plane,validation,021,1,200.0,auto,169.0,255.0,0.1148018648018648,0.12237762237762238,1.7990335589197848,2.2532834288080794,0.572,25.9473934173584,1,validation/laser 021.tif,1960.0,2064.0
laser_plane,validation,022,1,200.0,auto,116.5,180.0,0.0005995203836930455,0.0017985611510791368,2.0636363636363626,2.5647913253351717,0.556,18.38844394683838,1,validation/laser 022.tif,1907.0,2010.0
laser_plane,validation,023,1,200.0,auto,109.0,173.0,0.003989361702127659,0.004654255319148936,2.486484538784067,3.4594562466446783,0.5013333333333333,17.848401069641113,1,validation/laser 023.tif,2082.0,2186.0
laser_plane,validation,024,1,200.0,auto,152.0,232.0,0.027860106698280974,0.03260225251926497,2.005882352941171,2.530402772902768,0.5623333333333334,23.817583084106445,1,validation/laser 024.tif,1907.0,2025.0
obs/.chessboard.inprogress,fit,001,1,200.0,hard_roi,98.0,160.0,0.0012492192379762648,0.0018738288569643974,2.721153846153868,3.5569155446756326,0.5336666666666666,15.624238014221191,1,fit/laser 001.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,001,1,200.0,hard_roi,98.0,159.0,0.0012484394506866417,0.0018726591760299626,2.7106411556751198,3.5652670083184943,0.534,15.633211135864258,2,fit/laser 001_02.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,002,1,200.0,hard_roi,102.0,165.20000000000005,0.002277904328018223,0.002277904328018223,2.6331578947368257,3.6965714285714055,0.439,16.28627586364746,1,fit/laser 002.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,002,1,200.0,hard_roi,102.0,166.0,0.00228310502283105,0.00228310502283105,2.6241144395168874,3.6776097570065756,0.438,16.29103660583496,2,fit/laser 002_02.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,003,1,200.0,hard_roi,103.0,165.70000000000005,0.001530221882172915,0.001530221882172915,2.582922824302159,3.597319897729,0.43566666666666665,16.49555015563965,1,fit/laser 003.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,003,1,200.0,hard_roi,103.0,165.0,0.002291825821237586,0.002291825821237586,2.5973684210526358,3.630944822373385,0.43633333333333335,16.438434600830078,2,fit/laser 003_02.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,004,1,200.0,hard_roi,103.0,163.0,0.0027008777852802163,0.0027008777852802163,2.5723905723905887,3.6000000000000227,0.49366666666666664,16.392133712768555,1,fit/laser 004.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,004,1,200.0,hard_roi,104.0,164.5999999999999,0.002686366689053056,0.002686366689053056,2.572097691535646,3.6099604743082736,0.49633333333333335,16.466550827026367,2,fit/laser 004_02.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,005,1,200.0,hard_roi,104.0,167.0,0.0006609385327164573,0.0013218770654329147,2.6018518518518476,3.624969696969695,0.5043333333333333,16.489980697631836,1,fit/laser 005.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,005,1,200.0,hard_roi,104.0,167.0,0.0013253810470510272,0.0019880715705765406,2.611615044247799,3.603525641025646,0.503,16.482267379760742,2,fit/laser 005_02.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,006,1,200.0,hard_roi,103.0,171.0,0.006093845216331505,0.007312614259597806,2.5670634920634825,3.71777003484317,0.547,16.584989547729492,1,fit/laser 006.tif,1760.0,2240.0
obs/.chessboard.inprogress,fit,006,1,200.0,hard_roi,104.0,174.0,0.005484460694698354,0.006703229737964655,2.5530405405405077,3.724637681159436,0.547,16.642839431762695,2,fit/laser 006_02.tif,1760.0,2240.0
obs/test,fit,001,1,200.0,hard_roi,95.0,159.75,0.0033222591362126247,0.004429678848283499,2.741336898395673,5.55416666666666,0.602,15.570005416870117,1,fit/laser 001.tif,1760.0,2240.0
obs/test,fit,001,1,200.0,hard_roi,95.0,159.0,0.003869541182974019,0.004975124378109453,2.7424242424242493,5.647142857142852,0.603,15.559971809387207,2,fit/laser 001_02.tif,1760.0,2240.0
obs/test,fit,002,1,200.0,hard_roi,94.0,165.0,0.0066518847006651885,0.007206208425720621,2.7695791527313247,5.570714285714271,0.6013333333333334,15.673264980316162,1,fit/laser 002.tif,1760.0,2240.0
obs/test,fit,002,1,200.0,hard_roi,94.0,166.0,0.006043956043956044,0.006043956043956044,2.7701887435930246,5.583333333333314,0.6066666666666667,15.60474157333374,2,fit/laser 002_02.tif,1760.0,2240.0
obs/test,fit,003,1,200.0,hard_roi,92.0,157.0,0.0027901785714285715,0.0033482142857142855,2.7945161265973866,5.295625000000004,0.5973333333333334,14.934277057647705,1,fit/laser 003.tif,1760.0,2240.0
obs/test,fit,003,1,200.0,hard_roi,92.0,157.44999999999982,0.003386004514672686,0.003386004514672686,2.7893543956043914,5.261428571428568,0.5906666666666667,15.006973266601562,2,fit/laser 003_02.tif,1760.0,2240.0
obs/test,fit,004,1,200.0,hard_roi,87.0,157.79999999999995,0.00463768115942029,0.00463768115942029,2.8531506849315065,5.06583333333333,0.575,14.074997901916504,1,fit/laser 004.tif,1760.0,2240.0
obs/test,fit,004,1,200.0,hard_roi,88.0,158.0,0.004651162790697674,0.004651162790697674,2.850971713471722,5.125416666666666,0.5733333333333334,14.093104839324951,2,fit/laser 004_02.tif,1760.0,2240.0
obs/test,fit,005,1,200.0,hard_roi,91.0,158.0,0.002180232558139535,0.002180232558139535,2.924168494152042,6.104910714285708,0.45866666666666667,15.963820934295654,1,fit/laser 005.tif,1760.0,2240.0
obs/test,fit,005,1,200.0,hard_roi,90.0,159.54999999999995,0.002158273381294964,0.002158273381294964,2.934578313199154,6.096250000000026,0.4633333333333333,15.861734867095947,2,fit/laser 005_02.tif,1760.0,2240.0
