task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_001_01_chess,001,chess,1,fit/chess 001.tif,dc084e4ca801b33c4199d2ad086bffdcebd976588c15d7df9517c1e3ca4e9e6d,44,,4139392834075,,1787292440793435600,520038754428600,120000.0,0.0,Mono8,0,0,4096,3000,True,,71.94776916503906,8.0,54.0,166.0,158.0,0.0003212890625,1.3834635416666668e-06,75.66500015945945,,True
fit_001_02_laser,001,laser,1,fit/laser 001.tif,83bc324fb93b71ac05490a489e0eb73fa56da08caab61d14a3e0090d64645de2,178,,4146482966075,,1787292447884139700,520045844526700,600.0,0.0,Mono8,0,0,4096,3000,True,,0.26411280035972595,0.0,0.0,2.0,22.0,1.7903645833333333e-06,0.997774658203125,14.471782958974298,0.9796666666666667,
fit_001_02_laser,001,laser,2,fit/laser 001_02.tif,cf3dfde708cf7fe42ea3da12283a2fe5b365c5b23222b3827edeb6dd879bf6af,179,,4146525442075,,1787292448269971200,520046230454400,600.0,0.0,Mono8,0,0,4096,3000,True,,0.26395857334136963,0.0,0.0,2.0,22.0,1.8717447916666666e-06,0.9977726236979166,14.445704752593624,0.978,
fit_001_02_laser,001,laser,3,fit/laser 001_03.tif,ce9ae36abc7d5397788e4328cfb1592fbcd90a681616a09cafa33e2ca0c01588,180,,4146567918075,,1787292448282975500,520046243304500,600.0,0.0,Mono8,0,0,4096,3000,True,,0.2640838325023651,0.0,0.0,2.0,22.0,1.953125e-06,0.9977713216145834,14.44391666666537,0.98,
fit_001_02_laser,001,laser,4,fit/laser 001_04.tif,98bda737c55f8b117783c2fc5ae66e546ef39ca049439f61eb14e216ed19de03,181,,4146610394075,,1787292448300973200,520046261339500,600.0,0.0,Mono8,0,0,4096,3000,True,,0.26390543580055237,0.0,0.0,2.0,22.0,1.953125e-06,0.997770263671875,14.481270263671075,0.979,
fit_001_02_laser,001,laser,5,fit/laser 001_05.tif,b3fbfc9df4025ff10cb388421494c37094af180bb09d2cad7a82b833b9f452ca,182,,4146652870075,,1787292448307973500,520046268726800,600.0,0.0,Mono8,0,0,4096,3000,True,,0.264229416847229,0.0,0.0,2.0,22.0,1.8717447916666666e-06,0.9977718912760417,14.473512858038562,0.9796666666666667,
fit_002_01_chess,002,chess,1,fit/chess 002.tif,cdba4c88ef0a2156a9c69f2f15183ada0b8e4f3452db7f58b8a6f141cfd2d368,578,,4189462210075,,1787292490862339500,520088823255600,120000.0,0.0,Mono8,0,0,4096,3000,True,,76.23821258544922,8.0,56.0,182.0,174.0,0.000356201171875,3.255208333333333e-07,83.80810489896048,,True
fit_002_02_laser,002,laser,1,fit/laser 002.tif,306d323fbf0cec1cfc4e1b6ba4961969b02a3fe720ae6a73334455c79fccbf80,728,,4196299726075,,1787292497700179700,520095660718300,600.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.2946109175682068,0.0,0.0,2.0,18.0,3.2552083333333335e-06,0.9978426920572917,14.25214811197875,0.939,
fit_002_02_laser,002,laser,2,fit/laser 002_02.tif,3607020b2c7c81407722bfe7ea56bdc9e6a7373b7fb53bbd7d18b9976ba614e3,729,,4196342202075,,1787292498138155000,520096099116100,600.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.2945222854614258,0.0,0.0,2.0,19.0,3.0924479166666666e-06,0.9978456217447916,14.266973632785398,0.939,
fit_002_02_laser,002,laser,3,fit/laser 002_03.tif,a8ef5649c8ca2539f71cac252a747d4b78e895bbededa2d7dbae49162f87ce70,730,,4196384678075,,1787292498151170700,520096111536900,600.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.294666588306427,0.0,0.0,2.0,19.0,3.0924479166666666e-06,0.9978426106770834,14.256993652319965,0.9393333333333334,
fit_002_02_laser,002,laser,4,fit/laser 002_04.tif,b9bab6f7feb1b4b7822ba248e333f6ba07d2403063f6bba486957a0c3f719e56,731,,4196427154075,,1787292498169173600,520096129539400,600.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.2945258915424347,0.0,0.0,2.0,19.0,3.0110677083333333e-06,0.9978438313802084,14.252394042949401,0.939,
