task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_001_01_chess,001,chess,1,fit/chess 001.tif,c93ac8d198eb2dc296189212fb23f1ce6bccd6c9d5f32055541a2ab97a342669,80,,2467119738350,,1786582594669705500,44552792033300,100000.0,0.0,Mono8,0,0,4096,3000,True,,48.43700408935547,5.0,38.0,106.0,101.0,2.2786458333333335e-06,0.013384602864583333,38.729477616667566,,True
fit_001_03_laser,001,laser,1,fit/laser 001.tif,a15612cb7ebad0e5c9e3f2a3db5549dc49b5c773a9581f768271ac2c6184aa3e,338,,2479116786350,,1786582606671964000,44564793505200,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.09110213071107864,0.0,0.0,1.0,8.0,1.3020833333333333e-06,0.99863232421875,8.508478108588529,0.726,
fit_002_01_chess,002,chess,1,fit/chess 002.tif,87957a5372df047840435d1c31e34db694e888ceed02ade661e5368a226853c6,510,,2495635820350,,1786582623186282700,44581308027000,100000.0,0.0,Mono8,0,0,4096,3000,True,,50.58386993408203,5.0,39.0,118.0,113.0,3.271484375e-05,0.013057047526041667,42.09010082653918,,True
fit_002_03_laser,002,laser,1,fit/laser 002.tif,7b250b20ecee14b91fd90c075f4b512129a4c89df229449c2e456c8d13abfe5b,707,,2504349672350,,1786582631899443900,44590021890400,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.09601562470197678,0.0,0.0,1.0,9.0,2.0345052083333333e-06,0.9985572102864584,9.289192220036822,0.781,
fit_003_01_chess,003,chess,1,fit/chess 003.tif,ce51265cb7599741448680242d9d00dfe85ae72c06012d527f41b1eab678f6bb,1146,,2547552678350,,1786582675102234100,44633224564500,100000.0,0.0,Mono8,0,0,4096,3000,True,,49.3265266418457,6.0,36.0,118.0,112.0,3.914388020833333e-05,0.004012776692708333,41.13771971614821,,True
fit_003_03_laser,003,laser,1,fit/laser 003.tif,0de98014a96e8433d407f5f15abae3904e30a72c8d30a97da075d1ddd32afd04,1239,,2551964386350,,1786582679516726500,44637638819900,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.08484700322151184,0.0,0.0,1.0,8.0,1.6276041666666668e-06,0.9986995442708333,8.330035644494984,0.7656666666666667,
fit_004_01_chess,004,chess,1,fit/chess 004.tif,60dc5307c980580e2078b50a5d0262a4180adaebb46fd68893b21b8e7c772cf7,1763,,2603738332350,,1786582731287666900,44689409786800,100000.0,0.0,Mono8,0,0,4096,3000,True,,51.821693420410156,5.0,41.0,118.0,113.0,6.502278645833333e-05,0.014362630208333333,39.24312792660712,,True
fit_004_03_laser,004,laser,1,fit/laser 004.tif,4c13d78927f353bc40a6ec2477a7dedcd83244295e5ed5baf993e9324f2d677e,1948,,2612057832350,,1786582739613560100,44697735523500,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.09135579317808151,0.0,0.0,1.0,9.0,4.069010416666667e-06,0.998652587890625,8.952046630848224,0.7783333333333333,
fit_005_01_chess,005,chess,1,fit/chess 005.tif,c27f451bf7c9a4fc730b11e90a38a04c0ca097752bc904b56b9738c2ccba4bab,2311,,2647648982350,,1786582775197219700,44733319563900,100000.0,0.0,Mono8,0,0,4096,3000,True,,53.02214431762695,6.0,42.0,122.0,116.0,0.0,0.007266276041666667,46.58293537727817,,True
fit_005_03_laser,005,laser,1,fit/laser 005.tif,e847c6a807eb1b50721ea8a3fd743a21fa877dcc2983379f0fd69159e8537e6f,2451,,2653941702350,,1786582781496577800,44739618731300,280.0,0.0,Mono8,0,0,4096,3000,True,,0.1389939785003662,0.0,0.0,1.0,21.0,4.8828125e-06,0.9980896809895833,16.39849886040685,0.9976666666666667,
