task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_025_01_chess,025,chess,1,fit/chess 025.tif,1911f8cbf3d30c04ff29e59b450251c76450c8b115349ea791c8c9fdad13e260,31,,1960650285300,,1786670258802531600,132223880116200,120000.0,0.0,Mono8,0,0,4096,3000,True,,28.66974449157715,4.0,23.0,67.0,63.0,0.0,0.13408113606770833,20.023593339141655,,True
fit_025_02_nolaser,025,nolaser,1,fit/nolaser 025.tif,c32eeb6b97920b3351cdace111ff03807ca7b31df5abb221115874f40b46d123,147,,1966975849300,,1786670265127846900,132230205428400,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2451171642169356e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0003859863281183755,,
fit_025_03_laser,025,laser,1,fit/laser 025.tif,a2f3241113f7e8a4b9feb1ad1af2600067ea692b192cab36686970400cd257a2,395,,1977509897300,,1786670275661627700,132240739451700,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07536157220602036,0.0,0.0,1.0,10.0,1.46484375e-06,0.9985663248697917,6.400548421200873,0.619,
fit_026_01_chess,026,chess,1,fit/chess 026.tif,8a878ed676efe9d5a1bdcfedc37ec024af7ca9594d13d1d1ed4ec9db15ce8509,762,,2020719161300,,1786670318870364600,132283948430600,120000.0,0.0,Mono8,0,0,4096,3000,True,,35.744773864746094,5.0,29.0,75.0,70.0,0.0,0.037055745442708336,26.10853930617558,,True
fit_026_02_nolaser,026,nolaser,1,fit/nolaser 026.tif,552b51cc04017df68434e875e5dd9135f639c5c706ac36f747f208edc75497dd,848,,2024838213300,,1786670322989763100,132288067571900,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.3264973858895246e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00041829427083333334,,
fit_026_03_laser,026,laser,1,fit/laser 026.tif,35e1b5429f25dbd18f8ea2b6fd6868f16bb46f2aeb8c82407ec1ce54f3eabfd4,1721,,2061919761300,,1786670360071112100,132325148653700,250.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.08007007092237473,0.0,0.0,1.0,11.0,1.3020833333333333e-06,0.998543701171875,6.854914225111402,0.618,
fit_027_01_chess,027,chess,1,fit/chess 027.tif,2e17096d5d5137245b46f789979efc8af031300fb5c0ede872684ab2d5e024de,2053,,2100845697300,,1786670398996942800,132364075081600,120000.0,0.0,Mono8,0,0,4096,3000,True,,33.08307647705078,4.0,32.0,65.0,61.0,0.0,0.11389567057291666,22.7484213053322,,True
fit_027_02_nolaser,027,nolaser,1,fit/nolaser 027.tif,8938226a408a5edde9ab13136911ec00ac5ee07dbc0495947c5a95544455853d,2149,,2105389509300,,1786670403539654000,132368617905300,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2858073205279652e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.000419921875,,
fit_027_03_laser,027,laser,1,fit/laser 027.tif,ae6990854873bc82154468218b3a58b5199ac0b7c9afa2efe551f6fb5d21ef3e,2384,,2115371369300,,1786670413522579600,132378599981600,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07567179203033447,0.0,0.0,1.0,13.0,1.46484375e-06,0.9983750813802084,5.54785074868733,0.7323333333333333,
fit_028_01_chess,028,chess,1,fit/chess 028.tif,8239738988ea650c6b58a4fc87d70af9a791d94a8189a010138ba2cbf1f29312,2804,,2164327731300,,1786670462481590600,132427559316500,120000.0,0.0,Mono8,0,0,4096,3000,True,,38.56827163696289,4.0,19.0,108.0,104.0,0.0,0.06396150716145833,27.409947347004646,,True
fit_028_02_nolaser,028,nolaser,1,fit/nolaser 028.tif,edb02bd8f21c418cb20722676024cfa7efa70b9420e06a7d5ba9d6e40b9e8148,2934,,2170315727300,,1786670468465405700,132433543619200,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.4811197615927085e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00044620768228504466,,
fit_028_03_laser,028,laser,1,fit/laser 028.tif,9ffa95dc7ba7f6ebc45e1e4759509a2734c0b98912daf9c2827a399eb4ba22ce,3428,,2191298899300,,1786670489448982900,132454526515600,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.10366642475128174,0.0,0.0,1.0,11.0,1.1393229166666668e-06,0.9984383951822917,7.566830891925764,0.667,
fit_029_01_chess,029,chess,1,fit/chess 029.tif,5e391e901e3599f986275208aaa1b5dcb2586afcd970e6f5b02ec4f71d9656b1,3749,,2228825311300,,1786670526974678100,132492052868400,120000.0,0.0,Mono8,0,0,4096,3000,True,,47.73825454711914,6.0,30.0,115.0,109.0,0.0,0.007791097005208333,44.70318438374454,,True
fit_029_02_nolaser,029,nolaser,1,fit/nolaser 029.tif,f7b0d835950a70ef179636fd79bb2a336f1a61b8f1e5fd3d90ba62a82d295136,3885,,2235145849300,,1786670533296862600,132498375096100,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.8391927369521e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0005390625,,
fit_029_03_laser,029,laser,1,fit/laser 029.tif,a36767bfabb50f977c5bec4b306df75cef153759cae28d9e58a7d2164e3d37e9,4693,,2269466457300,,1786670567616070300,132532693816100,180.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.0564781092107296,0.0,0.0,1.0,5.0,1.220703125e-06,0.9990341796875,9.244906494135064,0.679,
fit_030_01_chess,030,chess,1,fit/chess 030.tif,714b08ed2c64b4fe286ed7519fa3543a3e4eb594e73ca2f3055c5681f2795858,4963,,2300476303300,,1786670598625550900,132563702999400,120000.0,0.0,Mono8,0,0,4096,3000,True,,47.702327728271484,6.0,35.0,112.0,106.0,0.0,0.002396158854166667,46.29837393807957,,True
fit_030_02_nolaser,030,nolaser,1,fit/nolaser 030.tif,ff7a0bf17280ff79c4ebc4a6781b7278bde9e46cf98dfb2d2b9597b5c38f1edd,5178,,2310074759300,,1786670608223648100,132573301310000,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.831054760259576e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0005419921875,,
fit_030_03_laser,030,laser,1,fit/laser 030.tif,f14b237af941426fe46eaf035e6371df04e7990a9405da715e114c08271c74fc,5962,,2343375971300,,1786670641524918600,132606602433600,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.05089135840535164,0.0,0.0,1.0,4.0,1.46484375e-06,0.9992303873697916,8.70458235674021,0.589,
fit_031_01_chess,031,chess,1,fit/chess 031.tif,9592eb1329658288a4d3c6a0b67fdcdd0b43e069ecb59386b264729aff21bac9,6277,,2380181509300,,1786670678329673800,132643407472600,120000.0,0.0,Mono8,0,0,4096,3000,True,,59.74482727050781,7.0,39.0,146.0,139.0,0.0,0.0005234375,58.89119230016757,,True
fit_031_02_nolaser,031,nolaser,1,fit/nolaser 031.tif,b4563fea57ed9266691d4671258ea4273fc2c04c7377446dac3f80b105f48efc,6386,,2385277509300,,1786670683425914400,132648503472300,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,3.1575520551996306e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0008127441406183904,,
fit_031_03_laser,031,laser,1,fit/laser 031.tif,c19ae0f1adf5102619a589624f999baf7755ee3a71dd49e9bf5fb31890869cb6,7601,,2436885877300,,1786670735033181900,132700111475600,180.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.054157715290784836,0.0,0.0,1.0,5.0,8.951822916666667e-07,0.9990900065104167,8.260584472654951,0.7093333333333334,
