task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_001_01_chess,001,chess,1,fit/chess 001.tif,0c8c5e12dfecb016900b0ac3125cedffb072ba5ddc23de6b1c04d388c20db6af,36,,12477252391475,,1786436472915663700,508688195396800,100000.0,0.0,Mono8,0,0,4096,3000,True,,52.262943267822266,2.0,31.0,152.0,150.0,0.0,0.013638753255208334,40.48814322621142,,True
fit_001_02_nolaser,001,nolaser,1,fit/nolaser 001.tif,c4b6fa4ef6c94a0275ca377dfa2d35a436d27017df562cb5fde0eb139d7eacc8,118,,12481427583475,,1786436477090853900,508692370614100,200.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.8391927369521e-05,0.0,0.0,0.0,0.0,0.0,0.9999999186197917,0.0005503743489517174,,
fit_001_03_laser,001,laser,1,fit/laser 001.tif,6f6b4b7d5d1c25745866961b143b0db770ed79695865a87e625e77a358b871c7,258,,12487374223475,,1786436483036988800,508698317477600,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.05733650550246239,0.0,0.0,1.0,8.0,2.44140625e-07,0.9988219401041667,3.979140055292923,0.6973333333333334,
fit_002_01_chess,002,chess,1,fit/chess 002.tif,ec152cb638b53fe08e1b0c09a8fe81f60907234c8f2af71fea0adac08497cb85,500,,12509866007475,,1786436505528386000,508720808671100,100000.0,0.0,Mono8,0,0,4096,3000,True,,34.79246520996094,3.0,28.0,76.0,73.0,0.0,0.17961124674479167,26.480713849287945,,True
fit_002_02_nolaser,002,nolaser,1,fit/nolaser 002.tif,b99c4f747f6b83a27b17a823d6d8df04558d2cfa1a2624f0b8238e146d0012c8,588,,12514065335475,,1786436509727900900,508725007526100,200.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.383463586535072e-05,0.0,0.0,0.0,0.0,0.0,0.9999999186197917,0.000458984375,,
fit_002_03_laser,002,laser,1,fit/laser 002.tif,0046ea076d6d8d6232cd42e59ae31050472c0e49edbde2a8760da1c8d21acab2,740,,12520521687475,,1786436516183948200,508731463960800,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.05187833681702614,0.0,0.0,1.0,5.0,2.44140625e-07,0.99900927734375,5.873223714192173,0.7043333333333334,
fit_003_01_chess,003,chess,1,fit/chess 003.tif,becf62a5ea6f825e8e553d50a40b8034a69ec722ed0f9f5914394ed9e5868760,954,,12540785903475,,1786436536448256900,508751728186500,100000.0,0.0,Mono8,0,0,4096,3000,True,,29.812835693359375,3.0,25.0,62.0,59.0,0.0,0.173808837890625,21.234592040054242,,True
fit_003_02_nolaser,003,nolaser,1,fit/nolaser 003.tif,f8a1157c08f0097f575efa59c6669904f0269bce806f363f1af55739ec0aa47c,1019,,12544008283475,,1786436539670060100,508754950241600,200.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.3916015632275958e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0004475911458333333,,
fit_003_03_laser,003,laser,1,fit/laser 003.tif,fb066a1b2ae6d9bc2a652ef36c8a51f3bf169ae43e6a5f67a8d356dd81e7eaa1,1125,,12548510739475,,1786436544172792300,508759452677800,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.059619221836328506,0.0,0.0,1.0,7.0,8.138020833333333e-08,0.998861572265625,4.557309326171551,0.6166666666666667,
fit_004_01_chess,004,chess,1,fit/chess 004.tif,bbc90d64d1f5581857c10e49d6e49df413db00798a987777c4ae93c68ed63236,1424,,12577057495475,,1786436572719245400,508787999257700,100000.0,0.0,Mono8,0,0,4096,3000,True,,33.865779876708984,3.0,23.0,81.0,78.0,0.0,0.16470458984375,21.37428873317398,,True
fit_004_02_nolaser,004,nolaser,1,fit/nolaser 004.tif,1b45d943fe459bdbd9bb6b877b6e8a18b79c1def6aaf9e0d87819848b9fe444e,1494,,12580492255475,,1786436576153918900,508791433858000,200.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.448567672923673e-05,0.0,0.0,0.0,0.0,0.0,0.9999999186197917,0.0004820149739517143,,
fit_004_03_laser,004,laser,1,fit/laser 004.tif,a4085596e6047ce914fc6e82165b65a6ef79f140c35943525eac281742e56899,1635,,12586481371475,,1786436582143174700,508797423471700,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.06931355595588684,0.0,0.0,1.0,10.0,1.1393229166666668e-06,0.9985826822916667,6.066139404295854,0.737,
fit_005_01_chess,005,chess,1,fit/chess 005.tif,53d491f654d069240bb45b7eea67bbafee91ce65f3f3ab9a11ed60f8a40fe5cf,1977,,12619046435475,,1786436614707415600,508829987656800,100000.0,0.0,Mono8,0,0,4096,3000,True,,35.11330795288086,2.0,23.0,82.0,80.0,0.0,0.16515738932291665,22.704308997651435,,True
fit_005_02_nolaser,005,nolaser,1,fit/nolaser 005.tif,21083e096d7bbfad985ffeeb101929dcadc6e9ef445e4c0b6e182a4a6d356e5d,2055,,12622763323475,,1786436618424563600,508833704853400,200.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.3671875422005542e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00043815104166666666,,
fit_005_03_laser,005,laser,1,fit/laser 005.tif,d80b2d04bc1e619e2ad61a134d58a43beb6468c67314a4ca1bc21db5d6157cb0,2179,,12628030347475,,1786436623691900200,508838971910400,200.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07264355570077896,0.0,0.0,1.0,9.0,4.069010416666667e-07,0.9986673177083333,6.258874023003469,0.632,
