task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_001_01_chess,001,chess,1,fit/chess 001.tif,1a57e0b09a1c714b0a60611bdeabdada31795fc8ad64c7d58d091eb9c395cbc7,26,,1941844629325,,1786702497191934400,164468251271400,120000.0,0.0,Mono8,0,0,4096,3000,True,,19.522430419921875,2.0,13.0,46.0,44.0,0.0,0.19297005208333334,13.327174886060513,,True
fit_001_02_nolaser,001,nolaser,1,fit/nolaser 001.tif,e15cc496109f10cae843e78220924e556c0a1b67e8c9f6de54ecba7dc48de2fb,88,,1945255001325,,1786702500600543400,164471659199100,300.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.1474608982098289e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00036946614583333335,,
fit_001_03_laser,001,laser,1,fit/laser 001.tif,e70abd592156fa0fdde7126400d64e6803ccbae9952534782bbc162508c21b91,187,,1949460125325,,1786702504803921500,164475862618400,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.08795296400785446,0.0,0.0,1.0,11.0,1.8717447916666666e-06,0.9984340006510417,8.079068277992903,0.7143333333333334,
fit_002_01_chess,002,chess,1,fit/chess 002.tif,fa6f68dc60ecc1a36614ee638624c1ab13a5e0da275c75ddb0bd8abfe0131c66,234,,1953829091325,,1786702509172872300,164480232028500,120000.0,0.0,Mono8,0,0,4096,3000,True,,19.74981689453125,2.0,13.0,46.0,44.0,0.0,0.19303385416666666,13.44100496418853,,True
fit_002_02_nolaser,002,nolaser,1,fit/nolaser 002.tif,f7ae980015b581916d8e30d42a35527142a7239e560a13fb2b95aa9a29c44768,280,,1956171417325,,1786702511514178000,164482573477700,300.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.1311848538753111e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00037272135416666665,,
fit_002_03_laser,002,laser,1,fit/laser 002.tif,3b535172ab8c3c4b2b02256b8e82740e510a04d6de713b5bda037875a86ccdd5,373,,1960121685325,,1786702515464857300,164486523858000,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.0878911167383194,0.0,0.0,1.0,11.0,1.953125e-06,0.9984345703125,8.132080647771842,0.7186666666666667,
fit_003_01_chess,003,chess,1,fit/chess 003.tif,bcb2d2354cdd6efe74f2d541f7aed656cf65e71892cadeb804daedd01829e08c,415,,1964278271325,,1786702519621903200,164490680473500,120000.0,0.0,Mono8,0,0,4096,3000,True,,19.708477020263672,2.0,13.0,46.0,44.0,0.0,0.19314689127604168,13.417432128817135,,True
fit_003_02_nolaser,003,nolaser,1,fit/nolaser 003.tif,ca93b434e416a586b67b25f5c4d22d8aa600074ae2115d32a5a9e4ea59fd09ac,450,,1966153361325,,1786702521496366600,164492555820500,300.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.0986328561557457e-05,0.0,0.0,0.0,0.0,0.0,0.9999999186197917,0.0003792317708333333,,
fit_003_03_laser,003,laser,1,fit/laser 003.tif,5cdf24cc4534eb135274e95728e544d309a6e3df52c42741789b43b28308fab4,548,,1970316009325,,1786702525658816700,164496718023900,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.08778247237205505,0.0,0.0,1.0,11.0,1.7903645833333333e-06,0.9984345703125,8.182640055327417,0.7163333333333334,
fit_004_01_chess,004,chess,1,fit/chess 004.tif,5d8a19c43a948b2ce962f05c9af578a218c771eb4951487eb8cdaafa16cfae68,597,,1974847613325,,1786702530190260100,164501249673700,120000.0,0.0,Mono8,0,0,4096,3000,True,,19.680604934692383,2.0,13.0,46.0,44.0,0.0,0.19325797526041666,13.401100179024198,,True
fit_004_02_nolaser,004,nolaser,1,fit/nolaser 004.tif,b51eae2460ab966ec58fb1ec3fbe0cb0e04766ce38ed748016de73420b86c3b3,620,,1976212991325,,1786702531555742400,164502614988500,300.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.1718750101863407e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.000380859375,,
fit_004_03_laser,004,laser,1,fit/laser 004.tif,ef216599e74b0559702763d6479b8485ed2b7a0c77a21352d9d695ae781a2206,701,,1979653547325,,1786702534996230600,164506055361800,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.0878109559416771,0.0,0.0,1.0,11.0,1.953125e-06,0.9984397786458333,8.234291829407757,0.7196666666666667,
fit_005_01_chess,005,chess,1,fit/chess 005.tif,07972badec467d4d63345695050da7e285c9c717f0705384704104305b6a2f8b,748,,1984410943325,,1786702539753713500,164510812662500,120000.0,0.0,Mono8,0,0,4096,3000,True,,19.755550384521484,2.0,13.0,46.0,44.0,0.0,0.19333048502604167,13.446537516197345,,True
fit_005_02_nolaser,005,nolaser,1,fit/nolaser 005.tif,5a462f9f3f14b3e868c25d428635a3affe1ffc4636b8bc1af7f69dd694b60ff3,796,,1986838221325,,1786702542181164300,164513239970400,300.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.1230468771827873e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0003518066406183717,,
fit_005_03_laser,005,laser,1,fit/laser 005.tif,0cd373aed51db44ecdd9181c9f109710b7483a5adf6219293097ce4078a56383,891,,1990873441325,,1786702546216198000,164517275194500,300.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.08777229487895966,0.0,0.0,1.0,11.0,1.953125e-06,0.9984440104166666,8.30464973956103,0.7253333333333334,
