task_id,pose_id,role,index,filename,sha256,camera_frame_number,camera_frame_gap,camera_timestamp_ticks,transport_warnings,host_timestamp_ns,host_monotonic_ns,exposure_us,gain_db,pixel_format,offset_x,offset_y,width,height,quality_passed,quality_warnings,mean_dn,p01_dn,p50_dn,p99_dn,dynamic_range_u8,saturation_fraction,dark_fraction,focus_laplacian,laser_coverage,chessboard_detected
fit_001_01_chess,001,chess,1,fit/chess 001.tif,504f50c2371472780118da5d8dafa702785d7b31afb811643e45cbb9cdec4baa,68,,3862142445725,,1786704417471377300,166388530788300,150000.0,0.0,Mono8,0,0,4096,3000,True,,21.541854858398438,2.0,14.0,53.0,51.0,0.0,0.18876985677083333,15.124296222834186,,True
fit_001_02_nolaser,001,nolaser,1,fit/nolaser 001.tif,fb7ff5cb03200557527298ee8d49407f88046c54510777476fc67aa63a90f856,123,,3865124753725,,1786704420449839400,166391508839100,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.1637369425443467e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0004020182291666667,,
fit_001_03_laser,001,laser,1,fit/laser 001.tif,c8ddd3e427102fb94d3e915ddf2816287cc68146021e3216f43b8a78fb0ad48c,236,,3869924541725,,1786704425249555500,166396308221500,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07650277018547058,0.0,0.0,1.0,8.0,1.46484375e-06,0.9986532389322916,8.404985025926273,0.729,
fit_002_01_chess,002,chess,1,fit/chess 002.tif,d98767830a7f46df44c2a80857dc7ef40ca01c5686d749815fa13d820892a5c5,271,,3873822379725,,1786704429147584200,166400206193700,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.24873161315918,2.0,14.0,54.0,52.0,0.0,0.18844401041666667,15.601663411224223,,True
fit_002_02_nolaser,002,nolaser,1,fit/nolaser 002.tif,cab2b914afd34cbb9f3075c052b504113c5cf58e91a8fc29f2910ae2aedb22e8,391,,3879457939725,,1786704434783058700,166405841804600,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2532552318589296e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00040364583333333333,,
fit_002_03_laser,002,laser,1,fit/laser 002.tif,8ae1bf91ae4274c88d71038d1165a5f5884c84903fd5e6e3ad284c85a4462118,549,,3886169147725,,1786704441493871200,166412552877000,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07654093205928802,0.0,0.0,1.0,8.0,1.3834635416666668e-06,0.9986544596354167,8.401452311102553,0.7296666666666667,
fit_003_01_chess,003,chess,1,fit/chess 003.tif,6fa243154f02291dce1604ac23f6f93bf0bf3335aa7c7d21020a7a54e1533e29,590,,3890967969725,,1786704446292360500,166417351482800,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.36952781677246,2.0,14.0,54.0,52.0,0.0,0.18845572916666667,15.65106445136167,,True
fit_003_02_nolaser,003,nolaser,1,fit/nolaser 003.tif,89f993281d58b3592e2398309f28db47ba5a93a700f30bf2c5e99b4a2c7a9023,659,,3894437253725,,1786704449762072800,166420820947600,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2125650755479e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0003957519531183756,,
fit_003_03_laser,003,laser,1,fit/laser 003.tif,3df8ccab97cd3fd21cbf1d52bc00e8c929b81b955a8e02e2f48490c9e8da0ae4,780,,3899576849725,,1786704454901897500,166425961281400,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.0761599913239479,0.0,0.0,1.0,8.0,1.5462239583333333e-06,0.9986537272135416,8.402514404199916,0.7316666666666667,
fit_004_01_chess,004,chess,1,fit/chess 004.tif,5e4e712f7ba1f6b53858938428ccbe9d6e7f04117372dc63b2166441fd69af37,824,,3904718475725,,1786704460047497000,166431106300500,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.214780807495117,2.0,14.0,54.0,52.0,0.0,0.18852010091145832,15.577207844624791,,True
fit_004_02_nolaser,004,nolaser,1,fit/nolaser 004.tif,3af136a7079febed6b7083e266fa496f1a867ee11535023c8fed32ce184e8f97,917,,3909207183725,,1786704464531171800,166435590591600,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2858073205279652e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00042016601561837744,,
fit_004_03_laser,004,laser,1,fit/laser 004.tif,66c9df470a337166a556fe1252351fac9e1ece3c4dee9e2a5ad901d7612f738d,1027,,3913879543725,,1786704469204439600,166440263121200,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07596451789140701,0.0,0.0,1.0,8.0,1.46484375e-06,0.9986534016927083,8.388638346274043,0.731,
fit_005_01_chess,005,chess,1,fit/chess 005.tif,f7bd3bed2c4ad8b99184657ec80cc2a60c579c488a8aa16e4c0d99bbcd87ee89,1085,,3921123465725,,1786704476447769500,166447506687400,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.111202239990234,2.0,14.0,54.0,52.0,0.0,0.18859033203125,15.514751301649266,,True
fit_005_02_nolaser,005,nolaser,1,fit/nolaser 005.tif,1a0923eb4ba61430d12b982859542c858e56fd95b57ac3bae752775a80e6f0f8,1166,,3925102461725,,1786704480426309700,166451485708700,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2369791875244118e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00041691080728504165,,
fit_005_03_laser,005,laser,1,fit/laser 005.tif,bfa1887e40b65a9b20ea9cd3d5e84aff335d8658a643fe7966c876950a8e38e5,1294,,3930539389725,,1786704485863771000,166456922503500,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.0760413408279419,0.0,0.0,1.0,8.0,1.46484375e-06,0.998652099609375,8.385018717376282,0.7326666666666667,
fit_006_01_chess,006,chess,1,fit/chess 006.tif,b7c3b4b99676ad1aab0756b9dfbf1dcfaaba5105a0b7b0a68cfc9c6f05796b2b,1540,,3966014143725,,1786704521341647500,166492401010700,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.340906143188477,2.0,15.0,56.0,54.0,0.0,0.182964111328125,15.670379719023995,,True
fit_006_02_nolaser,006,nolaser,1,fit/nolaser 006.tif,d981e1f707272c65ad5e4b98696d9bd0829e16dae270687e85ad8aec51f7bfc4,1608,,3969440951725,,1786704524764383000,166495823812100,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2044270988553762e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00039086914061837574,,
fit_006_03_laser,006,laser,1,fit/laser 006.tif,6e7343cddda5958831861c069f4ab9828a6e8a5d8eb060fa9f6879feba467c56,1697,,3973221315725,,1786704528545163800,166499604224500,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07021403312683105,0.0,0.0,1.0,8.0,8.951822916666667e-07,0.9986521809895833,7.340583577473961,0.7283333333333334,
fit_007_01_chess,007,chess,1,fit/chess 007.tif,c0a7b88f312113025e459dcea9bebbc0ef5d09241fe6b9f8b263b6f710b36ddb,1737,,3977762285725,,1786704533086261300,166504145457600,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.662145614624023,2.0,15.0,56.0,54.0,0.0,0.18295442708333334,15.856586993176233,,True
fit_007_02_nolaser,007,nolaser,1,fit/nolaser 007.tif,cf50df59ab8ca5d8f28f1afcb30ef92cf817c722d25518fa9be10872fa4d43d5,1850,,3983208201725,,1786704538531668700,166509590862400,280.0,0.0,Mono8,0,0,4096,3000,False,image_too_dark;dynamic_range_low,1.2613932085514534e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.00042805989583333335,,
fit_007_03_laser,007,laser,1,fit/laser 007.tif,194a467cfad9f47dcb995fa9c57bea7be5424bb84e3c48c8d39b887c6d87f5f5,1992,,3989239793725,,1786704544563711000,166515622404900,280.0,0.0,Mono8,0,0,4096,3000,False,dynamic_range_low,0.07032999396324158,0.0,0.0,1.0,8.0,8.951822916666667e-07,0.998652099609375,7.305659586587456,0.725,
fit_008_01_chess,008,chess,1,fit/chess 008.tif,624a5d5ae161e8e07e1f94c4f98a6bcce844beaba91a574cac713d8e08fa4053,2035,,3994231255725,,1786704549555561200,166520614489800,150000.0,0.0,Mono8,0,0,4096,3000,True,,22.53362274169922,2.0,15.0,56.0,54.0,0.0,0.18297941080729166,15.757187255313884,,True
