heldout_frame,weighting,train_frame_count,train_point_count,status,accepted_steps,trial_count,final_radius,train_invalid_count,heldout_invalid_count,train_theta_scaled_l2,train_theta_scaled_max_abs,train_before_bias_mm,train_before_mae_mm,train_before_rmse_mm,train_before_p95_abs_mm,train_before_residual_energy,train_after_bias_mm,train_after_mae_mm,train_after_rmse_mm,train_after_p95_abs_mm,train_after_residual_energy,train_explained_fraction,heldout_before_bias_mm,heldout_before_mae_mm,heldout_before_rmse_mm,heldout_before_p95_abs_mm,heldout_before_residual_energy,heldout_after_bias_mm,heldout_after_mae_mm,heldout_after_rmse_mm,heldout_after_p95_abs_mm,heldout_after_residual_energy,heldout_explained_fraction,final_theta_axis,delta_scale_theta_axis,final_phi_axis,delta_scale_phi_axis,final_A_x,delta_scale_A_x,final_A_y,delta_scale_A_y,final_A_z,delta_scale_A_z,final_alpha,delta_scale_alpha
001,point_equal,9,15862,max_accepted_steps,20,20,1,0,0,17.4408020778,14.1335271644,-0.07838920029,0.14437405538,0.184258866927,0.368799108318,538.535997112,0.00247310212037,0.0559611008906,0.0765484696575,0.163673978639,92.9460570979,0.8274097598,0.0242015795907,0.127932868567,0.212870968498,0.63981049198,77.1245117882,0.0509346124868,0.0697024044282,0.0959819549875,0.279894407739,15.6797357329,0.796695818627,2.10238653895,14.1335271644,0.00622062642103,-0.218269659903,-207.593246612,-9.19935391914,22.8395834174,2.10976940019,363.886505495,3.685343173,1.55689582398,1.31009603115
001,frame_equal,9,15862,max_accepted_steps,20,20,1,0,0,17.4451200218,14.1349046856,-0.0791636849042,0.147252600422,0.187773449185,0.37523856051,559.276167685,0.00269178841487,0.0576016440653,0.0779911328113,0.170738563439,96.482467637,0.827486896078,0.0242015795907,0.127932868567,0.212870968498,0.63981049198,77.1245117882,0.0493395471314,0.0685960026407,0.09456662913,0.275647270621,15.2207261812,0.802647357782,2.10241058123,14.1349046856,0.00619923761285,-0.21949514834,-207.668762512,-9.2069055091,22.9898146577,2.12479252421,363.796713763,3.67636399979,1.55687887386,1.30038432825
001,v_region_equal,9,15862,max_accepted_steps,20,20,1,0,0,17.3435602766,14.0829400078,-0.0548284664592,0.148233258121,0.193163456433,0.412567960876,591.844861735,0.00447812260818,0.0627097698671,0.0845812237304,0.186695322211,113.476484813,0.808266503353,-0.00744914420261,0.115159011042,0.187765522682,0.377271048107,60.0055273468,0.0308424901122,0.0644278896671,0.0822464708073,0.122349258056,11.5131482964,0.808131870422,2.10150362651,14.0829400078,0.00648217594368,-0.203283976121,-207.707978128,-9.21082707068,16.816298944,1.50744095284,362.448554739,3.5415480974,1.55751632668,1.66561788853
002,point_equal,9,15774,max_accepted_steps,20,20,1,0,0,17.4586561235,14.1368703011,-0.0777056935637,0.145576342307,0.18877896609,0.377478405917,562.145894053,0.00211591700327,0.055803475962,0.0773293012556,0.163305593824,94.3256938147,0.832204246598,0.0131347506913,0.118146248709,0.172905849744,0.280568773766,53.5146148473,0.0573001278513,0.0674341413907,0.0892988583388,0.188879875954,14.2739721201,0.73326964679,2.1024448877,14.1368703011,0.00613044700346,-0.223436559928,-207.573081697,-9.19733742762,24.3316981732,2.25898087577,364.127850358,3.70947765927,1.55671050431,1.20391568331
002,frame_equal,9,15774,max_accepted_steps,20,20,1,0,0,17.4600651243,14.1359602309,-0.0779340372487,0.148340002628,0.192280879711,0.384089399963,583.195329545,0.00228666759829,0.0575625974246,0.078789051509,0.171320755701,97.920490695,0.832096579423,0.0131347506913,0.118146248709,0.172905849744,0.280568773766,53.5146148473,0.0555884944689,0.0663416137415,0.0880603052971,0.190556449958,13.8807650905,0.7406173037,2.10242900397,14.1359602309,0.00611108258461,-0.224546059401,-207.623710136,-9.20240027148,24.4489396585,2.27070502429,364.036468182,3.70033944163,1.55670751908,1.20220527168
002,v_region_equal,9,15774,max_accepted_steps,20,20,1,0,0,17.3722325783,14.0948356306,-0.054806003067,0.149235686206,0.197105071011,0.419073644364,612.826351851,0.00414034289076,0.0633930436901,0.0856822575018,0.191287300682,115.804020479,0.811032896792,-0.00582851667073,0.108550549177,0.154681860605,0.27572054951,42.8283956205,0.0402118854989,0.0569886942701,0.0729711949001,0.139200629849,9.53138356041,0.777451771837,2.10171124429,14.0948356306,0.0063853909102,-0.20882935006,-207.760899515,-9.2161192094,18.9005045583,1.71586151428,362.659269375,3.56261956098,1.55737614296,1.58529853715
003,point_equal,9,16034,max_accepted_steps,20,20,1,0,0,17.4308712599,14.1104719475,-0.0763259244107,0.149311880867,0.193176353031,0.382517962268,598.342435443,0.00142361598186,0.0574805354839,0.0775342222674,0.162897849012,96.3892828529,0.838906156169,0.0141120689318,0.0743374581162,0.106390799694,0.280558000819,17.318073457,0.0572801645629,0.0671537129202,0.0886286710679,0.246670442264,12.018213243,0.306030588634,2.10198414951,14.1104719475,0.0061241840038,-0.223795403376,-207.282357637,-9.16826502157,24.333277532,2.25913881165,364.040710412,3.70076366469,1.55696600377,1.35030609103
003,frame_equal,9,16034,max_accepted_steps,20,20,1,0,0,17.4325946045,14.1082632624,-0.0780426281644,0.153207646028,0.197575544185,0.391779011778,625.904757809,0.00151809940771,0.0589368219988,0.0786707963557,0.167492026075,99.2359363907,0.841452017815,0.0141120689318,0.0743374581162,0.106390799694,0.280558000819,17.318073457,0.0563943579143,0.0673923914453,0.0894051953998,0.24963373907,12.2297321156,0.293816824025,2.10194560068,14.1082632624,0.00609576795927,-0.225423522798,-207.314728949,-9.1715021528,24.5975389334,2.28556495178,363.957855961,3.69247821953,1.55696824254,1.35158880949
003,v_region_equal,9,16034,max_accepted_steps,20,20,1,0,0,17.375113169,14.0895410752,-0.0597207069981,0.151847295286,0.199954141201,0.425532249848,641.065913727,0.00320920197591,0.0628026189292,0.0830800324737,0.176171097234,110.671346654,0.827363545176,0.0419280808757,0.088589175034,0.127386608526,0.316692711844,24.8278424885,0.0617478808354,0.0730238744147,0.100972519813,0.256503291785,15.5990381287,0.371711894178,2.10161883687,14.0895410752,0.00628810045284,-0.214403682653,-207.534630277,-9.19349228558,20.2336393672,1.84917499516,362.994436209,3.59613624439,1.55734753843,1.56890934489
004,point_equal,9,15985,max_accepted_steps,20,20,1,0,0,17.4251333759,14.1133073559,-0.0684259970991,0.141764282929,0.184301500026,0.369162411377,542.963180946,0.00166779283841,0.0576773427534,0.0777672661012,0.16142619637,96.6732466146,0.821952482218,-0.0686693115304,0.153072163467,0.214569583975,0.533361940927,72.697327954,0.0103302272096,0.0581887019618,0.0838309115174,0.240653982293,11.0966147051,0.847358699179,2.10203363672,14.1133073559,0.00619614313612,-0.219672448797,-207.324988453,-9.1725281032,23.5429923979,2.18011029823,363.990518399,3.69574446342,1.55698631662,1.36194449407
