scope,dataset,model,field,n_uv,valid_in_memory,valid_reloaded,valid_mask_mismatch,max_difference,p95_difference,rms_difference,previous_rmse_mm,reloaded_rmse_mm,status,notes
historical_gauge,frame_061303_measure:baseline,M1_point_equal,Xg,171,171,171,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:baseline,M1_point_equal,Yg,171,171,171,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:baseline,M1_point_equal,Zg,171,171,171,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:baseline,M1_point_equal,lambda,171,171,171,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:height,M1_point_equal,Xg,74,74,74,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:height,M1_point_equal,Yg,74,74,74,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:height,M1_point_equal,Zg,74,74,74,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_061303_measure:height,M1_point_equal,lambda,74,74,74,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_062878_measure:baseline,M1_point_equal,Xg,126,126,126,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_062878_measure:baseline,M1_point_equal,Yg,126,126,126,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
historical_gauge,frame_062878_measure:baseline,M1_point_equal,Zg,126,126,126,0,0.0,0.0,0.0,,,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\cone_nonlinear_fit_trust_region\candidate_roundtrip_yaml\circular_cone_point_equal.yaml
