weighting,kind,vector_rank_from_smallest,parameter_a,parameter_b,value,absolute_value
point_equal,column_cosine,,theta_axis,phi_axis,0.665989040384,0.665989040384
point_equal,column_cosine,,theta_axis,A_x,0.99999309425,0.99999309425
point_equal,column_cosine,,theta_axis,A_y,-0.593254384919,0.593254384919
point_equal,column_cosine,,theta_axis,A_z,-0.999990517105,0.999990517105
point_equal,column_cosine,,theta_axis,alpha,-0.999252941615,0.999252941615
point_equal,column_cosine,,phi_axis,A_x,0.663214212663,0.663214212663
point_equal,column_cosine,,phi_axis,A_y,0.204678884543,0.204678884543
point_equal,column_cosine,,phi_axis,A_z,-0.662746146258,0.662746146258
point_equal,column_cosine,,phi_axis,alpha,-0.691366430074,0.691366430074
point_equal,column_cosine,,A_x,A_y,-0.596234261783,0.596234261783
point_equal,column_cosine,,A_x,A_z,-0.999999763476,0.999999763476
point_equal,column_cosine,,A_x,alpha,-0.999116151793,0.999116151793
point_equal,column_cosine,,A_y,A_z,0.596724717418,0.596724717418
point_equal,column_cosine,,A_y,alpha,0.565570093283,0.565570093283
point_equal,column_cosine,,A_z,alpha,0.999087016615,0.999087016615
point_equal,covariance_correlation,,theta_axis,phi_axis,0.224675718518,0.224675718518
point_equal,covariance_correlation,,theta_axis,A_x,0.199915325565,0.199915325565
point_equal,covariance_correlation,,theta_axis,A_y,-0.318052079165,0.318052079165
point_equal,covariance_correlation,,theta_axis,A_z,0.23836446687,0.23836446687
point_equal,covariance_correlation,,theta_axis,alpha,0.261304868626,0.261304868626
point_equal,covariance_correlation,,phi_axis,A_x,0.965892800322,0.965892800322
point_equal,covariance_correlation,,phi_axis,A_y,-0.995256558162,0.995256558162
point_equal,covariance_correlation,,phi_axis,A_z,0.966320873884,0.966320873884
point_equal,covariance_correlation,,phi_axis,alpha,0.976754826107,0.976754826107
point_equal,covariance_correlation,,A_x,A_y,-0.958904888028,0.958904888028
point_equal,covariance_correlation,,A_x,A_z,0.99922344046,0.99922344046
point_equal,covariance_correlation,,A_x,alpha,0.996850561084,0.996850561084
point_equal,covariance_correlation,,A_y,A_z,-0.96315268949,0.96315268949
point_equal,covariance_correlation,,A_y,alpha,-0.975624400484,0.975624400484
point_equal,covariance_correlation,,A_z,alpha,0.998550689362,0.998550689362
point_equal,right_singular_vector,1,theta_axis,,0.00547866476896,0.00547866476896
point_equal,right_singular_vector,1,phi_axis,,0.00750187609753,0.00750187609753
point_equal,right_singular_vector,1,A_x,,0.797134724921,0.797134724921
point_equal,right_singular_vector,1,A_y,,-0.334279547507,0.334279547507
point_equal,right_singular_vector,1,A_z,,0.489253271555,0.489253271555
point_equal,right_singular_vector,1,alpha,,0.11566484688,0.11566484688
point_equal,right_singular_vector,2,theta_axis,,0.1184243606,0.1184243606
point_equal,right_singular_vector,2,phi_axis,,0.017277389971,0.017277389971
point_equal,right_singular_vector,2,A_x,,-0.330641083647,0.330641083647
point_equal,right_singular_vector,2,A_y,,-0.92910288601,0.92910288601
point_equal,right_singular_vector,2,A_z,,-0.107217951218,0.107217951218
point_equal,right_singular_vector,2,alpha,,0.0403208948541,0.0403208948541
frame_equal,column_cosine,,theta_axis,phi_axis,0.666215519976,0.666215519976
frame_equal,column_cosine,,theta_axis,A_x,0.99999310684,0.99999310684
frame_equal,column_cosine,,theta_axis,A_y,-0.605953940814,0.605953940814
frame_equal,column_cosine,,theta_axis,A_z,-0.999990533664,0.999990533664
frame_equal,column_cosine,,theta_axis,alpha,-0.999255936926,0.999255936926
frame_equal,column_cosine,,phi_axis,A_x,0.66344402857,0.66344402857
frame_equal,column_cosine,,phi_axis,A_y,0.188828759962,0.188828759962
frame_equal,column_cosine,,phi_axis,A_z,-0.662976376032,0.662976376032
frame_equal,column_cosine,,phi_axis,alpha,-0.691539662978,0.691539662978
frame_equal,column_cosine,,A_x,A_y,-0.608895705853,0.608895705853
frame_equal,column_cosine,,A_x,A_z,-0.999999763932,0.999999763932
frame_equal,column_cosine,,A_x,alpha,-0.999119517398,0.999119517398
frame_equal,column_cosine,,A_y,A_z,0.609379994173,0.609379994173
frame_equal,column_cosine,,A_y,alpha,0.578636236917,0.578636236917
frame_equal,column_cosine,,A_z,alpha,0.999090465437,0.999090465437
frame_equal,covariance_correlation,,theta_axis,phi_axis,0.241744928928,0.241744928928
frame_equal,covariance_correlation,,theta_axis,A_x,0.211815520267,0.211815520267
frame_equal,covariance_correlation,,theta_axis,A_y,-0.333257440177,0.333257440177
frame_equal,covariance_correlation,,theta_axis,A_z,0.249837952802,0.249837952802
frame_equal,covariance_correlation,,theta_axis,alpha,0.273625013775,0.273625013775
frame_equal,covariance_correlation,,phi_axis,A_x,0.96582403245,0.96582403245
frame_equal,covariance_correlation,,phi_axis,A_y,-0.99539877053,0.99539877053
frame_equal,covariance_correlation,,phi_axis,A_z,0.966481503489,0.966481503489
frame_equal,covariance_correlation,,phi_axis,alpha,0.977063996036,0.977063996036
frame_equal,covariance_correlation,,A_x,A_y,-0.95858222743,0.95858222743
frame_equal,covariance_correlation,,A_x,A_z,0.999236355337,0.999236355337
frame_equal,covariance_correlation,,A_x,alpha,0.99679877578,0.99679877578
frame_equal,covariance_correlation,,A_y,A_z,-0.96296853285,0.96296853285
frame_equal,covariance_correlation,,A_y,alpha,-0.975623840988,0.975623840988
frame_equal,covariance_correlation,,A_z,alpha,0.99851608548,0.99851608548
frame_equal,right_singular_vector,1,theta_axis,,0.00574523939853,0.00574523939853
frame_equal,right_singular_vector,1,phi_axis,,0.00753992600204,0.00753992600204
frame_equal,right_singular_vector,1,A_x,,0.796529457141,0.796529457141
frame_equal,right_singular_vector,1,A_y,,-0.336034383946,0.336034383946
frame_equal,right_singular_vector,1,A_z,,0.488990976097,0.488990976097
frame_equal,right_singular_vector,1,alpha,,0.115843358673,0.115843358673
frame_equal,right_singular_vector,2,theta_axis,,0.119632561281,0.119632561281
frame_equal,right_singular_vector,2,phi_axis,,0.0172447245047,0.0172447245047
frame_equal,right_singular_vector,2,A_x,,-0.332607725824,0.332607725824
frame_equal,right_singular_vector,2,A_y,,-0.928216426364,0.928216426364
frame_equal,right_singular_vector,2,A_z,,-0.107368638674,0.107368638674
frame_equal,right_singular_vector,2,alpha,,0.040608025521,0.040608025521
v_region_equal,column_cosine,,theta_axis,phi_axis,0.591152135583,0.591152135583
v_region_equal,column_cosine,,theta_axis,A_x,0.999993253772,0.999993253772
v_region_equal,column_cosine,,theta_axis,A_y,-0.651483793781,0.651483793781
v_region_equal,column_cosine,,theta_axis,A_z,-0.999991321243,0.999991321243
v_region_equal,column_cosine,,theta_axis,alpha,-0.999482804316,0.999482804316
v_region_equal,column_cosine,,phi_axis,A_x,0.588187830207,0.588187830207
v_region_equal,column_cosine,,phi_axis,A_y,0.226282461722,0.226282461722
