model,frame,source_result_json,nominal_height_mm,height_mean,height_std,signed_error,absolute_error,baseline_z,baseline_rmse,height_fit_rmse,valid_baseline_points,valid_height_points,baseline_inlier_points,height_inlier_points,input_baseline_points,input_height_points,filtered_baseline,filtered_height,m0_replay_status,m0_height_mean_delta,m0_height_std_delta,m0_baseline_z_delta,m0_baseline_rmse_delta,m0_height_fit_rmse_delta,m0_point_count_match,theta_axis_rad,phi_axis_rad,apex_x_mm,apex_y_mm,apex_z_mm,half_apex_angle_rad
M0,frame_061303_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_061303_measure\result.json,50.0,49.853391578741764,0.018806210468496898,-0.14660842125823592,0.14660842125823592,-0.005305569140223883,0.01690533878823456,0.006777551808984616,171,74,163,74,171,74,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,2.4166091350252827e-08,-2.3347004503293523e-09,-1.3327530777769436e-08,-6.099435262418851e-10,-7.6275055022057e-10,True,,,,,,
M0,frame_062878_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_062878_measure\result.json,50.0,49.88649984829476,0.010214395177510572,-0.11350015170523875,0.11350015170523875,-0.01814399045676126,0.014191774453908236,0.0034997232280998586,126,81,107,62,126,81,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,-2.2185204784364032e-08,-5.064155508133217e-09,2.524427363675974e-08,-3.18653130618185e-09,-9.757549750827321e-10,True,,,,,,
M0,frame_063995_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_063995_measure\result.json,50.0,49.86656986105844,0.02445255534951185,-0.13343013894156286,0.13343013894156286,0.027180205072259572,0.02706218091615887,0.008810374310370652,158,77,158,77,158,77,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,8.416748187300982e-09,9.407068873867885e-11,5.229491024244526e-09,1.6344620760999629e-09,-3.472951700528304e-10,True,,,,,,
M0,frame_065292_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_065292_measure\result.json,50.0,49.99285482681184,0.011630468374742827,-0.007145173188156662,0.007145173188156662,-0.08645466608404725,0.025953252974928214,0.0039214003375151385,145,76,145,64,145,76,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,2.7211903841362073e-08,-1.3549473144164326e-08,-1.6665708618690545e-08,-9.06713740200793e-09,-4.477815280026776e-09,True,,,,,,
M1_point_equal,frame_061303_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_061303_measure\result.json,50.0,9.403698430688365,0.0037660179012340258,-40.596301569311635,40.596301569311635,0.06368639441184218,0.0030044566924554046,0.0067578029619521675,171,74,163,74,171,74,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,2.4166091350252827e-08,-2.3347004503293523e-09,-1.3327530777769436e-08,-6.099435262418851e-10,-7.6275055022057e-10,True,2.57909454538,-0.00500804755403,-339.053986827,76.5727198268,500.0,1.56241691858
M1_point_equal,frame_062878_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_062878_measure\result.json,50.0,9.421193955863606,0.002183369849441333,-40.57880604413639,40.57880604413639,0.023124740307185414,0.0025673668414211356,0.0034880275706367803,126,81,108,62,126,81,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,-2.2185204784364032e-08,-5.064155508133217e-09,2.524427363675974e-08,-3.18653130618185e-09,-9.757549750827321e-10,True,2.57909454538,-0.00500804755403,-339.053986827,76.5727198268,500.0,1.56241691858
M1_point_equal,frame_063995_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_063995_measure\result.json,50.0,9.42535125553667,0.004913844872480038,-40.57464874446333,40.57464874446333,-0.006866841929409327,0.0048167904480391445,0.008779310241502374,158,77,158,77,158,77,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,8.416748187300982e-09,9.407068873867885e-11,5.229491024244526e-09,1.6344620760999629e-09,-3.472951700528304e-10,True,2.57909454538,-0.00500804755403,-339.053986827,76.5727198268,500.0,1.56241691858
M1_point_equal,frame_065292_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_065292_measure\result.json,50.0,9.444541941324271,0.002301392672322157,-40.555458058675725,40.555458058675725,-0.07544793773975074,0.00461683848937104,0.0039058836552751048,145,76,145,64,145,76,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,2.7211903841362073e-08,-1.3549473144164326e-08,-1.6665708618690545e-08,-9.06713740200793e-09,-4.477815280026776e-09,True,2.57909454538,-0.00500804755403,-339.053986827,76.5727198268,500.0,1.56241691858
M2_frame_equal,frame_061303_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_061303_measure\result.json,50.0,9.40134213685089,0.0037650688656178364,-40.598657863149114,40.598657863149114,0.06398376598935004,0.003003656727408166,0.006757796688709803,171,74,163,74,171,74,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,2.4166091350252827e-08,-2.3347004503293523e-09,-1.3327530777769436e-08,-6.099435262418851e-10,-7.6275055022057e-10,True,2.579189779,-0.00508040664998,-339.128183282,77.6337391731,500.0,1.56240952471
M2_frame_equal,frame_062878_measure,D:\Docs\linelaserscan\0704line-laser-3d-scanner\laser_measurement_tool\output_daheng_0811\frame_062878_measure\result.json,50.0,9.418923923211699,0.0021846594144199175,-40.5810760767883,40.5810760767883,0.022135400156414128,0.002566745676094625,0.0034880309649664046,126,81,108,62,126,81,"{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}","{""near_parallel"":0,""negative_depth"":0,""no_valid_intersection"":0,""non_finite"":0,""outside_working_distance"":0}",PASS,-2.2185204784364032e-08,-5.064155508133217e-09,2.524427363675974e-08,-3.18653130618185e-09,-9.757549750827321e-10,True,2.579189779,-0.00508040664998,-339.128183282,77.6337391731,500.0,1.56240952471
