record_type,frame,region,model,step_px,n_total,n_valid,valid_fraction,median_u_base,median_u_top,delta_u,median_Zg_base,median_Zg_top,delta_Zg,G_mm_per_px,gain_ratio_vs_M0,median_dZg_du,p95_abs_dZg_du,rms_dZg_du,derivative_ratio_vs_M0
median_height_gain,frame_061303_measure,all,M0,,245,245,1.0,2102.377071,1928.1477195,-174.2293514999999,-0.012463101375146834,49.84649181332969,49.85895491470484,-0.28616851572626595,1.0,,,,
median_height_gain,frame_061303_measure,all,M1_point_equal,,245,245,1.0,2102.377071,1928.1477195,-174.2293514999999,0.04412894135487022,9.46722823550732,9.42309929415245,-0.05408445369867807,0.18899512254664824,,,,
median_height_gain,frame_061303_measure,all,M2_frame_equal,,245,245,1.0,2102.377071,1928.1477195,-174.2293514999999,0.04390858203976222,9.465170372619298,9.421261790579536,-0.05407390723473789,0.18895826851358521,,,,
median_height_gain,frame_061303_measure,all,M3_v_region_equal,,245,245,1.0,2102.377071,1928.1477195,-174.2293514999999,0.03976580786741124,9.257871427101747,9.218105619234336,-0.05290787998619361,0.1848836509911613,,,,
median_height_gain,frame_062878_measure,all,M0,,207,207,1.0,2104.9471165,1934.852477,-170.09463950000008,-0.02634248419570895,49.87036446195441,49.89670694615012,-0.2933467338701764,1.0,,,,
median_height_gain,frame_062878_measure,all,M1_point_equal,,207,207,1.0,2104.9471165,1934.852477,-170.09463950000008,0.029251536611923257,9.444441137110516,9.415189600498593,-0.055352653253358926,0.18869360678771288,,,,
median_height_gain,frame_062878_measure,all,M2_frame_equal,,207,207,1.0,2104.9471165,1934.852477,-170.09463950000008,0.02846887891081451,9.44115340448593,9.412684525575116,-0.05533792571737754,0.18864340157224285,,,,
median_height_gain,frame_062878_measure,all,M3_v_region_equal,,207,207,1.0,2104.9471165,1934.852477,-170.09463950000008,0.026192007477618517,9.237816122414984,9.211624114937365,-0.05415587547035755,0.18461386890479164,,,,
median_height_gain,frame_063995_measure,all,M0,,235,235,1.0,2114.0293685,1944.779844,-169.24952450000023,0.01943950010934259,49.89112360534284,49.8716841052335,-0.29466365859854116,1.0,,,,
median_height_gain,frame_063995_measure,all,M1_point_equal,,235,235,1.0,2114.0293685,1944.779844,-169.24952450000023,-0.0017325865961765885,9.417654848904135,9.419387435500312,-0.055653848737993346,0.18887245547242004,,,,
median_height_gain,frame_063995_measure,all,M2_frame_equal,,235,235,1.0,2114.0293685,1944.779844,-169.24952450000023,-0.0037592747672761107,9.413236994071326,9.416996268838602,-0.055639720682574736,0.1888245090935357,,,,
median_height_gain,frame_063995_measure,all,M3_v_region_equal,,235,235,1.0,2114.0293685,1944.779844,-169.24952450000023,-0.005282466283972553,9.208323661881423,9.213606128165395,-0.05443800303359424,0.1847462401454882,,,,
median_height_gain,frame_065292_measure,all,M0,,221,221,1.0,2125.97572,1958.1891235,-167.78659649999986,-0.13745078296449265,49.90102049870046,50.038471281664954,-0.29822686868593223,1.0,,,,
median_height_gain,frame_065292_measure,all,M1_point_equal,,221,221,1.0,2125.97572,1958.1891235,-167.78659649999986,-0.07515492652169087,9.368259365256165,9.443414291777856,-0.056282292440313395,0.18872307746216263,,,,
median_height_gain,frame_065292_measure,all,M2_frame_equal,,221,221,1.0,2125.97572,1958.1891235,-167.78659649999986,-0.0785924365362689,9.362354888969094,9.440947325505363,-0.056267589440646235,0.1886737760704673,,,,
median_height_gain,frame_065292_measure,all,M3_v_region_equal,,221,221,1.0,2125.97572,1958.1891235,-167.78659649999986,-0.0813682455569733,9.153583862673543,9.234952108230516,-0.05503986790882026,0.18455703924780728,,,,
local_dZg_du,ALL_GAUGE,v0_999,M0,0.5,221,221,1.0,,,,,,,,,-0.3142345682008454,0.3143207236486205,0.3001850002467552,1.0
local_dZg_du,ALL_GAUGE,v0_999,M1_point_equal,0.5,221,221,1.0,,,,,,,,,-0.05596829186083596,0.05598780566936057,0.055450431296303906,0.17810991381783117
local_dZg_du,ALL_GAUGE,v0_999,M2_frame_equal,0.5,221,221,1.0,,,,,,,,,-0.05595577543147101,0.055975356027943235,0.05543823932874502,0.17807008233322838
local_dZg_du,ALL_GAUGE,v0_999,M3_v_region_equal,0.5,221,221,1.0,,,,,,,,,-0.05472682821914532,0.054745093289170654,0.054229747984979995,0.17415915929455048
local_dZg_du,ALL_GAUGE,v0_999,M0,1.0,221,221,1.0,,,,,,,,,-0.3142346156477629,0.3143207711258924,0.3001850438262656,1.0
