frame_id,split,pnp_success,pair_files_ok,pair_manifest_ok,chess_sha256_ok,laser_sha256_ok,max_difference_vs_prior_metrics,status,source_pnp_csv
001,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
002,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
003,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
004,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
005,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
006,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
007,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
008,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
009,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
010,fit,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
011,validation,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
012,validation,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
013,validation,True,True,True,True,True,0.0,PASS,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0813\pnp_reference_audit\paired_pnp_reference_audit.csv
