scope,frame_id,split,extracted_center_count,reconstructed_point_count,generated_sha256,previous_sha256,comparison_status,hash_definition,notes
frame,001,fit,1705,1702,971aaab6c563bbe27398e13c1289e7b686d641758f33bd3e8f070eef151349d2,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,002,fit,1799,1790,329e07e88b682313ebcf0bc197a4f1ff767ee84d31c4d0679bd604582150b8ed,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,003,fit,1609,1530,f2c2303cdf11526256bf5defe60774237e4a52752426529751e890ae57cdbccb,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,004,fit,1728,1579,520cb5210d1977d976a8c66b40e3beada93a2f4bc91fd54ce04e739361f2471b,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,005,fit,2872,2854,f85ce823997e7c2efe6372c988c61cf67fbf73e9631c74fda52612718671848c,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,006,fit,1893,1581,7a1aeb724b94cf8ee1505e7869eac3128234293e6dd8d9e0fa0ee8bd5147bd4b,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,007,fit,1968,1374,4d2ce39d132e15270f0eb2f5f4bc289eaceb915a515710bb21b8e340c1d2ba6c,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,008,fit,1871,1847,a698ef41b8f7f93bc2f5994557318b0aafe8b9bdc017110e22dc7ea1635ffd40,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,009,fit,1868,1815,8343755954a10ab5d26dfb95a7568a35bee246e3a7319b2cf2facc70aa10c90e,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,010,fit,1632,1492,5789e1a58c6caafdb0dd5c924dad66b72ec3dbddf59f90cf3f71490dfc2afc78,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,011,validation,1694,1673,1b6926cfa4dd279488dc43fdf3a89f29c4fc402ddf3e5695542a37048bc6b2a9,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,012,validation,2626,2592,64b90cf145597c29facde286d7d1ff07f094bf00df0f4d5c6b51d2b465097fea,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
frame,013,validation,1799,1784,e512cda5771a64d3a27b2d6e27750f55c8aeb75ec12334caf39edcae7cded9c5,,COVERED_BY_EXACT_SPLIT_HASH,sha256(frame_id ASCII + float64 little-endian C-order pixels_uv bytes),Previous artifact persisted only split aggregate hash; frame hash is now permanently retained in this CSV.
split,fit_001_010,fit,18945,17564,33ac7b3ca72a1a7e83c86fec1d49bc9bd54f773e79d7005812e6d09dd7a24660,33ac7b3ca72a1a7e83c86fec1d49bc9bd54f773e79d7005812e6d09dd7a24660,EXACT_MATCH,sha256(concatenated frame_id ASCII + float64 little-endian C-order pixels_uv bytes in frame order),Historical FIT/VALIDATION frozen-pixel hash from prior reports.
split,validation_001_013,validation,6119,6049,7f1790ccf1f1792ea413088a3cb4115d72cb1db97376d941e13dc35d28c2fa00,7f1790ccf1f1792ea413088a3cb4115d72cb1db97376d941e13dc35d28c2fa00,EXACT_MATCH,sha256(concatenated frame_id ASCII + float64 little-endian C-order pixels_uv bytes in frame order),Historical FIT/VALIDATION frozen-pixel hash from prior reports.
overall,001_013,fit+validation,25064,23613,0a356781cc4c2d6e46da0033af6aa8349c7a3a1722eacd9554c0c2d4f1997b3a,,NO_PREVIOUS_OVERALL_REFERENCE,same as split aggregate over ordered 001..013,Stored for future exact replay; previous reports stored separate FIT and VALIDATION hashes only.
