weighting,t,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction
point_equal,0,top_0_299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,-1.27484125714e-15,9.7739876075e-15,1.35664927165e-13,0,2.95399808025e-23,-3.91619865367e-15
point_equal,0,middle_300_2699,300,2700,13979,0,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-7.32659138467e-17,4.41602570179e-15,9.99867311679e-14,0,1.3975290546e-22,1.66274939608e-14
point_equal,0,bottom_2700_2999,2700,3000,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-1.32075186926e-15,4.99571624248e-15,9.59787605814e-14,0,1.82396065158e-23,-2.15371287016e-14
point_equal,0,bin_0000_0299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,-1.27484125714e-15,9.7739876075e-15,1.35664927165e-13,0,2.95399808025e-23,-3.91619865367e-15
point_equal,0,bin_0300_0599,300,600,1900,0,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,1.1965063443e-15,4.18810454153e-15,7.96163914914e-14,0,1.20436626088e-23,1.73299299223e-14
point_equal,0,bin_0600_0899,600,900,1717,0,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,4.03878380296e-15,8.67339915026e-15,1.52282258819e-13,0,3.98170348647e-23,5.06932032325e-14
point_equal,0,bin_0900_1199,900,1200,1875,0,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-5.45667215116e-16,2.48580415511e-15,7.65857844469e-14,0,1.09975919613e-23,-1.28296554543e-14
point_equal,0,bin_1200_1499,1200,1500,1490,0,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,0,0,0,0,0,0
point_equal,0,bin_1500_1799,1500,1800,1945,0,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,0,0,0,0,0,0
point_equal,0,bin_1800_2099,1800,2100,1732,0,-0.0755715457546,0.0825489452681,0.0985810627357,0.177092770762,16.8319673109,-0.0755715457546,0.0825489452681,0.0985810627357,0.177092770762,16.8319673109,-0.0755715457546,0.0825489452681,0.0985810627358,0.177092770762,16.831967311,-4.72611789645e-15,4.72611789645e-15,1.01333919486e-13,0,1.7785151529e-23,-6.75422163205e-14
point_equal,0,bin_2100_2399,2100,2400,1561,0,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,-7.28357156778e-16,8.01151976989e-15,1.41965113116e-13,0,3.14605397071e-23,-1.68672513368e-14
