weighting,singular_index,scaled_singular_value,raw_singular_value,relative_singular_value,effective,effective_rank,lstsq_rank,condition_number,rank_ratio_threshold
point_equal,1,42.0795902093,1982.20276559,1,True,6,6,293646.819886,1e-06
point_equal,2,4.86998511192,278.930669992,0.115732712408,True,6,6,293646.819886,1e-06
point_equal,3,0.0462819943285,18.1096418089,0.00109986799059,True,6,6,293646.819886,1e-06
point_equal,4,0.00799904840199,0.00138643800253,0.000190093305619,True,6,6,293646.819886,1e-06
point_equal,5,0.00148778188007,0.000149402558179,3.53563775852e-05,True,6,6,293646.819886,1e-06
point_equal,6,0.000143300003132,1.46686515101e-05,3.40545148893e-06,True,6,6,293646.819886,1e-06
frame_equal,1,42.0790272636,1982.0316334,1,True,6,6,293959.434832,1e-06
frame_equal,2,4.8591636552,278.318733143,0.115477090874,True,6,6,293959.434832,1e-06
frame_equal,3,0.0461918858223,18.0746181191,0.00109774129361,True,6,6,293959.434832,1e-06
frame_equal,4,0.00812502351961,0.0014082594583,0.000193089623216,True,6,6,293959.434832,1e-06
frame_equal,5,0.0014728735175,0.000147910316115,3.50025562207e-05,True,6,6,293959.434832,1e-06
frame_equal,6,0.000143145693853,1.46529775351e-05,3.40182991769e-06,True,6,6,293959.434832,1e-06
v_region_equal,1,42.0784800157,1981.77020325,1,True,6,6,295000.6924,1e-06
v_region_equal,2,4.82260528937,276.205223623,0.11460977886,True,6,6,295000.6924,1e-06
v_region_equal,3,0.0453986078504,17.7974736607,0.00107890322639,True,6,6,295000.6924,1e-06
v_region_equal,4,0.00852973384109,0.00147793563294,0.000202710122559,True,6,6,295000.6924,1e-06
v_region_equal,5,0.00151978946837,0.000152404088783,3.61179745038e-05,True,6,6,295000.6924,1e-06
v_region_equal,6,0.000142638580518,1.46020030025e-05,3.38982255216e-06,True,6,6,295000.6924,1e-06
