split,weighting,region,v_min_px,v_max_px,baseline_sample_count,analysis_sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_energy,explained_fraction
fit,point_equal,top_0_299,0,300,1605,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,-0.000222127208819,0.0235382284796,0.0303985867753,0.0598765896021,1.48313889509,194.468655813,0.992431103286
fit,point_equal,middle_300_2699,300,2700,13979,13979,0,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-0.000209385078421,0.0182505383775,0.0218692553957,0.0446527756948,6.68565709092,230.909835058,0.971861178718
fit,point_equal,bottom_2700_2999,2700,3000,1980,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,0.00166121359854,0.0195363211366,0.023004598621,0.054637241171,1.04783888427,181.065383158,0.994246222913
fit,point_equal,bin_0000_0299,0,300,1605,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,-0.000222127208819,0.0235382284796,0.0303985867753,0.0598765896021,1.48313889509,194.468655813,0.992431103286
fit,point_equal,bin_0300_0599,300,600,1900,1900,0,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,0.00110285861807,0.0184368392635,0.0248807255399,0.0545095923595,1.17619595644,43.514785799,0.973681581602
fit,point_equal,bin_0600_0899,600,900,1717,1717,0,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,-0.000134376038612,0.0187115936122,0.0240823241255,0.0493757420803,0.995788461683,52.6875162899,0.981450686274
fit,point_equal,bin_0900_1199,900,1200,1875,1875,0,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-0.00217464137115,0.0176989400506,0.0216124676807,0.0428308187228,0.87581017359,32.3538929134,0.97364375567
fit,point_equal,bin_1200_1499,1200,1500,1490,1490,0,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,-0.000558053493149,0.0173916951525,0.0204998845871,0.0371534782965,0.626165449444,6.30847313438,0.909704674314
fit,point_equal,bin_1500_1799,1500,1800,1945,1945,0,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,0.00270359208657,0.0165497201844,0.019236124555,0.032583548856,0.719705408959,24.7862102402,0.971782804473
fit,point_equal,bin_1800_2099,1800,2100,1732,1732,0,-0.0755715457546,0.0825489452681,0.0985810627357,0.177092770762,16.8319673109,-0.000104773884512,0.0180262467132,0.0199757795527,0.0285261111077,0.691123023457,16.1408442875,0.958939854701
fit,point_equal,bin_2100_2399,2100,2400,1561,1561,0,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,0.00108788201739,0.0176267049874,0.0193180880429,0.0267592622044,0.582547288514,19.2164750381,0.970576966938
fit,point_equal,bin_2400_2699,2400,2700,1759,1759,0,-0.115329730335,0.127433352117,0.144876412573,0.242342571352,36.9199586842,-0.00378507761293,0.0215698608433,0.0240607688212,0.044732428624,1.01832132883,35.9016373554,0.972418134659
fit,point_equal,bin_2700_2999,2700,3000,1980,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,0.00166121359854,0.0195363211366,0.023004598621,0.054637241171,1.04783888427,181.065383158,0.994246222913
