frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,height_relative_mm,reference_platform_id
0,laser 003.tif,p01,1058,1094,37,-0.02737248635423839,0.010323604922120921,p05
1,laser 003_02.tif,p01,1058,1094,37,-0.02504523628442712,0.013202065308746569,p05
0,laser 003.tif,p02,1300,1372,73,20.027026611901874,20.064722703178234,p05
1,laser 003_02.tif,p02,1300,1372,73,20.0298549039818,20.068102205574974,p05
0,laser 003.tif,p03,1398,1440,43,10.003053408635424,10.040749499911783,p05
1,laser 003_02.tif,p03,1398,1440,43,10.002533486282687,10.04078078787586,p05
0,laser 003.tif,p04,1493,1564,72,6.007556254638189,6.045252345914548,p05
1,laser 003_02.tif,p04,1493,1564,72,6.002355452368761,6.0406027539619345,p05
0,laser 003.tif,p05,1771,1816,46,-0.03769609127635931,0.0,p05
1,laser 003_02.tif,p05,1771,1816,46,-0.03824730159317369,0.0,p05
