scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
0,2167.1173317208886,0.0030917663662136533,nan,0.0,1.0,0.0,False
1,2167.145115248859,0.005493557212167589,nan,0.0,1.0,0.0,False
2,2167.187609605491,0.01211996902874737,nan,0.0,1.0,0.0,False
3,2167.2215293347836,0.0039031774937453856,nan,0.0,1.0,0.0,False
4,nan,0.0,nan,0.0,0.0,0.0,False
5,2167.250535607338,0.007659557514127327,nan,0.0,1.0,0.0,False
6,nan,0.0,nan,0.0,0.0,0.0,False
7,2167.172886289656,0.003046511187625081,nan,0.0,1.0,0.0,False
8,2167.090594831854,0.012215563349526141,nan,0.0,1.0,0.0,False
9,nan,0.0,nan,0.0,0.0,0.0,False
10,nan,0.0,nan,0.0,0.0,0.0,False
11,2166.965175865218,0.0025035254357251373,nan,0.0,1.0,0.0,False
12,2166.9726048866287,0.001415695519323723,nan,0.0,1.0,0.0,False
13,2166.977151817642,0.018493192872521068,nan,0.0,1.0,0.0,False
14,2166.9731454653665,0.030471585368764282,nan,0.0,1.0,0.0,False
15,2166.9553459640592,0.030720066065427303,nan,0.0,1.0,0.0,False
16,2166.919646628201,0.023113679434874503,nan,0.0,1.0,0.0,False
17,2166.8899689652026,0.012034215997095893,nan,0.0,1.0,0.0,False
18,2166.9027872495353,0.0029057459819547588,nan,0.0,1.0,0.0,False
19,2166.948172589764,0.016098165278664114,nan,0.0,1.0,0.0,False
20,2166.9714248655364,0.02191453178902172,nan,0.0,1.0,0.0,False
21,2166.973419716116,0.02292579075984646,nan,0.0,1.0,0.0,False
22,2166.9710753341205,0.02172002605877747,nan,0.0,1.0,0.0,False
23,2166.9538384024054,0.020803665985731072,nan,0.0,1.0,0.0,False
24,2166.896125923842,0.017871322708187906,nan,0.0,1.0,0.0,False
25,2166.8061654493213,0.011157166421364507,nan,0.0,1.0,0.0,False
26,2166.740717962384,0.006457044705838754,nan,0.0,1.0,0.0,False
27,2166.7395745813847,0.0009867420173370512,nan,0.0,1.0,0.0,False
28,2166.7724446430802,0.015038806875520826,nan,0.0,1.0,0.0,False
29,2166.791705735028,0.02655311515445452,nan,0.0,1.0,0.0,False
30,2166.776628509164,0.028255436902521656,nan,0.0,1.0,0.0,False
31,2166.7441999018192,0.021021499338081593,nan,0.0,1.0,0.0,False
32,2166.71327637136,0.009860739897881533,nan,0.0,1.0,0.0,False
33,2166.681760236621,0.0008763383476627642,nan,0.0,1.0,0.0,False
34,2166.6384723186493,0.008864072297720167,nan,0.0,1.0,0.0,False
35,2166.5853067189455,0.014269553133212116,nan,0.0,1.0,0.0,False
36,2166.542909666896,0.0198359295628944,nan,0.0,1.0,0.0,False
37,2166.5547029078007,0.02721527375469705,nan,0.0,1.0,0.0,False
38,2166.520320817828,0.03599090089081711,nan,0.0,1.0,0.0,False
39,2166.4697058945894,0.03569755882518128,nan,0.0,1.0,0.0,False
40,2166.4400572925806,0.026254515269466965,nan,0.0,1.0,0.0,False
41,2166.44987668097,0.016492672951616244,nan,0.0,1.0,0.0,False
42,2166.4540882110596,0.010651983758400803,nan,0.0,1.0,0.0,False
43,2166.4189594984055,0.005754562108283428,nan,0.0,1.0,0.0,False
44,2166.366272062063,0.002312302549853179,nan,0.0,1.0,0.0,False
45,2166.339257866144,0.0024287542922887795,nan,0.0,1.0,0.0,False
46,2166.348712205887,0.004392797432896441,nan,0.0,1.0,0.0,False
47,2166.3633745014668,0.006131397080819331,nan,0.0,1.0,0.0,False
48,2166.3547123521566,0.006723033466791006,nan,0.0,1.0,0.0,False
49,2166.3305314183235,0.0,nan,0.0,0.5,0.0,False
50,2166.2977304905653,0.015914628924289333,nan,0.0,1.0,0.0,False
51,2166.311646923423,0.025669980627469374,nan,0.0,1.0,0.0,False
52,2166.3473843187094,0.02854928473033961,nan,0.0,1.0,0.0,False
53,2166.3081591427326,0.022674288002436305,nan,0.0,1.0,0.0,False
54,2166.2007614299655,0.020820427260548245,nan,0.0,1.0,0.0,False
55,2166.123531498015,0.02510119837010273,nan,0.0,1.0,0.0,False
56,2166.119329497218,0.029525532182397448,nan,0.0,1.0,0.0,False
57,2166.1470196545124,0.03433684782100707,nan,0.0,1.0,0.0,False
58,2166.1630955561996,0.03775077416052587,nan,0.0,1.0,0.0,False
59,2166.16231097281,0.033532159115812823,nan,0.0,1.0,0.0,False
60,2166.171507768333,0.0160080368773016,nan,0.0,1.0,0.0,False
61,2166.1896850690246,0.01344232640077667,nan,0.0,1.0,0.0,False
62,2166.1950017139316,0.03774554795131052,nan,0.0,1.0,0.0,False
63,2166.18092058599,0.042887537226624486,nan,0.0,1.0,0.0,False
64,nan,0.0,nan,0.0,0.0,0.0,False
65,2166.0784820131958,0.014584500727065835,nan,0.0,1.0,0.0,False
66,2165.9937835319433,0.0023499900642282683,nan,0.0,1.0,0.0,False
67,2165.930931095034,0.009299106799693552,nan,0.0,1.0,0.0,False
68,2165.9264461286366,0.003078737721667723,nan,0.0,1.0,0.0,False
69,2165.9416676145047,0.006282912367037963,nan,0.0,1.0,0.0,False
70,2165.944047115743,0.010558797076343216,nan,0.0,1.0,0.0,False
71,2165.932512510568,0.010420655511992697,nan,0.0,1.0,0.0,False
