row_v_px,bias_mm,build_sample_count,supported,in_high_precision_work_region,smooth_window,aggregate
0,,3,False,False,1,median
1,,3,False,False,1,median
2,,3,False,False,1,median
3,,3,False,False,1,median
4,,3,False,False,1,median
5,,3,False,False,1,median
6,,3,False,False,1,median
7,,3,False,False,1,median
8,,3,False,False,1,median
9,,3,False,False,1,median
10,,3,False,False,1,median
11,,3,False,False,1,median
12,,3,False,False,1,median
13,,3,False,False,1,median
14,,3,False,False,1,median
15,,3,False,False,1,median
16,,3,False,False,1,median
17,,3,False,False,1,median
18,,3,False,False,1,median
19,,3,False,False,1,median
20,,3,False,False,1,median
21,,3,False,False,1,median
22,,4,False,False,1,median
23,,4,False,False,1,median
24,,4,False,False,1,median
25,,4,False,False,1,median
26,,4,False,False,1,median
27,,4,False,False,1,median
28,,4,False,False,1,median
29,,4,False,False,1,median
30,,4,False,False,1,median
31,,4,False,False,1,median
32,,4,False,False,1,median
33,,4,False,False,1,median
34,,4,False,False,1,median
35,,4,False,False,1,median
36,,4,False,False,1,median
37,,4,False,False,1,median
38,,3,False,False,1,median
39,,3,False,False,1,median
40,,3,False,False,1,median
41,,3,False,False,1,median
42,,3,False,False,1,median
43,,3,False,False,1,median
44,,3,False,False,1,median
45,,3,False,False,1,median
46,,3,False,False,1,median
47,,4,False,False,1,median
48,,4,False,False,1,median
49,,4,False,False,1,median
50,,4,False,False,1,median
51,,4,False,False,1,median
52,,4,False,False,1,median
53,,4,False,False,1,median
54,,4,False,False,1,median
55,,4,False,False,1,median
56,,4,False,False,1,median
57,,4,False,False,1,median
58,,4,False,False,1,median
59,,4,False,False,1,median
60,,4,False,False,1,median
61,,4,False,False,1,median
62,,4,False,False,1,median
63,,4,False,False,1,median
64,,4,False,False,1,median
65,,4,False,False,1,median
66,,4,False,False,1,median
67,,4,False,False,1,median
68,,4,False,False,1,median
69,,4,False,False,1,median
70,,4,False,False,1,median
71,,4,False,False,1,median
72,,4,False,False,1,median
73,,4,False,False,1,median
74,,4,False,False,1,median
75,,4,False,False,1,median
76,,4,False,False,1,median
77,,4,False,False,1,median
78,,4,False,False,1,median
79,,4,False,False,1,median
80,,4,False,False,1,median
81,,4,False,False,1,median
82,,4,False,False,1,median
83,,4,False,False,1,median
84,,4,False,False,1,median
85,,4,False,False,1,median
86,,4,False,False,1,median
87,,4,False,False,1,median
88,,4,False,False,1,median
89,,4,False,False,1,median
90,,4,False,False,1,median
91,,4,False,False,1,median
92,,4,False,False,1,median
93,,4,False,False,1,median
94,,4,False,False,1,median
95,,4,False,False,1,median
96,,4,False,False,1,median
97,,4,False,False,1,median
