split,frame_i,frame_j,common_sample_count,correlation_coefficient,eligible_overlap_ge_100
fit,001,002,1002,0.588925595,True
fit,001,003,725,0.631013933,True
fit,001,004,818,0.791190702,True
fit,001,005,1566,0.713314465,True
fit,001,006,773,0.557486864,True
fit,001,007,787,0.777281595,True
fit,001,008,1251,0.903452301,True
fit,001,009,1193,0.739108801,True
fit,001,010,1058,0.745193711,True
fit,002,003,1084,0.222496158,True
fit,002,004,1106,0.490334752,True
fit,002,005,1704,0.515257741,True
fit,002,006,659,0.015314338,True
fit,002,007,846,0.073929131,True
fit,002,008,1129,0.534231510,True
fit,002,009,968,0.468398398,True
fit,002,010,882,0.462204101,True
fit,003,004,848,0.424725982,True
fit,003,005,1517,0.396094606,True
fit,003,006,738,0.509196642,True
fit,003,007,528,-0.504884933,True
fit,003,008,888,-0.164001524,True
fit,003,009,763,-0.091247295,True
fit,003,010,775,0.734094054,True
fit,004,005,1443,0.355663563,True
fit,004,006,554,0.282796284,True
fit,004,007,1116,0.552894275,True
fit,004,008,974,0.733122961,True
fit,004,009,1064,0.696598708,True
fit,004,010,839,0.980271870,True
fit,005,006,1580,0.455991283,True
fit,005,007,1237,-0.475362881,True
fit,005,008,1710,0.419111785,True
fit,005,009,1678,0.375381239,True
fit,005,010,1361,0.664254690,True
fit,006,007,503,-0.420029647,True
fit,006,008,875,-0.004868870,True
fit,006,009,897,-0.004279363,True
fit,006,010,827,0.579856859,True
fit,007,008,831,0.885535214,True
fit,007,009,888,0.444190458,True
fit,007,010,634,0.766422686,True
fit,008,009,1221,0.777560149,True
fit,008,010,759,0.725997904,True
fit,009,010,969,0.619126723,True
validation,011,012,1345,0.405301908,True
validation,011,013,765,0.884073205,True
validation,012,013,1569,0.456998235,True
