frame_id,split,laser_file,extracted_center_count,reconstructed_point_count,residual_sample_count,residual_mean_mm,residual_median_mm,residual_std_mm,residual_mae_mm,residual_rmse_mm,residual_p95_abs_mm,residual_max_abs_mm,positive_fraction,pnp_reprojection_rmse_px,pnp_tilt_deg,plane_nx,plane_ny,plane_nz,plane_d_mm,filtered_no_valid_intersection,filtered_outside_working_distance,filtered_non_finite
001,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 001.tif,1705,1702,1702,0.024201580,-0.015879987,0.211552897,0.127932869,0.212870968,0.639746446,0.807638092,0.432432432,0.080726000,0.023814000,-0.000137000,0.000392000,1.000000000,0.029960000,3,0,0
002,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 002.tif,1799,1790,1790,0.013134751,-0.006783112,0.172454417,0.118146249,0.172905850,0.280124131,0.768803653,0.470949721,0.087381000,0.031636000,0.000176000,0.000523000,1.000000000,0.044441000,9,0,0
003,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 003.tif,1609,1530,1530,0.014112069,-0.014134470,0.105485186,0.074337458,0.106390800,0.280455872,0.375713326,0.429411765,0.075027000,0.021591000,0.000005000,0.000377000,1.000000000,0.038386000,79,0,0
004,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 004.tif,1728,1579,1579,-0.068669312,-0.085061567,0.203349010,0.153072163,0.214569584,0.529271456,0.719228209,0.200126662,0.092166000,0.027581000,-0.000111000,0.000468000,1.000000000,0.029045000,149,0,0
005,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 005.tif,2872,2854,2854,-0.066743500,-0.086485520,0.093525966,0.097853906,0.114885753,0.198668779,0.359651453,0.249824807,0.081623000,0.023155000,-0.000222000,0.000338000,1.000000000,-0.014222000,18,0,0
006,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 006.tif,1893,1581,1581,-0.061853370,-0.094775895,0.155923893,0.137640094,0.167698307,0.344174716,0.528745703,0.192915876,0.082762000,0.038543000,0.000141000,0.000658000,1.000000000,0.022851000,312,0,0
007,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 007.tif,1968,1374,1374,-0.136189338,-0.112014922,0.131227841,0.163470831,0.189091905,0.345728933,0.401333756,0.072780204,0.090630000,0.022413000,0.000052000,0.000388000,1.000000000,0.005206000,594,0,0
008,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 008.tif,1871,1847,1847,-0.127369771,-0.140591600,0.177740354,0.184767976,0.218626594,0.432750528,0.625945702,0.069301570,0.077315000,0.045351000,0.000433000,0.000662000,1.000000000,0.022078000,24,0,0
009,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 009.tif,1868,1815,1815,-0.165078004,-0.175258989,0.173383365,0.215398150,0.239365778,0.410310791,0.575459220,0.064462810,0.086654000,0.034781000,0.000441000,0.000417000,1.000000000,0.036792000,53,0,0
010,fit,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 010.tif,1632,1492,1492,-0.113816690,-0.144789555,0.187009902,0.180586577,0.218868687,0.452861602,0.733799489,0.087801609,0.090889000,0.045389000,0.000156000,0.000777000,1.000000000,0.005044000,140,0,0
011,validation,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 011.tif,1694,1673,1673,-0.108231865,-0.127675737,0.116718680,0.141387603,0.159151638,0.268077805,0.348004583,0.152420801,0.087447000,0.042090000,0.000539000,0.000499000,1.000000000,0.059470000,21,0,0
012,validation,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 012.tif,2626,2592,2592,-0.104434122,-0.106790200,0.181410791,0.163702493,0.209293249,0.448490975,0.683296504,0.069058642,0.072619000,0.056122000,0.000235000,0.000951000,1.000000000,0.027465000,34,0,0
013,validation,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 013.tif,1799,1784,1784,-0.133550908,-0.143628972,0.112174293,0.154846733,0.174389976,0.293187152,0.366813455,0.083520179,0.085094000,0.044290000,0.000593000,0.000496000,1.000000000,0.050229000,15,0,0
