v_px,fit_sample_count,fit_residual_median_mm,fit_residual_mean_mm,fit_residual_std_mm,fit_residual_mad_mm,fit_residual_p95_abs_mm,fit_positive_fraction,fit_sign_consistency,validation_sample_count,validation_residual_median_mm,validation_residual_mean_mm,validation_residual_std_mm,validation_residual_mad_mm,validation_residual_p95_abs_mm,validation_positive_fraction,validation_sign_consistency
0,3,0.195556432,0.317800834,0.310312747,0.108328839,0.623112271,1.000000000,1.000000000,2,-0.005822443,-0.005822443,0.044408527,0.031401571,0.036641769,0.500000000,0.500000000
1,3,0.201659399,0.322961329,0.326126787,0.126791438,0.643286903,1.000000000,1.000000000,2,-0.002003079,-0.002003079,0.039673805,0.028053617,0.029856388,0.500000000,0.500000000
2,3,0.203843127,0.337972993,0.336548891,0.114672325,0.669198859,1.000000000,1.000000000,2,0.010530543,0.010530543,0.040031972,0.028306879,0.037784368,0.500000000,0.500000000
3,3,0.201949529,0.345404980,0.337449734,0.098564689,0.677987467,1.000000000,1.000000000,2,0.016325268,0.016325268,0.055909526,0.039534005,0.054226746,0.500000000,0.500000000
4,3,0.200238566,0.346458378,0.323459626,0.078312607,0.665513406,1.000000000,1.000000000,2,0.008617099,0.008617099,0.070927548,0.050153350,0.057908740,0.500000000,0.500000000
5,3,0.199923667,0.346948314,0.307193179,0.059026017,0.650013629,1.000000000,1.000000000,2,-0.001087734,-0.001087734,0.073032771,0.051641968,0.052620929,0.500000000,0.500000000
6,3,0.198777736,0.353052881,0.308521249,0.046678538,0.657331310,1.000000000,1.000000000,2,-0.001432651,-0.001432651,0.061765510,0.043674811,0.044964197,0.500000000,0.500000000
7,3,0.197414843,0.363233849,0.325938320,0.043869904,0.684609072,1.000000000,1.000000000,2,0.004443615,0.004443615,0.043843323,0.031001911,0.035001165,0.500000000,0.500000000
8,3,0.202197877,0.372622300,0.340674167,0.051406564,0.708609726,1.000000000,1.000000000,2,0.007117165,0.007117165,0.026404340,0.018670688,0.025076136,0.500000000,0.500000000
9,3,0.215536138,0.371111586,0.333829064,0.072069397,0.700452305,1.000000000,1.000000000,2,0.004716279,0.004716279,0.011504065,0.008134602,0.012379253,0.500000000,0.500000000
10,3,0.226362605,0.365583820,0.323344346,0.091192602,0.684333228,1.000000000,1.000000000,2,0.004522396,0.004522396,0.002035883,0.001439586,0.005818024,1.000000000,1.000000000
11,3,0.228503842,0.359401224,0.317330818,0.100045989,0.671968164,1.000000000,1.000000000,2,0.010189667,0.010189667,0.013389508,0.009467812,0.018710697,1.000000000,1.000000000
12,3,0.221823335,0.356921751,0.327425457,0.103160719,0.679433706,1.000000000,1.000000000,2,0.017033131,0.017033131,0.017760306,0.012558433,0.028335721,1.000000000,1.000000000
13,3,0.210487847,0.334915313,0.317672398,0.112196728,0.647419061,1.000000000,1.000000000,2,0.018601067,0.018601067,0.010238821,0.007239940,0.025117012,1.000000000,1.000000000
14,3,0.201625120,0.313785299,0.308153654,0.124204163,0.616241349,1.000000000,1.000000000,2,0.013226720,0.013226720,0.002214196,0.001565673,0.014635826,1.000000000,1.000000000
15,3,0.197767682,0.308270297,0.305813899,0.124700928,0.608355577,1.000000000,1.000000000,2,0.004878315,0.004878315,0.011132004,0.007871516,0.012261999,0.500000000,0.500000000
16,3,0.197271177,0.320596785,0.315963201,0.112376414,0.631389092,1.000000000,1.000000000,2,-0.006262980,-0.006262980,0.016665821,0.011784515,0.017421197,0.500000000,0.500000000
17,3,0.199743168,0.333358383,0.318267033,0.096063492,0.646961392,1.000000000,1.000000000,2,-0.016533859,-0.016533859,0.025362235,0.017933808,0.032814281,0.500000000,0.500000000
18,3,0.202807838,0.350400450,0.327835474,0.080502476,0.673760118,1.000000000,1.000000000,2,-0.019878326,-0.019878326,0.041616027,0.029426975,0.047317468,0.500000000,0.500000000
19,3,0.199348461,0.357711388,0.333904217,0.066894294,0.687133230,1.000000000,1.000000000,2,-0.017677366,-0.017677366,0.065798098,0.046526281,0.062435911,0.500000000,0.500000000
20,3,0.187239728,0.357862280,0.345378520,0.056239652,0.698536303,1.000000000,1.000000000,2,-0.012657832,-0.012657832,0.097269724,0.068780082,0.080172131,0.500000000,0.500000000
21,3,0.176725677,0.353034405,0.351695429,0.052358780,0.699882145,1.000000000,1.000000000,2,-0.016384256,-0.016384256,0.115190741,0.081452154,0.096197985,0.500000000,0.500000000
22,4,0.336343345,0.386118792,0.293217761,0.186249590,0.712534535,1.000000000,1.000000000,2,-0.014198820,-0.014198820,0.130820837,0.092504301,0.105283239,0.500000000,0.500000000
23,4,0.464229219,0.450176314,0.340266447,0.279575275,0.748329393,1.000000000,1.000000000,2,-0.015236942,-0.015236942,0.129775770,0.091765327,0.105478575,0.500000000,0.500000000
24,4,0.457996173,0.461229236,0.348793698,0.296114279,0.791044589,1.000000000,1.000000000,2,-0.018335480,-0.018335480,0.117946121,0.083400502,0.099902434,0.500000000,0.500000000
25,4,0.448612487,0.456220662,0.345670937,0.287698259,0.790804793,1.000000000,1.000000000,2,-0.021961571,-0.021961571,0.097370443,0.068851301,0.088616715,0.500000000,0.500000000
26,4,0.439832112,0.438680831,0.333289526,0.283559061,0.755790127,1.000000000,1.000000000,2,-0.017954008,-0.017954008,0.078907220,0.055795831,0.071954438,0.500000000,0.500000000
27,4,0.444446388,0.431961344,0.332779269,0.272478347,0.737017394,1.000000000,1.000000000,2,-0.011580741,-0.011580741,0.053915138,0.038123760,0.048546426,0.500000000,0.500000000
28,4,0.460789437,0.438820646,0.340764875,0.270811234,0.737079154,1.000000000,1.000000000,2,-0.004226920,-0.004226920,0.026094321,0.018451471,0.022255699,0.500000000,0.500000000
29,4,0.470275140,0.448824253,0.347363528,0.277388688,0.751571965,1.000000000,1.000000000,2,0.005054646,0.005054646,0.013754440,0.009725858,0.014275040,0.500000000,0.500000000
30,4,0.468552833,0.454058004,0.348544371,0.285592449,0.764406142,1.000000000,1.000000000,2,0.005144141,0.005144141,0.038571479,0.027274154,0.031903882,0.500000000,0.500000000
31,4,0.450198861,0.444917966,0.338816130,0.287162827,0.750022590,1.000000000,1.000000000,2,0.011973092,0.011973092,0.062137444,0.043937808,0.054713591,0.500000000,0.500000000
32,4,0.421668333,0.424142757,0.315778248,0.270701562,0.707784995,1.000000000,1.000000000,2,0.016831702,0.016831702,0.074968032,0.053010404,0.068158936,0.500000000,0.500000000
33,4,0.399212887,0.404791879,0.293579336,0.248471343,0.668558871,1.000000000,1.000000000,2,0.009640778,0.009640778,0.084095962,0.059464825,0.068141526,0.500000000,0.500000000
34,4,0.385951034,0.392742659,0.287116843,0.241280548,0.656438864,1.000000000,1.000000000,2,0.005826102,0.005826102,0.077749943,0.054977512,0.060221003,0.500000000,0.500000000
35,4,0.379324173,0.386983279,0.292173445,0.244047978,0.661324488,1.000000000,1.000000000,2,0.006789735,0.006789735,0.066892293,0.047299994,0.053410756,0.500000000,0.500000000
36,4,0.385922850,0.392804197,0.304425226,0.255830821,0.675033355,1.000000000,1.000000000,2,0.013540426,0.013540426,0.059325110,0.041949188,0.054135572,0.500000000,0.500000000
