frame_id,split,pnp_success,corner_count,detection_method,pnp_reprojection_rmse_px,board_plane_nx,board_plane_ny,board_plane_nz,board_plane_d_mm,board_center_xc_mm,board_center_yc_mm,board_center_zc_mm,board_center_distance_mm,board_tilt_deg,laser_point_count,valid_ray_plane_count,u_min_px,u_max_px,u_span_px,v_min_px,v_max_px,v_span_px,lambda_truth_min_mm,lambda_truth_max_mm,lambda_truth_span_mm,Zc_truth_min_mm,Zc_truth_max_mm,Zc_truth_span_mm,existing_ray_max_abs_delta,existing_point_max_abs_delta_mm,error_message
001,fit,true,88,classic+cornerSubPix,0.15676544616,0.0439360375246,-0.416158918217,-0.908229805388,614.480707689,-30.6030450175,22.7398164044,664.669613547,665.762225414,24.7381413544,822,822,1836.55900526,2061.13973665,224.580731387,1087.02766573,2507.92847903,1420.9008133,636.068188896,694.963194591,58.8950056951,636.068188896,694.963194591,58.8950056951,0,0.131655801927,
002,fit,true,88,classic+cornerSubPix,0.136185670615,0.358404307078,0.0132035054341,-0.933473095548,636.899344589,-47.0174295494,28.1546912699,664.636012445,666.89156117,21.0171533569,890,890,2001.62794356,2009.9004634,8.27251983246,1093.03182863,2599.01273777,1505.98090915,679.582474318,681.277924525,1.69545020737,679.582474318,681.277924525,1.69545020737,0,0.095845341734,
003,fit,true,88,SB,0.139706812323,0.0219796965773,0.323975621273,-0.945810070658,628.619565752,-18.925166732,-0.505792696635,664.023096507,664.29292519,18.9486337672,900,900,1839.02246894,2054.78120005,215.758731111,405.003495761,2511.01402277,2106.01052701,631.549191099,697.081509647,65.5323185475,631.549191099,697.081509647,65.5323185475,0,0.00181270122903,
004,fit,true,88,SB,0.0928935047474,0.049731546368,-0.0217998976263,-0.998524680596,649.426554317,-51.2625864667,-39.0206063988,648.684849191,651.876133989,3.11267706367,900,900,1889.48690519,1919.93736467,30.4504594838,273.986869336,1850.50049806,1576.51362873,648.939170288,652.123157331,3.1839870433,648.939170288,652.123157331,3.1839870433,0,0.00701093404678,
005,fit,true,88,SB,0.0942130658113,0.0406524867539,-0.0296380211045,-0.998733679729,650.367423039,45.6187508077,5.49807487018,652.885749101,654.500649833,2.88373434584,900,900,1878.29944075,1922.9956079,44.6961671503,475.999951423,2731.97787458,2255.97792316,647.311657442,653.394996581,6.08333913912,647.311657442,653.394996581,6.08333913912,0,0.0354473629887,
006,fit,true,88,classic+cornerSubPix,0.0889700151137,0.0432693071889,-0.00801633406651,-0.999031283516,702.830227665,-11.8116110728,4.9670907794,702.960298808,703.077071057,2.52215074694,900,900,2075.60257886,2094.29838346,18.6958045985,850.020130313,2315.03171307,1465.01158276,702.918437417,704.121234673,1.20279725581,702.918437417,704.121234673,1.20279725581,0,0.027522456542,
007,fit,true,88,SB,0.108611648241,0.0445473696427,-0.00741567282738,-0.998979749372,702.900732733,67.999482767,-44.1116939908,706.978343817,711.60954872,2.58837976931,900,900,2081.36500515,2102.07484594,20.7098407837,328.000358758,1781.0239797,1453.02362095,703.475608052,704.598801793,1.12319374065,703.475608052,704.598801793,1.12319374065,0,0.0249445721528,
008,fit,true,88,SB,0.0927701995256,0.0701193245478,-0.0383797276439,-0.996800018475,705.482402347,-32.3494331417,5.62496847228,705.255000158,706.018938374,4.58487230985,900,900,2082.25711717,2121.8813482,39.6242310243,552.47037605,2287.9390935,1735.46871745,704.962458834,711.670354867,6.70789603228,704.962458834,711.670354867,6.70789603228,0,0.0116700759241,
009,fit,true,88,SB,0.0745450976022,0.0486973545626,0.0454498632069,-0.997778972315,706.417541471,-44.7900604248,-40.7508778217,703.947749636,706.547392447,3.81939900594,900,900,2096.64019164,2100.32060353,3.68041188662,361.98543567,1816.0065016,1454.02106593,703.096044291,709.466461135,6.37041684474,703.096044291,709.466461135,6.37041684474,0,0.0189221159874,
010,fit,true,88,SB,0.104501100454,-0.127689599398,-0.0129590368751,-0.991729514318,679.927666806,43.1575281816,-32.8713958048,680.470704168,682.629826576,7.37399622689,900,900,2021.96159951,2043.9633081,22.0017085919,406.999991419,1900.00062285,1493.00063143,685.705041163,687.265454415,1.56041325211,685.705041163,687.265454415,1.56041325211,0,0.0178444491612,
