scope,region,v_min_px,v_max_px,point_count,unique_frame_count,frame_ids,u_min_px,u_max_px,v_observed_min_px,v_observed_max_px,lambda_truth_min,lambda_truth_max,lambda_truth_span,lambda_truth_median,lambda_truth_p05,lambda_truth_p95,Zc_truth_min_mm,Zc_truth_max_mm,Zc_truth_span_mm,Zc_truth_median_mm,subbin_count,subbin_multi_frame_count,subbin_multi_frame_fraction,multi_frame_subbin_lambda_span_median_mm,multi_frame_subbin_lambda_span_max_mm
all,global,,,21502,24,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",1836.55900526,2131.67127397,241.997693497,2731.97787458,631.549191099,713.677891157,82.1287000582,687.037240809,649.3392528,713.02782677,631.549191099,713.677891157,82.1287000582,687.037240809,0,0,,,
all,bin_0000_0299,0,300,60,5,"14,15,18,19,4",1919.05966744,2131.67127397,241.997693497,299.997393564,652.069477271,713.677891157,61.6084138863,693.630025713,652.077127128,713.674118231,652.069477271,713.677891157,61.6084138863,693.630025713,2,1,0.5,61.6084138863,61.6084138863
all,bin_0300_0599,300,600,2042,18,"10,11,13,14,15,16,17,18,19,22,23,24,3,4,5,7,8,9",1839.02246894,2131.10354481,300.001171451,599.998380194,631.549191099,713.651823806,82.1026327068,701.096308172,651.804846836,713.576285316,631.549191099,713.651823806,82.1026327068,701.096308172,10,10,1,78.0586070717,82.0280166794
all,bin_0600_0899,600,900,3005,20,"10,11,13,14,15,16,17,18,19,21,22,23,24,3,4,5,6,7,8,9",1861.49577188,2126.67087109,600.000947776,899.998499292,637.991694542,713.429442634,75.4377480922,687.380136617,643.656834158,713.329866987,637.991694542,713.429442634,75.4377480922,687.380136617,10,10,1,71.3724659271,75.4084731835
all,bin_0900_1199,900,1200,3482,24,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",1889.07084618,2121.94824214,900.001297449,1199.99998396,645.914251404,713.140380939,67.2261295358,686.676222059,651.547621223,713.029989972,645.914251404,713.140380939,67.2261295358,686.676222059,10,10,1,63.1190704981,67.2261295358
all,bin_1200_1499,1200,1500,4037,24,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",1896.12574213,2117.66032648,1200.00155715,1499.9995257,649.65114976,712.872200244,63.2210504845,686.40503234,650.679606271,712.774207086,649.65114976,712.872200244,63.2210504845,686.40503234,10,10,1,62.8386825763,62.9884705033
all,bin_1500_1799,1500,1800,3987,24,"1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9",1891.52163475,2113.39465381,1500.00016132,1799.99969718,649.045346116,712.615726492,63.5703803768,686.011679009,650.290575861,712.529374413,649.045346116,712.615726492,63.5703803768,686.011679009,10,10,1,63.1850297871,63.2946711046
all,bin_1800_2099,1800,2100,2263,19,"1,10,11,12,13,16,17,18,2,20,21,22,24,3,4,5,6,8,9",1888.42955717,2109.65203089,1800.00099086,2099.99953772,648.848952821,712.301366441,63.4524136202,680.519380206,649.338794718,712.198401001,648.848952821,712.301366441,63.4524136202,680.519380206,10,10,1,62.9268696848,63.4275944838
all,bin_2100_2399,2100,2400,1649,14,"1,12,13,16,18,2,20,21,22,24,3,5,6,8",1853.42495265,2106.43602685,2100.00115249,2399.96576957,640.233475117,712.039105835,71.8056307182,686.780867742,643.417807852,711.954717262,640.233475117,712.039105835,71.8056307182,686.780867742,10,10,1,66.2942361053,71.5662807012
all,bin_2400_2699,2400,2700,968,9,"1,12,13,16,2,20,22,3,5",1836.55900526,2103.31377661,2400.00178328,2692.02434431,636.068188896,711.769398833,75.7012099365,681.197789714,637.907657575,711.714239047,636.068188896,711.769398833,75.7012099365,681.197789714,10,9,0.9,73.0635958774,75.6269850121
