split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,30,0,30,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,30,60,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,60,90,75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,90,120,105,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,120,150,135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,150,180,165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,180,210,195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,210,240,225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,57,4,61.6084138863
fit,30,240,270,255,11,1,015,2066.22187013,2067.94940902,1.7275388851,0,693.402592068,693.811412445,0.40882037698,0,0,,,,,,,,,,,,,,,0.302022187343,0.302022187343,,,,,,,0.5,SINGLE_FRAME_ONLY,bin_0000_0299,57,4,61.6084138863
fit,30,270,300,285,46,4,"004,014,015,018",1919.05966744,2131.67127397,212.611606537,212.144481166,652.069477271,713.677891157,61.6084138861,61.5824214828,61.19059997,0.296981812107,80.3792749039,0.927974404741,0.999748010269,91.6988061701,0.000134638728743,0.305763890716,698.602553469,0.0297419572319,31.2008519649,0.281459708361,0.290285286443,0.317003879972,0.122445653539,0.306616995318,0.306616995318,0.00026016804416,0.00127276650106,0.999481416134,91.6988061701,-0.00963518321076,0.968575834484,0.5,SPARSE_BUT_INFORMATIVE,bin_0000_0299,57,4,61.6084138863
fit,30,300,330,315,66,5,"004,007,014,015,018",1919.08992039,2131.10354481,212.013624415,211.695501999,652.011706583,713.651823806,61.6401172233,61.6015626422,61.19059997,0.304952346949,63.5916475674,1.42158793269,0.99977528679,94.2436043043,0.000128657557755,0.310493269582,704.244946293,0.0557252049919,25.5106810804,0.287096781729,0.304472179665,0.31795299645,0.101343297619,0.311377701436,0.311377701436,0.000268604490141,0.0018891373693,0.999516800951,94.2436043043,-0.00642535448685,0.979364757151,0.5,WELL_CONSTRAINED,bin_0300_0599,1482,14,82.1026327068
fit,30,330,360,345,91,5,"004,007,014,015,018",1918.92966203,2130.65636973,211.72670771,211.414541571,651.951720242,713.625986928,61.6742666859,61.6345976776,61.19059997,0.304005636679,65.6550241222,1.30982029422,0.999791554992,94.6147038391,0.000123589159121,0.310240084827,704.325439795,0.0460618850401,28.4360983724,0.287283966557,0.302555462472,0.317733975486,0.100642733997,0.311503070088,0.311503070088,0.000268844459916,0.0019097339179,0.999495515946,94.6147038391,-0.00749743340894,0.975931430124,0.5,WELL_CONSTRAINED,bin_0300_0599,1482,14,82.1026327068
fit,30,360,390,375,99,6,"004,007,009,014,015,018",1918.07490769,2130.31656217,212.241654478,211.59340618,651.891024538,713.599838282,61.7088137437,61.667780468,61.19059997,0.305198932964,63.2418970818,1.29613680418,0.999787576174,83.6909234073,0.000123900781427,0.309826146914,703.760113865,0.0402873573674,32.1722964442,0.287271516249,0.305198932964,0.313838085547,0.0870467306019,0.311501357695,0.311501357695,0.000267610765858,0.00167004508486,0.999502032647,83.6909234073,-0.00630242473038,0.979767585037,0.5,WELL_CONSTRAINED,bin_0300_0599,1482,14,82.1026327068
fit,30,390,420,405,147,10,"003,004,007,009,010,011,014,015,017,018",1839.02246894,2129.75572038,290.733251447,289.557099961,631.549191099,713.572580843,82.0233897434,81.925529381,61.19059997,0.293747883876,87.352921335,1.29545830602,0.999470396064,96.1923904904,0.000118458919867,0.29944338421,690.742728284,0.0522236713645,24.8059600592,0.27946484779,0.293416708347,0.305240355452,0.0878460800934,0.310451240931,0.310451240931,0.00025204131579,0.00159968129256,0.998797420376,96.1923904904,-0.0167033570545,0.946196520251,0.5,WELL_CONSTRAINED,bin_0300_0599,1482,14,82.1026327068
fit,30,420,450,435,152,10,"003,004,007,009,010,011,014,015,017,018",1842.16352522,2129.39674675,287.233221539,286.709513519,632.226949581,713.54700358,81.3200539991,81.2914075908,61.19059997,0.293956526017,86.996418124,1.26802639588,0.999477883743,94.352382568,0.000118273731288,0.299160249793,690.178213041,0.0599393457802,21.1551590925,0.280702801916,0.293956526017,0.304407601577,0.0806404946408,0.305116294729,0.305116294729,0.000252401770579,0.00158480439752,0.998790077574,94.352382568,-0.0111597687121,0.963424540397,0.5,WELL_CONSTRAINED,bin_0300_0599,1482,14,82.1026327068
