split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,30,0,30,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,30,60,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,60,90,75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,90,120,105,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,120,150,135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,150,180,165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,180,210,195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,UNSUPPORTED,bin_0000_0299,94,8,92.2587717938
fit,30,210,240,225,1,1,030,2071.42353138,2071.42353138,0,0,694.708740492,694.708740492,0,0,0,,,,,,,,,,,,,,,0.303162154779,0.303162154779,,,,,,,0.5,SINGLE_FRAME_ONLY,bin_0000_0299,94,8,92.2587717938
fit,30,240,270,255,23,3,"015,025,028",1800.39854613,2067.94940902,267.550862893,265.565533,621.419119364,693.811412445,72.392293081,71.7220764507,13.9638638621,0.270072985905,135.326184678,1.05101796504,0.999617840604,122.466454426,0.00012279307569,0.25706343553,641.542627296,4.20282674683e-13,2.50074064041e+12,0.24726340642,0.270072985905,0.279873015014,0.120743688914,0.301959593415,0.301959593415,0.000233986890474,0,1,92.8781177462,-0.03188660751,0.89440107814,0.5,SPARSE_BUT_INFORMATIVE,bin_0000_0299,94,8,92.2587717938
fit,30,270,300,285,70,8,"004,014,015,018,025,028,029,030",1804.52073646,2131.67127397,327.150537516,325.139882841,622.433899986,713.677891157,91.243991171,90.7548131798,61.19059997,0.282823633573,109.457792993,1.13977622475,0.999429159955,119.90569521,0.000110290542577,0.292326931042,683.086235233,0.128238760604,8.88792296012,0.271748767688,0.281978788001,0.300008603367,0.100219721771,0.301625663949,0.301625663949,0.000250111992191,0.0010874880048,0.999159201887,107.344868377,-0.018802030376,0.937664354784,0.5,WELL_CONSTRAINED,bin_0000_0299,94,8,92.2587717938
