row_type,dataset,omitted_frame_id,remaining_frame_count,status,global_reprojection_rmse_px,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct,candidate_global_p95_abs_delta_lambda_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p90_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,candidate_frame_count
loo,M1-core,026,21,ok,0.1263177877630948,7347.570819343353,-0.29429509666169906,-0.004005178267131642,7348.558436610066,-0.28271003380905313,-0.003847001563480023,2072.997873902563,2.78134375472564,0.1343503790169727,1510.8560455864188,-1.5804085185948225,-0.10449420961160523,-0.04871503526760232,0.00042212988381124666,-0.8590847325247108,0.21884144699920247,-0.008434525023618744,-3.711138026844218,-0.0006209894165148534,-0.00010783519021256177,21.014187292113938,-0.0003743326394854809,0.00010404526005913594,-21.749595906955552,0.0,0.0,nan,0.04939605049663669,0.04225183177898088,0.054332259298359414,0.058729338845387793,0.06299708074907358,30
loo,M1-core,027,21,ok,0.12593857310138656,7349.392792246387,1.5276778063725942,0.02079077095972276,7350.349316776018,1.5081701321432774,0.020522557258324196,2072.0585357163814,1.8420055685442094,0.08897646896929516,1511.383242951517,-1.053211153496477,-0.06963672097679742,-0.04917283487620014,-3.56697247865731e-05,0.07259215031363477,0.22145840135983372,-0.005817570662987492,-2.5596945472103574,-0.0005659417926056001,-5.2787566303308495e-05,10.28688133072339,-0.00040518130779049297,7.319659175412387e-05,-15.300997772640006,0.0,0.0,nan,0.15581165894931245,0.14753514238746276,0.15896628691951037,0.15967409424215162,0.16540902579956765,30
loo,M1-core,028,21,ok,0.12484997985321979,7348.355033987376,0.48991954736175103,0.006667508721668853,7349.300230408084,0.4590837642090264,0.00624702255836193,2070.2494236263565,0.03289347851932689,0.0015888907290764372,1509.0027280880906,-3.4337260169229467,-0.22703274624221215,-0.04869013494378013,0.0004470302076334323,-0.9097598655842934,0.22237274563581938,-0.00490322638700183,-2.15738880945562,-0.0006674068378431856,-0.000154252611540894,30.059698163730225,-0.0004743406363703939,4.037263174222949e-06,-0.8439485139397427,0.0,0.0,nan,0.08868222904243908,0.08518284329163635,0.09561074662102383,0.09999488311082956,0.10114497131414169,30
loo,M1-core,035,21,ok,0.12814565456830546,7349.248590123797,1.383475683782308,0.018828267289004847,7350.195761483864,1.3546148399891536,0.01843304016181911,2071.6212209267437,1.40469077890657,0.06785236029422773,1509.7760666204736,-2.660387484540024,-0.17590077767031292,-0.049097605031439215,3.956011997435088e-05,-0.08050956918749479,0.22698467644085615,-0.00029129558196505645,-0.12816822621962295,-0.0006385207894807123,-0.0001253665631784207,24.430581831468555,-0.00042247484868908607,5.5903050855530775e-05,-11.68596018100892,0.0,0.0,nan,0.1607372752953324,0.1554529852062984,0.16761483162328317,0.1714581082609385,0.1758513595254442,30
loo,M1-full,026,25,ok,0.12606139528691104,7348.123636022901,0.2585215828867149,0.003518322381540029,7349.147662311644,0.30651566776941763,0.004170938814065937,2072.1493242531515,1.932794105314315,0.09336192988355142,1510.8123314869167,-1.6241226180968624,-0.10738451944137642,-0.048856617316747515,0.0002805478346660506,-0.5709483520295836,0.2181557510752573,-0.0091202209475639,-4.012839926012118,-0.000614179692318069,-0.00010102546601577743,19.68715462868756,-0.00041932573092697966,5.905216861763719e-05,-12.344250993587043,0.0,0.0,nan,0.05356974536987876,0.04961127088375008,0.05775738455158433,0.06264859685733626,0.06475924083058544,30
loo,M1-full,027,25,ok,0.12562807133317488,7349.957261455043,2.092147015028786,0.02847285548175485,7350.946538994702,2.10539235082706,0.02864931094324398,2071.427265179392,1.210735031555032,0.058483497446934776,1511.3413800332955,-1.0950740717180452,-0.07240463351341639,-0.04923395029103862,-9.678513962505658e-05,0.19696931910259435,0.21971414464508704,-0.0075618273777341705,-3.3271565447203866,-0.0005639369582297649,-5.078273192747325e-05,9.896192864551773,-0.00044546629929822313,3.291160024639371e-05,-6.879832926588646,0.0,0.0,nan,0.21221216945595528,0.19963762870175117,0.21465448268766238,0.21598509549421407,0.21944069150829365,30
loo,M1-full,028,25,ok,0.12476198616804063,7348.866194551885,1.0010801118705785,0.013624094839510013,7349.850231468524,1.0090848246491078,0.013731210193731625,2069.958835798271,-0.2576943495660089,-0.01244770031604407,1509.2258371496048,-3.2106169554087955,-0.21228111413835782,-0.048867593704143376,0.00026957144727018933,-0.5486100926651328,0.22159652800373997,-0.005679444019081242,-2.4989196915681693,-0.0006563645811827252,-0.00014321035488043359,27.90785840591917,-0.0005001829996556887,-2.1805100111071843e-05,4.55813283427784,0.0,0.0,nan,0.13289677423026092,0.1289082021753785,0.13918222439050737,0.14649981522696065,0.1470222124123893,30
loo,M1-full,035,25,ok,0.12755015216256263,7349.662415100534,1.7973006605197952,0.024460174928738723,7350.64388188875,1.8027352448752936,0.02453087784729951,2071.0461367467287,0.829606598891587,0.04007342163538534,1509.9138707984532,-2.522583306560364,-0.16678937483380787,-0.0492213371453461,-8.417199393253444e-05,0.17130006111089827,0.22563372964786668,-0.0016422423749545279,-0.7225763288297046,-0.0006299970539551086,-0.00011684282765281697,22.769534316177797,-0.0004587932930532143,1.958460649140257e-05,-4.093961387021805,0.0,0.0,nan,0.19843286560333695,0.19040007245208698,0.20322618162486492,0.20992181719729613,0.2125181503761951,30
loo,M1-full,031,25,ok,0.12819400478871143,7349.356633534434,1.4915190944193455,0.020298672759904293,7350.345724171693,1.504577527818583,0.020473670580098264,2071.586729718012,1.3701995701749183,0.0661862926037534,1509.5531405490312,-2.8833135559823404,-0.19064031074869492,-0.049020529740024965,0.00011663541138860062,-0.23736699304730907,0.22156530645300887,-0.00571066556981234,-2.512656977763985,-0.0006559206321317002,-0.0001427664058294086,27.82134463904951,-0.0004371081076487098,4.126979189590706e-05,-8.627027280146738,0.0,0.0,nan,0.1773673867510638,0.16941420106298893,0.18284446007431995,0.1909524197348088,0.19399006117951104,30
loo,M1-full,033,25,ok,0.12793658600866098,7349.44076034772,1.5756459077056206,0.021443587806329805,7350.435481605401,1.5943349615263287,0.021695052726162706,2072.116406123215,1.899875975377654,0.09177184838930742,1510.0961670140437,-2.340287090969923,-0.15473622608196066,-0.04899057990089317,0.00014658525052039378,-0.29831849287336604,0.22086899739660423,-0.006406974626216977,-2.819028588545049,-0.0006388376340356604,-0.0001256834077333688,24.49232633998235,-0.00040962423366127846,6.875366588333839e-05,-14.372249627080848,0.0,0.0,nan,0.18142837445267898,0.17137404257359207,0.1863435232421756,0.19356376385329951,0.19793999857092218,30
