predictor,bin_index,bin_start_mm,bin_end_mm,bin_center_mm,point_count,unique_frame_count,frame027_point_count,residual_mean_mm,residual_median_mm,residual_std_mm,residual_rmse_mm,residual_p95_abs_mm
grid_x_mod_20_mm,0,0.0,1.0,0.5,1088,24,118,-0.011220711960168828,-0.00447532252695737,0.09280474770625442,0.09343826555364466,0.18615556173683667
grid_x_mod_20_mm,1,1.0,2.0,1.5,868,21,55,-0.006434639000262313,-0.0009121400956360048,0.06758191548293155,0.06784878772254689,0.13707833698861122
grid_x_mod_20_mm,2,2.0,3.0,2.5,883,21,7,-0.00702542687575122,-0.00020501048106780217,0.06699748715783314,0.06732708581522891,0.13394679636924137
grid_x_mod_20_mm,3,3.0,4.0,3.5,870,21,42,-0.002678995259874886,0.003381289988624303,0.06802484401930786,0.06803850081058972,0.13518312433719756
grid_x_mod_20_mm,4,4.0,5.0,4.5,1003,21,98,0.009181768648012968,0.007481661696601805,0.07284304812968004,0.07338340614460823,0.14653116105830574
grid_x_mod_20_mm,5,5.0,6.0,5.5,1037,23,82,0.008293820557021348,-0.0031920557444209408,0.09387080298955915,0.09419138913279658,0.20618450088065854
grid_x_mod_20_mm,6,6.0,7.0,6.5,1267,24,23,-0.016412284869596522,-0.02254010141643903,0.0773111821485116,0.07900420572448953,0.140154397386209
grid_x_mod_20_mm,7,7.0,8.0,7.5,1810,25,35,0.004974723693061472,0.00485178657953611,0.08473449841075312,0.08485703436784156,0.12635235491361527
grid_x_mod_20_mm,8,8.0,9.0,8.5,1321,25,90,0.03057851861316555,0.013981013403054021,0.12336152505426481,0.1270495633753637,0.4116281034213216
grid_x_mod_20_mm,9,9.0,10.0,9.5,1404,25,91,0.021510122158206402,-0.005783258706799188,0.13165281454437688,0.133352179859157,0.4461077133497497
grid_x_mod_20_mm,10,10.0,11.0,10.5,1368,25,43,0.007843465039348702,-0.00334819086464222,0.11187953174103968,0.11211333413543045,0.14270521139208633
grid_x_mod_20_mm,11,11.0,12.0,11.5,1542,27,26,0.014430306044479846,0.012074230243740658,0.0883139640126762,0.08945687242406192,0.13134000912604032
grid_x_mod_20_mm,12,12.0,13.0,12.5,2363,28,72,0.03551838100463633,0.021751208983118886,0.11091683029334742,0.11644265673570915,0.1626810617265733
grid_x_mod_20_mm,13,13.0,14.0,13.5,2064,28,85,0.0289045682911686,0.017155351847179645,0.14170916010020765,0.14459332876120545,0.20412515051116867
grid_x_mod_20_mm,14,14.0,15.0,14.5,1814,26,14,-0.008093945188033675,-0.0107114239542625,0.09000554808373852,0.09034403585127418,0.14331393393472922
grid_x_mod_20_mm,15,15.0,16.0,15.5,1404,25,0,0.004705231617641934,0.01226157993733068,0.07499950260796578,0.07512029179190874,0.14296890248991187
grid_x_mod_20_mm,16,16.0,17.0,16.5,1055,23,0,-0.0030225839286491052,-0.00046497725668359635,0.0715555394660873,0.07158545925164746,0.1378056533337485
grid_x_mod_20_mm,17,17.0,18.0,17.5,1184,23,0,-0.002853003400748122,-0.002276513119397805,0.06139783956945961,0.06143818412381409,0.13316942660405284
grid_x_mod_20_mm,18,18.0,19.0,18.5,1019,23,0,-0.0023832220152298555,-0.005664484811859438,0.06881864918006597,0.0688261470806783,0.14168509574064955
grid_x_mod_20_mm,19,19.0,20.0,19.5,1299,24,9,0.021328017582745214,0.012992416317956668,0.10860453704306855,0.1106379219831273,0.21771348874309518
grid_y_mod_20_mm,0,0.0,1.0,0.5,1267,24,35,-0.0033094500433753673,-0.01194328249175669,0.10005878958625627,0.10007403204816902,0.18888515217222449
grid_y_mod_20_mm,1,1.0,2.0,1.5,1232,24,50,0.0016074265572091856,-0.01681425896759947,0.09274504591593832,0.09272133254306701,0.13966439021739352
grid_y_mod_20_mm,2,2.0,3.0,2.5,1124,25,41,0.020717821965149597,0.00910174247201212,0.1023975460691368,0.10442776004064083,0.1599915659347913
grid_y_mod_20_mm,3,3.0,4.0,3.5,1313,26,36,0.012897455156806981,0.006431681003277845,0.09298841385517406,0.09384350748529907,0.13766331190570322
grid_y_mod_20_mm,4,4.0,5.0,4.5,1457,26,36,0.014183847453350893,0.01071344199226587,0.08667394404799854,0.08779748316502166,0.13454929591341627
grid_y_mod_20_mm,5,5.0,6.0,5.5,1523,27,37,0.019019920851458465,0.020796955301079834,0.08712895507082141,0.08915283316121676,0.13316100662226507
grid_y_mod_20_mm,6,6.0,7.0,6.5,1265,26,45,0.00450520817279568,-0.004030875287185154,0.09781693506944768,0.09788200003022714,0.15137807205869633
grid_y_mod_20_mm,7,7.0,8.0,7.5,1237,26,46,0.013997872713798992,0.012414297608188463,0.09704283404951443,0.09800836217437478,0.15289593474797142
grid_y_mod_20_mm,8,8.0,9.0,8.5,1339,26,51,0.015536032763908537,0.012007698306206294,0.09132200480768551,0.09260047821170675,0.14018597629876686
grid_y_mod_20_mm,9,9.0,10.0,9.5,1325,26,48,0.013740870597970708,0.005459166333594112,0.09652861755288714,0.09746565163785927,0.15463843805428032
grid_y_mod_20_mm,10,10.0,11.0,10.5,1307,26,51,0.006257122859368588,0.0074757459850616215,0.10183327677644212,0.10198643847397396,0.16174976271208844
grid_y_mod_20_mm,11,11.0,12.0,11.5,1231,26,46,0.007608317740857535,0.010643578019539746,0.10474656837950623,0.10498007970273314,0.16439855487527666
grid_y_mod_20_mm,12,12.0,13.0,12.5,1517,27,48,0.010448647727692327,0.0047308089223179195,0.09533199420032988,0.09587164576465844,0.16038892759804643
grid_y_mod_20_mm,13,13.0,14.0,13.5,1381,26,48,0.010216942580512669,0.003618864102122643,0.0939872637587631,0.09450711685440513,0.14174405366793508
grid_y_mod_20_mm,14,14.0,15.0,14.5,1411,26,46,0.02109691684055299,0.01620742250793228,0.09441633754852254,0.09671197896694977,0.14607291245511078
grid_y_mod_20_mm,15,15.0,16.0,15.5,1490,27,43,0.009811413587525393,0.0026720259663193247,0.09173571961869131,0.09222829361276927,0.15157713058200667
grid_y_mod_20_mm,16,16.0,17.0,16.5,1501,27,44,-0.007868807674605426,-0.01698542620556509,0.10043202245300774,0.1007064514024539,0.16491104956253366
grid_y_mod_20_mm,17,17.0,18.0,17.5,1288,25,47,0.0012137434267869823,-0.002033280621674294,0.11012990410495362,0.1100938342489866,0.17255760291127445
grid_y_mod_20_mm,18,18.0,19.0,18.5,1250,25,48,0.001288326613528443,-0.0058932194161229745,0.11072530716380669,0.11068850598443025,0.19516541222755562
grid_y_mod_20_mm,19,19.0,20.0,19.5,1205,25,44,0.0037938831030997033,-0.007525946333885258,0.12032748380974229,0.12033736488523923,0.21845718060990293
distance_to_vertical_grid_line_mm,0,0.0,1.0,0.5,2387,24,127,0.006492233023595454,0.004219295121856703,0.1029716389131923,0.10315457074873628,0.20653078955081125
distance_to_vertical_grid_line_mm,1,1.0,2.0,1.5,1887,24,55,-0.004246830888048178,-0.003202588481372004,0.06826438943953499,0.0683783072001283,0.1391321003918506
distance_to_vertical_grid_line_mm,2,2.0,3.0,2.5,2067,24,7,-0.004635417492875715,-0.0012381902462266225,0.06386758462674717,0.06402016898544137,0.13357181977762592
distance_to_vertical_grid_line_mm,3,3.0,4.0,3.5,1925,24,42,-0.0028672996991251725,0.0021891783171668067,0.06996410856264959,0.07000467876936889,0.13674391900312913
distance_to_vertical_grid_line_mm,4,4.0,5.0,4.5,2407,26,98,0.006570610363575522,0.009697018210545139,0.07412615400362668,0.0744014571986034,0.1444551128732769
distance_to_vertical_grid_line_mm,5,5.0,6.0,5.5,2851,27,96,-0.002133189987184127,-0.007292075135751475,0.09175340380539948,0.09176210939270021,0.1643480571577811
distance_to_vertical_grid_line_mm,6,6.0,7.0,6.5,3331,29,108,0.011667566503510416,0.0027181670168374694,0.12327763181922179,0.12381011351676054,0.1761835027481311
distance_to_vertical_grid_line_mm,7,7.0,8.0,7.5,4173,29,107,0.02227035327064388,0.01463083589544567,0.10152632137009007,0.10392830460323155,0.15352263812792433
distance_to_vertical_grid_line_mm,8,8.0,9.0,8.5,2863,27,116,0.021881157879350195,0.012961050934109153,0.10622186011659752,0.1084339782382494,0.17154687285684536
distance_to_vertical_grid_line_mm,9,9.0,10.0,9.5,2772,25,134,0.014765538125523382,-0.004808099110960029,0.12246364455296094,0.12332864653431651,0.21613116422014897
distance_to_horizontal_grid_line_mm,0,0.0,1.0,0.5,2472,25,79,0.00015313751386672808,-0.010057150449483743,0.11043934147243141,0.1104171073516412,0.2129004379556306
distance_to_horizontal_grid_line_mm,1,1.0,2.0,1.5,2482,25,98,0.0014467194945174337,-0.012491302845603514,0.10217612755116025,0.10216578570680808,0.1800867024545198
distance_to_horizontal_grid_line_mm,2,2.0,3.0,2.5,2412,26,88,0.010302708715808366,0.0047813971453933846,0.10701789558479753,0.10749059266348539,0.1694365681432997
distance_to_horizontal_grid_line_mm,3,3.0,4.0,3.5,2814,29,80,0.0018206390551900576,-0.005455135005718148,0.09756467423365066,0.09756432597736245,0.15643722783361227
