row_type,subset_id,subset_size,frame_ids,candidate_global_p95_abs_mm,full18_reference_p95_mm,stable_threshold_mm,within_125pct_full18,required_pose_types,selection_score,min_span_ratio,candidate_count,stable_count,minimum_stable_size,best_candidate_p95_mm
candidate,matched_16_01,16,001;002;004;005;007;008;009;010;011;012;013;014;015;016;017;018,0.2193864359204838,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.04832887762013157,0.9975542751921842,,,,
candidate,matched_16_02,16,001;002;003;004;005;006;007;008;010;011;012;013;014;015;017;018,0.08682645682997076,0.12238697207987739,0.15298371509984673,True,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05243946708722804,1.0,,,,
candidate,matched_16_03,16,001;002;003;004;005;006;007;008;009;010;011;012;014;015;016;018,0.11565598756025108,0.12238697207987739,0.15298371509984673,True,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05509681282988572,0.9622410399533571,,,,
candidate,matched_16_04,16,001;002;003;004;005;006;007;008;009;010;011;012;013;014;016;017,0.05367650216550146,0.12238697207987739,0.15298371509984673,True,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.055154030798199694,0.9990295927603401,,,,
candidate,matched_16_05,16,001;002;003;004;006;007;008;009;010;011;012;013;015;016;017;018,0.050147936434365194,0.12238697207987739,0.15298371509984673,True,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06143173873279684,0.9383377551963688,,,,
candidate,matched_16_06,16,001;003;004;005;006;007;008;009;011;012;013;014;015;016;017;018,0.7239000216047031,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06890141323830318,1.0,,,,
candidate,matched_16_07,16,001;002;003;004;005;006;007;008;009;010;013;014;015;016;017;018,0.029434393223698403,0.12238697207987739,0.15298371509984673,True,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.0802588366181072,0.891098939610518,,,,
candidate,matched_16_08,16,002;003;004;005;006;008;009;010;011;012;013;014;015;016;017;018,0.28957601212131295,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.10408010672108527,0.8310499558958033,,,,
candidate,matched_14_01,14,001;003;004;005;007;008;009;010;011;012;013;014;016;017,0.5435906358427985,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.050607375886316884,0.9975542751921842,,,,
candidate,matched_14_02,14,001;003;004;006;007;008;010;012;013;014;015;016;017;018,0.5164527065635411,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05280061974897551,1.0,,,,
candidate,matched_14_03,14,001;003;004;007;008;010;011;012;013;014;015;016;017;018,0.4858279653367219,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05708732784865639,0.9975542751921842,,,,
candidate,matched_14_04,14,001;003;004;006;007;008;009;010;012;013;015;016;017;018,0.5259256085935761,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05724353635767139,0.9383377551963688,,,,
candidate,matched_14_05,14,001;003;004;006;007;008;010;011;012;013;014;015;016;018,0.39263115468914406,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.05848040017755353,1.0,,,,
candidate,matched_14_06,14,001;003;004;005;006;007;008;010;011;012;013;014;015;016,0.2831605318937818,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.060191166552198284,1.0,,,,
candidate,matched_14_07,14,001;003;004;005;007;008;009;010;012;013;014;015;016;017,0.43205653418460765,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06173004877888314,0.9975542751921842,,,,
candidate,matched_14_08,14,001;003;004;005;007;008;009;010;011;012;013;014;015;016,0.3209201481706714,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06218715376174249,0.9975542751921842,,,,
candidate,matched_12_01,12,001;003;004;007;008;010;011;012;013;014;016;017,0.6100001160834608,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06495600504032019,0.9975542751921842,,,,
candidate,matched_12_02,12,002;003;004;007;008;010;011;012;013;014;016;017,0.1794467277367687,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.06847645483084953,0.8286042310879875,,,,
candidate,matched_12_03,12,002;003;004;007;008;009;010;011;012;013;016;017,0.17229162618942268,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.07685569889964552,0.8286042310879875,,,,
candidate,matched_12_04,12,001;003;004;006;007;008;009;010;012;015;016;018,0.40851313359138997,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.07727988237154791,0.9383377551963688,,,,
candidate,matched_12_05,12,001;003;004;006;007;008;011;012;014;016;017;018,0.8318442260451434,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.07752184213004909,0.9622410399533571,,,,
candidate,matched_12_06,12,001;003;004;007;008;010;011;012;013;014;015;016,0.40036608853357053,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.07963171186380455,0.9975542751921842,,,,
candidate,matched_12_07,12,001;003;004;007;008;009;010;011;012;013;015;016,0.42761802703412854,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.08111530386056749,0.9383377551963688,,,,
candidate,matched_12_08,12,001;003;004;007;008;009;010;011;012;013;016;017,0.628661430857403,0.12238697207987739,0.15298371509984673,False,edge_coverage;far_depth;high_tilt;large_apparent_size;near_depth,0.0812344437433421,0.9383377551963688,,,,
size_summary,size_12,12,,,0.12238697207987739,0.15298371509984673,,,,,8,0,18,0.17229162618942268
size_summary,size_14,14,,,0.12238697207987739,0.15298371509984673,,,,,8,0,18,0.2831605318937818
size_summary,size_16,16,,,0.12238697207987739,0.15298371509984673,,,,,8,5,16,0.029434393223698403
size_summary,size_18,18,,,0.12238697207987739,0.15298371509984673,,,,,0,0,18,nan
