record_type,apex_projection_t,alpha_displacement_t,status,optimizer_cost,relative_cost_to_t0,valid_grid_count,invalid_grid_count,apex_direction_x,apex_direction_y,apex_direction_z,alpha_delta_rad,apex_delta_mm,top_formal_edge_delta_lambda_p95_mm,top_formal_edge_delta_lambda_max_mm,middle_formal_delta_lambda_p95_mm,middle_formal_delta_lambda_max_mm,bottom_formal_edge_delta_lambda_p95_mm,bottom_formal_edge_delta_lambda_max_mm
apex_alpha_profile,-4.0,-4.0,2,3.1030124328871667,2.2389136354931605,3117,1024,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,40.0,0.3809251668108572,0.4116786234700385,0.26324314509847685,0.5349071662778897,0.503756057942951,0.5556136287445952
apex_alpha_profile,-4.0,-2.666666666666667,2,2.422277636891956,1.7477436998670106,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,40.0,0.30672606205769165,0.3272995970642114,0.21155696087035947,0.3918015427609589,0.39272034878604245,0.4100514406950424
apex_alpha_profile,-4.0,-1.3333333333333335,2,1.791675042940029,1.2927456047215553,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,40.0,0.17257068510696172,0.176499746371519,0.1290301735455614,0.16890647571688078,0.1797868829970639,0.18496223666693368
apex_alpha_profile,-4.0,0.0,2,1.4536215371953864,1.0488301774044557,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,40.0,0.07118348033216079,0.07148086255904218,0.05574669928540743,0.06928613777358805,0.07466453251709027,0.07600961026798814
apex_alpha_profile,-4.0,1.333333333333333,2,1.398885034725889,1.0093362003777067,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,40.0,0.029481507266950754,0.0314752686912243,0.018376491252581673,0.030571174406418322,0.0315382295401605,0.03322869117891969
apex_alpha_profile,-4.0,2.666666666666666,2,1.6261479303462598,1.1733129832140805,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,40.0,0.12616215491775618,0.13160300901370192,0.09011725234845466,0.1310872990225107,0.13881815060926214,0.14529872594607696
apex_alpha_profile,-4.0,4.0,2,2.134747580433132,1.5402824092846834,3114,1027,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,40.0,0.22147920706913735,0.22991571038517122,0.16282582659573563,0.23579337523142385,0.25030218745239946,0.26088543357093386
apex_alpha_profile,-2.666666666666667,-4.0,2,2.8663805859421334,2.068176882039608,3117,1024,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,26.666666666666675,0.3662782027930006,0.39332555577209405,0.24792814842712688,0.5036105685658185,0.48199315621127425,0.5237475266575302
apex_alpha_profile,-2.666666666666667,-2.666666666666667,2,2.1768251476494016,1.5706425966917414,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,26.666666666666675,0.22929003924782593,0.2306067833500265,0.1756908083822509,0.2585186170701945,0.271360114599247,0.28043265328938105
apex_alpha_profile,-2.666666666666667,-1.3333333333333335,2,1.6606228228851447,1.198187619928202,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,26.666666666666675,0.14375800266818714,0.14731023602519144,0.1065088055111687,0.14178353412785327,0.15041504086559598,0.15518608453953675
