omitted_frame,train_frame_count,train_point_count,status,fit_success,optimizer_cost,objective_mse,train_rmse_mm,heldout_rmse_mm,heldout_p95_abs_mm,grid_valid_count,grid_invalid_count,grid_median_abs_delta_lambda_mm,grid_p95_abs_delta_lambda_mm,grid_max_abs_delta_lambda_mm,normalized_delta_l2,normalized_delta_max_abs,theta_theta_axis,delta_theta_axis,normalized_delta_theta_axis,theta_phi_axis,delta_phi_axis,normalized_delta_phi_axis,theta_A_x,delta_A_x,normalized_delta_A_x,theta_A_y,delta_A_y,normalized_delta_A_y,theta_A_z,delta_A_z,normalized_delta_A_z,theta_alpha,delta_alpha,normalized_delta_alpha,train_top_formal_edge_rmse_mm,train_middle_formal_rmse_mm,train_bottom_formal_edge_rmse_mm
001,29,26080,success,True,1.4372933492554145,0.0004811829090242432,0.03044796863092383,0.024178729606161575,0.04307610226089612,3120,1021,0.0035665906167078533,0.014376091708669492,0.028234350748562065,7.51231463004485,6.927092581547799,1.8493674329885637,-0.003091166884451324,-0.17711081624966468,0.00907111941704366,-0.0003479933929954708,-0.019938552717077902,-155.84672291985876,-21.592890418687233,-2.1592890418687234,22.249956107436393,7.655085859652479,0.7655085859652478,198.1197405673658,-69.270925815478,-6.927092581547799,1.5482364632626489,-0.0031074513300084483,-1.7804384625179845,0.07308499282306824,0.03022017011671411,0.023567968730410775
002,29,26012,success,True,1.4454244707485124,0.00048390507892484514,0.03054668974755302,0.0197886558536787,0.02795928570523463,3120,1021,0.002321094838202625,0.007179703768622398,0.010296786252297352,0.6789193679961808,0.6138300830164212,1.85265373180098,0.00019513192796494216,0.011180235920641988,0.00949406005880702,7.494724876788879e-05,0.0042941610405170865,-132.33147970862666,1.9223527925448707,0.19223527925448708,12.720958776282682,-1.8739114715012324,-0.18739114715012323,273.528967213008,6.138300830164212,0.6138300830164212,1.5515345542097447,0.00019063961708742916,0.10922845467099782,0.07385903986901314,0.030324033207183586,0.02112985422951755
003,29,26002,success,True,1.4319355202250559,0.0004793891932457502,0.030410145828237947,0.025849588864539533,0.04010364707921212,3120,1021,0.0024316941196938905,0.004982377651191428,0.0069224844311293054,3.998589407758556,3.7041802401192085,1.850748185141735,-0.0017104147312800855,-0.09799954531935173,0.00940373746615947,-1.5375343879662356e-05,-0.0008809423128669541,-145.7478098205795,-11.493977319407975,-1.1493977319407975,14.704460981249438,0.10959073346552373,0.010959073346552373,230.3488639816517,-37.041802401192086,-3.7041802401192085,1.549654524167697,-0.001689390424960413,-0.9679494130004427,0.07322342840961954,0.030187370644526795,0.021902977542708816
004,29,26002,success,True,1.3732933952822626,0.0004597567443194719,0.029861618252217472,0.04027685788407602,0.0775886034766959,3120,1021,0.005999142280415945,0.01735860886928434,0.03567635787715062,9.287636716145304,8.633166710113533,1.8562074706856004,0.0037488708125854586,0.2147944755009262,0.00950099655334829,8.188374330915862e-05,0.004691592902347382,-107.44953436324296,26.80429813792857,2.680429813792857,13.121072272519221,-1.4737979752646932,-0.14737979752646932,353.7223334839791,86.33166710113534,8.633166710113533,1.5550364492712925,0.003692534678635173,2.115666527914912,0.05861552528993661,0.02976602626637096,0.022266939482034676
005,29,26002,success,True,1.4423035754599653,0.0004828602529159576,0.030546847301120932,0.019913316233947854,0.03932850171243274,3120,1021,0.002735890671327796,0.010041272843108115,0.017781286250396988,2.207465131124595,2.0095662898451394,1.8532979570514552,0.0008393571784401921,0.04809162382863214,0.009620424414775196,0.0002013116047360642,0.011534305318382313,-127.96260778247945,6.291224718692078,0.6291224718692078,10.181454341913577,-4.4134159058703375,-0.44134159058703376,287.4863292812952,20.095662898451394,2.0095662898451394,1.5522016552341917,0.0008577406415344324,0.4914491867676662,0.07447453210483065,0.030306464777884904,0.023378925972914334
006,29,26002,success,True,1.443841284937782,0.0004833750535446207,0.030533303724115238,0.019579605720319273,0.035260517072608605,3120,1021,0.0015119502518419088,0.00407941132182259,0.008369644039021296,1.7569199904082446,1.6024271161212311,1.8531810320069215,0.0007224321339065476,0.04139231225747511,0.009566442462487104,0.00014732965244797225,0.008441367282398067,-129.2481104621501,5.005722039021435,0.5005722039021435,11.51114578423254,-3.083724463551375,-0.3083724463551375,283.4149375440561,16.02427116121231,1.6024271161212311,1.5520667938836705,0.0007228792910132231,0.414179324724669,0.07378338098603297,0.030296687085310296,0.02428389500186404
007,29,26002,success,True,1.4346515141020644,0.0004802984647144507,0.030455723635239847,0.02386572513700744,0.0474163258439912,3120,1021,0.002461001499011818,0.007692359002084003,0.013448191966858758,1.3835459209008758,1.236447532233882,1.8530068357125677,0.0005482358395527687,0.03141159978418501,0.009601918632751501,0.00018280582271236988,0.010474002111835561,-130.38877399873604,3.865058502435488,0.38650585024354883,10.782304728203147,-3.812565519580767,-0.38125655195807673,279.7551417051826,12.36447532233882,1.236447532233882,1.5518662234099878,0.0005223088173305079,0.29926090835507574,0.07462660245509939,0.030214047421973672,0.023476221384878055
008,29,26002,success,True,1.4358914346799536,0.0004807135703648991,0.03052468176974065,0.019976213311481025,0.03603615879199866,3120,1021,0.0013940127006021495,0.0032200893212063863,0.006170964198190632,1.6710534545445268,1.5296041652191945,1.8531346737613752,0.000676073888360218,0.03873618044203928,0.009548661296635978,0.0001295484865968463,0.007422581524306407,-129.47928333008218,4.7745491710893475,0.47745491710893473,11.861961145213872,-2.7329091025700425,-0.27329091025700425,282.68670803503574,15.296041652191946,1.5296041652191945,1.5520165438351026,0.0006726292424452662,0.38538816769195566,0.07389190648522842,0.03028918162001074,0.02381949953924089
009,29,26002,success,True,1.4327447847680796,0.00047966012211854024,0.030416102333588484,0.024858020205370028,0.04580311271036823,3120,1021,0.0020709931795438435,0.006040434288257747,0.010930427088965189,1.3849278758368648,1.2499048249561895,1.853000002084191,0.0005414022111760453,0.031020061719437924,0.009579319976183108,0.00016020716614397607,0.009179194467801,-130.34926886195373,3.9045636392177983,0.39045636392177985,11.228131443035021,-3.366738804748893,-0.33667388047488933,279.8897146324057,12.499048249561895,1.2499048249561895,1.551864336464146,0.0005204218714887077,0.2981797680260266,0.07446212475042044,0.03017586881845522,0.02333472991709574
010,29,26002,success,True,1.439780891511272,0.0004820156985307238,0.03047749195425489,0.021682730522549,0.038260983927759715,3120,1021,0.0015913799124750228,0.0031428906411349526,0.004722025893897808,0.7716542742755468,0.7048261510556983,1.8527119182458338,0.00025331837281883374,0.014514073635640683,0.009495889878517278,7.677706847814686e-05,0.004399001987184725,-132.05093382425306,2.2028986769184655,0.22028986769184655,12.878500839164479,-1.7163694086194354,-0.17163694086194353,274.4389278934008,7.0482615105569835,0.7048261510556983,1.5515935243856354,0.0002496097929780561,0.14301587662776824,0.07379154884407406,0.03024636868711725,0.022897876086738024
