analysis,singular_index,singular_value,relative_to_strongest,effective,condition_number,effective_rank,loading_theta_axis,loading_phi_axis,loading_A_x,loading_A_y,loading_A_z,loading_alpha,parameter,step_multiplier,step,derivative_norm,relative_to_1x,selected
fullfit_frame_equal_robust_weighted,1,12.378584982573809,1.0,True,133578.42704176813,6,-0.6025030892041946,-0.02997127471513017,-0.7594523352202018,-0.007940792527655368,0.23571270416809292,0.060830630670186826,,,,,,
fullfit_frame_equal_robust_weighted,2,0.9261752892638934,0.07482077237161876,True,133578.42704176813,6,-0.025269207165809333,0.9991569808687429,-0.01775963944449166,0.02616198622059959,0.006594521851952584,-0.001858148489609357,,,,,,
fullfit_frame_equal_robust_weighted,3,0.33041759789121045,0.026692679200115536,True,133578.42704176813,6,0.7916463282128221,0.008601523709302561,-0.578965150096002,-0.007469565574165596,0.1788967391794289,-0.07721154118685511,,,,,,
fullfit_frame_equal_robust_weighted,4,0.00666591613594529,0.0005385038875872615,True,133578.42704176813,6,0.09508162297945666,0.004082318757924336,-0.0711194800796187,0.015175679114461363,-0.2340659556019362,0.9648148352870214,,,,,,
fullfit_frame_equal_robust_weighted,5,0.0014479905980138428,0.00011697545398381797,True,133578.42704176813,6,-0.0015490476229962373,0.02635433661463452,-0.00521769422189914,-0.998292329136902,-0.05177275741581724,0.002798613237536805,,,,,,
fullfit_frame_equal_robust_weighted,6,9.26690428739904e-05,7.486238774823377e-06,True,133578.42704176813,6,-0.024590061383100086,-0.0013592932902135313,-0.2874559025831774,0.04877319172448559,-0.9246213820283371,-0.24384228701771962,,,,,,
,,,,,,,,,,,,,theta_axis,0.3,3e-06,23784.65161373329,6.3778315246497764e-12,False
,,,,,,,,,,,,,theta_axis,1.0,1e-05,23784.65161360313,0.0,True
,,,,,,,,,,,,,theta_axis,3.0,3.0000000000000004e-05,23784.65161027609,1.398853928234663e-10,False
,,,,,,,,,,,,,phi_axis,0.3,3e-06,3182.2173255198777,3.220857395449206e-11,False
,,,,,,,,,,,,,phi_axis,1.0,1e-05,3182.2173254940003,0.0,True
,,,,,,,,,,,,,phi_axis,3.0,3.0000000000000004e-05,3182.2173250664628,1.345715753399835e-10,False
,,,,,,,,,,,,,A_x,0.3,0.003,52.317749209877725,4.143616383068147e-12,False
,,,,,,,,,,,,,A_x,1.0,0.01,52.31774921007727,0.0,True
,,,,,,,,,,,,,A_x,3.0,0.03,52.31774921012721,1.0299129932818349e-12,False
,,,,,,,,,,,,,A_y,0.3,0.003,0.5645665627740618,1.9054829868901616e-10,False
,,,,,,,,,,,,,A_y,1.0,0.01,0.5645665627549434,0.0,True
,,,,,,,,,,,,,A_y,3.0,0.03,0.5645665625879245,5.266040949396255e-10,False
,,,,,,,,,,,,,A_z,0.3,0.003,16.237914201974885,3.5799867287369735e-12,False
,,,,,,,,,,,,,A_z,1.0,0.01,16.237914202031977,0.0,True
,,,,,,,,,,,,,A_z,3.0,0.03,16.23791420199502,3.3504976390477104e-12,False
,,,,,,,,,,,,,alpha,0.3,3e-06,24014.24726535715,4.5366127959885535e-11,False
,,,,,,,,,,,,,alpha,1.0,1e-05,24014.24726644656,0.0,True
,,,,,,,,,,,,,alpha,3.0,3.0000000000000004e-05,24014.24727267859,2.5951370394977647e-10,False
