model,direction,parameter,unit,step,v_px,region,valid_count,invalid_count,median_dlambda_dtheta,p05_dlambda_dtheta,p95_dlambda_dtheta,rmse_dlambda_dtheta
M0,single_parameter,theta_axis,rad,1e-05,241.99769349665084,top_formal_edge,31,10,-1158.356184026843,-1366.5619758086223,-985.1921833501364,1172.850792041333
M0,single_parameter,theta_axis,rad,1e-05,266.8974953074825,top_formal_edge,31,10,-1158.8465366742184,-1367.1422249842635,-985.6101936065896,1173.347898273779
M0,single_parameter,theta_axis,rad,1e-05,291.7972971183141,top_formal_edge,31,10,-1159.3346497875245,-1367.719895307573,-986.0262422336062,1173.842742649648
M0,single_parameter,theta_axis,rad,1e-05,316.6970989291457,middle_formal,31,10,-1159.8205111511106,-1368.2949804518785,-986.4403141591537,1174.3353139183018
M0,single_parameter,theta_axis,rad,1e-05,341.5969007399773,middle_formal,31,10,-1160.3041090381794,-1368.867473820501,-986.8523937569761,1174.8256010932607
M0,single_parameter,theta_axis,rad,1e-05,366.4967025508089,middle_formal,31,10,-1160.7854319095168,-1369.4373695130935,-987.2624662421002,1175.3135935586163
M0,single_parameter,theta_axis,rad,1e-05,391.3965043616405,middle_formal,31,10,-1161.2644688511864,-1370.0046616520467,-987.6705170540844,1175.7992809792397
M0,single_parameter,theta_axis,rad,1e-05,416.29630617247216,middle_formal,31,10,-1161.7412089947265,-1370.5693444819644,-988.0765322435535,1176.2826532438387
M0,single_parameter,theta_axis,rad,1e-05,441.19610798330376,middle_formal,31,10,-1162.2156414034635,-1371.1314124492446,-988.4804980544003,1176.7637005892893
M0,single_parameter,theta_axis,rad,1e-05,466.09590979413537,middle_formal,31,10,-1162.6877563685412,-1371.690860312924,-988.8824011653695,1177.242413547187
M0,single_parameter,theta_axis,rad,1e-05,490.995711604967,middle_formal,31,10,-1163.157543686566,-1372.2476827609853,-989.2822285962665,1177.7187829105435
M0,single_parameter,theta_axis,rad,1e-05,515.8955134157986,middle_formal,31,10,-1163.6249939215304,-1372.801874967422,-989.6799678301703,1178.192799727615
M0,single_parameter,theta_axis,rad,1e-05,540.7953152266302,middle_formal,31,10,-1164.090097290682,-1373.3534323364438,-990.0756065007953,1178.6644553610283
M0,single_parameter,theta_axis,rad,1e-05,565.6951170374618,middle_formal,31,10,-1164.5528451140308,-1373.9023497919334,-990.4691328443959,1179.1337413170393
M0,single_parameter,theta_axis,rad,1e-05,590.5949188482934,middle_formal,31,10,-1165.013228569478,-1374.4486231416886,-990.8605355434473,1179.6006494990115
M0,single_parameter,theta_axis,rad,1e-05,615.494720659125,middle_formal,31,10,-1165.4712387894506,-1374.9922478922372,-991.2498029393645,1180.0651720126225
M0,single_parameter,theta_axis,rad,1e-05,640.3945224699567,middle_formal,31,10,-1165.9268678329227,-1375.5332199338,-991.6369247264355,1180.5273012337996
M0,single_parameter,theta_axis,rad,1e-05,665.2943242807883,middle_formal,30,11,-1159.3668114869615,-1359.977773915091,-991.4319261878289,1172.9068285083356
M0,single_parameter,theta_axis,rad,1e-05,690.1941260916199,middle_formal,30,11,-1159.814875450138,-1360.5068058686243,-991.814498913186,1173.360882617698
M0,single_parameter,theta_axis,rad,1e-05,715.0939279024516,middle_formal,30,11,-1160.2605438611135,-1361.0331929780273,-992.1948960348458,1173.8125316470148
M0,single_parameter,theta_axis,rad,1e-05,739.9937297132832,middle_formal,30,11,-1160.7038094325617,-1361.556931410064,-992.5731082682886,1174.261768789001
M0,single_parameter,theta_axis,rad,1e-05,764.8935315241148,middle_formal,30,11,-1161.14466503916,-1362.078017163526,-992.9491264719558,1174.7085874499503
M0,single_parameter,theta_axis,rad,1e-05,789.7933333349464,middle_formal,31,10,-1154.5560018873857,-1361.7540670878725,-982.1685429756143,1168.9587794735132
M0,single_parameter,theta_axis,rad,1e-05,814.693135145778,middle_formal,31,10,-1154.9892822699803,-1362.2694966727522,-982.5359535739152,1169.3983607237642
