parameter_a,parameter_b,column_cosine,covariance_correlation
theta_axis,phi_axis,0.36907757216901105,0.6239654329815885
theta_axis,A_x,0.998464621479702,0.9983179140588825
theta_axis,A_y,0.9683420164474589,-0.6025502625281359
theta_axis,A_z,-0.9984699441383106,0.9983231037554647
theta_axis,alpha,-0.9999474430915838,0.9999464297053902
phi_axis,A_x,0.3703597175918057,0.6256213912525552
phi_axis,A_y,0.5831532666983114,-0.9981748810405414
phi_axis,A_z,-0.37004152830303416,0.6237336343489275
phi_axis,alpha,-0.3741074044951025,0.6276807306880117
A_x,A_y,0.970422379286798,-0.6058765380158998
A_x,A_z,-0.9999997649091922,0.9999968723217817
A_x,alpha,-0.9984867065015357,0.9982938783614419
A_y,A_z,-0.9703392013275179,-0.6039482264913266
A_y,alpha,-0.9696659569219899,-0.6063176886830054
A_z,alpha,0.9984850170091718,0.9982818112373081
