record_type,profile_type,displacement_t,v_start_px,v_end_px,v_center_px,valid_grid_count,delta_lambda_median_mm,delta_lambda_p95_mm,delta_lambda_max_mm
profile_v,weak_direction_with_nuisance_refit,-4.0,240.0,270.0,255.0,62,0.0030306926674370516,0.0057451135048836475,0.0061815160503329025
profile_v,weak_direction_with_nuisance_refit,-4.0,270.0,300.0,285.0,31,0.0027085713478527396,0.0051748173835335365,0.005399531446187211
profile_v,weak_direction_with_nuisance_refit,-4.0,300.0,330.0,315.0,31,0.0026262648641477426,0.004873266275808419,0.005179476225634971
profile_v,weak_direction_with_nuisance_refit,-4.0,330.0,360.0,345.0,31,0.0025286652615932326,0.0045785314002841915,0.004954415359861741
profile_v,weak_direction_with_nuisance_refit,-4.0,360.0,390.0,375.0,31,0.0023064842773692362,0.004288694412764471,0.004724861481008702
profile_v,weak_direction_with_nuisance_refit,-4.0,390.0,420.0,405.0,62,0.0020691478642334005,0.003952289607951798,0.004491324868581614
profile_v,weak_direction_with_nuisance_refit,-4.0,420.0,450.0,435.0,31,0.0018593058623537217,0.0035968891762649946,0.004014330423387946
profile_v,weak_direction_with_nuisance_refit,-4.0,450.0,480.0,465.0,31,0.0017260546186435022,0.0033810949603321205,0.003771877888198105
profile_v,weak_direction_with_nuisance_refit,-4.0,480.0,510.0,495.0,31,0.001538881684837179,0.003162858288874304,0.0035274524201440727
profile_v,weak_direction_with_nuisance_refit,-4.0,510.0,540.0,525.0,31,0.001361726605068725,0.0029426631191427077,0.0032815467124009956
profile_v,weak_direction_with_nuisance_refit,-4.0,540.0,570.0,555.0,62,0.0011758324696984346,0.00261623145803469,0.0030346487659471677
profile_v,weak_direction_with_nuisance_refit,-4.0,570.0,600.0,585.0,31,0.0009910081222415101,0.002275093737807765,0.002539802396199775
profile_v,weak_direction_with_nuisance_refit,-4.0,600.0,630.0,615.0,31,0.0008336008323794886,0.002051804868642648,0.0022928030369939734
profile_v,weak_direction_with_nuisance_refit,-4.0,630.0,660.0,645.0,31,0.0007210595441620171,0.0018288994785962132,0.0020467087708766485
profile_v,weak_direction_with_nuisance_refit,-4.0,660.0,690.0,675.0,30,0.0005704282160650109,0.001613231654408764,0.0018019783212821494
profile_v,weak_direction_with_nuisance_refit,-4.0,690.0,720.0,705.0,60,0.0003653330556403489,0.001318956256426418,0.0015590633763622463
profile_v,weak_direction_with_nuisance_refit,-4.0,720.0,750.0,735.0,30,0.00017854399931138687,0.0009542555061955224,0.0010804493230125445
