row_type,coordinate_system,bin_scale,frame_left,frame_right,matched_bin_count,matched_point_count,residual_delta_bias_mm,residual_delta_rmse_mm,residual_delta_p95_abs_mm,cross_frame_variance_mm2,within_frame_variance_mm2,cross_to_within_variance_ratio,pair_count,matched_bin_count_median,matched_pair_point_count_median,residual_delta_rmse_median_mm,residual_delta_rmse_p95_mm,cross_frame_variance_mm2_median,within_frame_variance_mm2_median,cross_to_within_variance_ratio_median
pair,cone_intrinsic,fine,002,005,3,692,0.0022607001062629624,0.026463254439620835,0.03314925040795772,0.00026037415539201155,0.0020541196606613135,0.12675705333942688,,,,,,,,
pair,cone_intrinsic,fine,002,012,3,799,0.028048355726290785,0.02980489525209084,0.03689914260131072,0.0005350677124209306,0.00140472914889942,0.38090454151972747,,,,,,,,
pair,cone_intrinsic,fine,002,013,3,749,0.03284311591360889,0.040982184200843506,0.055608244937148554,0.000789180720474698,0.0014156335233412541,0.5574752981350932,,,,,,,,
pair,cone_intrinsic,fine,002,016,3,750,0.026763066112090256,0.047696954652467594,0.05476588109207573,0.0009408952668658564,0.001436767058681777,0.6548697377076008,,,,,,,,
pair,cone_intrinsic,fine,002,026,3,574,0.058325987728599954,0.06370330754469739,0.08925026173506481,0.00194205191353427,0.0015826839489336535,1.2270623675957184,,,,,,,,
pair,cone_intrinsic,fine,002,031,3,803,0.04857598314467395,0.04999109784308785,0.05978315201580019,0.0009329827260497666,0.0014760560049840922,0.6320781345012865,,,,,,,,
pair,cone_intrinsic,fine,002,032,3,707,0.06977208721691397,0.0730795375058271,0.09479546990763191,0.0016551117477998825,0.001419998629434549,1.1655727783758192,,,,,,,,
pair,cone_intrinsic,fine,002,033,3,749,0.056542613025130424,0.05927054946144055,0.07327082145758579,0.0011866605300341552,0.001190065064652898,0.9971392029563226,,,,,,,,
pair,cone_intrinsic,fine,002,034,3,718,0.0015821032476121856,0.024250420075156476,0.03385622324568197,0.00024275139410949318,0.0012535614670933436,0.19364937458740286,,,,,,,,
pair,cone_intrinsic,fine,002,035,3,757,0.12641515688932273,0.1275544691561581,0.13953764970762011,0.005095015075900042,0.0011865945885138212,4.293812836515136,,,,,,,,
pair,cone_intrinsic,fine,002,036,3,806,0.08613361654397543,0.08826816619021703,0.10667257239997549,0.002428601282283148,0.0019551618519723997,1.242148459388738,,,,,,,,
pair,cone_intrinsic,fine,003,004,3,651,0.056314738223507466,0.1307439357810915,0.17668682330947072,0.0055409381102302455,0.0050279267306053855,1.102032389712865,,,,,,,,
pair,cone_intrinsic,fine,003,005,3,834,0.014095849492652685,0.04267029820608533,0.05610458989219123,0.0015089207926727338,0.0020426700221725267,0.7387002189751078,,,,,,,,
pair,cone_intrinsic,fine,003,006,3,709,0.10025857194450667,0.10381495668539092,0.1247683623687088,0.006444857554445037,0.0020939050801032266,3.0779129463343744,,,,,,,,
pair,cone_intrinsic,fine,003,007,3,598,0.01172582137066469,0.04194112452799969,0.0601419675746728,0.0016936935177452126,0.002200017261626905,0.7698546494552194,,,,,,,,
pair,cone_intrinsic,fine,003,008,3,780,0.07750205871114334,0.08476880397157192,0.11887665825374082,0.003807339697465312,0.0024621174453586954,1.5463680275051366,,,,,,,,
pair,cone_intrinsic,fine,003,009,3,639,0.027228492753718466,0.05698121318466967,0.0861477247123249,0.002002145239050666,0.0027583476590729073,0.7258494890827487,,,,,,,,
pair,cone_intrinsic,fine,003,010,3,672,0.0937712548382685,0.11133315552561533,0.16256299963171822,0.004552856202210274,0.002425929945108679,1.876746775557161,,,,,,,,
pair,cone_intrinsic,fine,003,011,3,630,0.09382545388048008,0.09739954054662647,0.12536344886242845,0.004697647533878049,0.002084557325738673,2.253546820648559,,,,,,,,
pair,cone_intrinsic,fine,003,013,3,842,0.060892762680256805,0.061120693774461374,0.06627366996932155,0.0038223739939167597,0.001827219200769358,2.0919077428188877,,,,,,,,
pair,cone_intrinsic,fine,003,016,3,830,0.01763158299936092,0.0567872082992268,0.07665511099863952,0.0016257861826109062,0.0019244122253833328,0.8448222065763784,,,,,,,,
pair,cone_intrinsic,fine,003,017,3,682,0.0949617571522927,0.1172820299098824,0.1735423214155497,0.004849403952815712,0.0023723391408976813,2.04414447715967,,,,,,,,
pair,cone_intrinsic,fine,003,018,3,802,0.11298938531201841,0.11701832046989905,0.1423020497818748,0.005375253181266587,0.0031415007763779357,1.7110462686130883,,,,,,,,
pair,cone_intrinsic,fine,003,025,3,791,0.017028060187292467,0.02145630727971148,0.02912964690787998,0.0021672635985151463,0.002482177207927302,0.8731300857946727,,,,,,,,
pair,cone_intrinsic,fine,003,026,3,614,0.07714480722939783,0.07846604614483536,0.09428161370651757,0.004433700654254207,0.0030303925232331697,1.4630780073083824,,,,,,,,
pair,cone_intrinsic,fine,003,027,3,631,-0.2999396685197009,0.3509509101321862,0.48654792813707415,0.05945429471446776,0.005040786903692701,11.794645528640313,,,,,,,,
pair,cone_intrinsic,fine,003,028,3,855,0.10096261095327268,0.11265934680635796,0.14219232126305642,0.00446484130655399,0.0035515957807213867,1.2571366738269716,,,,,,,,
pair,cone_intrinsic,fine,003,029,3,862,0.03386088396461683,0.06584080664046289,0.07808971678290842,0.0017334867714400022,0.0026235457137132982,0.6607419731164014,,,,,,,,
pair,cone_intrinsic,fine,003,030,3,876,0.05630777936802722,0.07550401727255723,0.09591316717115492,0.0022950780860883984,0.0023302338388684683,0.9849132081966756,,,,,,,,
pair,cone_intrinsic,fine,003,031,3,740,0.08857964759637328,0.08864782071159027,0.09273803398011407,0.005232219258112441,0.0015641251329345466,3.3451410938560704,,,,,,,,
pair,cone_intrinsic,fine,003,032,3,809,0.10285215882238256,0.10393837035662817,0.12027733174415227,0.005275812337860864,0.0017848521918772285,2.955881927854204,,,,,,,,
pair,cone_intrinsic,fine,003,033,3,776,0.08683689804693144,0.0874122843548326,0.09781556557792319,0.0044818723528448606,0.0019326804110461812,2.3189930043419715,,,,,,,,
pair,cone_intrinsic,fine,003,034,3,828,0.0361450744747138,0.04297008904842744,0.05839337716168869,0.002102464133236639,0.0016707193968947362,1.2584184616186058,,,,,,,,
pair,cone_intrinsic,fine,003,035,3,834,0.1664786398925866,0.16679276909057056,0.17880345893116414,0.011613111636402773,0.0016086030167866971,7.219377009251678,,,,,,,,
pair,cone_intrinsic,fine,003,036,3,770,0.13217263269747,0.13276377065085426,0.14553056907994674,0.008564525642697324,0.002255202080703989,3.7976754792740355,,,,,,,,
pair,cone_intrinsic,fine,004,005,3,585,-0.042218888730854776,0.08844652055898768,0.12058223341727947,0.003897121110788568,0.005210945940801505,0.7478721051919308,,,,,,,,
pair,cone_intrinsic,fine,004,006,3,506,0.04394383372099923,0.1271989806230153,0.19605459828810856,0.005921719176860338,0.005262180998732206,1.1253355173999204,,,,,,,,
pair,cone_intrinsic,fine,004,007,3,781,-0.04458891685284277,0.09102755853255212,0.11768741255549577,0.004161974343824309,0.005368293180255884,0.7752881975842321,,,,,,,,
pair,cone_intrinsic,fine,004,008,3,632,0.021187320487635875,0.09210363782284638,0.13748842943274237,0.004053117571250598,0.005630393363987674,0.7198640146840496,,,,,,,,
pair,cone_intrinsic,fine,004,009,3,809,-0.029086245469788993,0.07716649372686961,0.0905390985971458,0.0039466087367087226,0.005926623577701886,0.6659118273610797,,,,,,,,
pair,cone_intrinsic,fine,004,010,3,779,0.03745651661476105,0.07250541921394929,0.11371025648850827,0.004248916763391986,0.005594205863737658,0.7595209877659304,,,,,,,,
pair,cone_intrinsic,fine,004,011,3,795,0.03751071565697262,0.10339105438477872,0.1588793571446749,0.004391876772135296,0.005252833244367652,0.8360967439513683,,,,,,,,
pair,cone_intrinsic,fine,004,013,3,608,0.004578024456749337,0.11706723754413713,0.15752494679503612,0.004629360762535715,0.004995495119398337,0.9267070934689013,,,,,,,,
pair,cone_intrinsic,fine,004,016,3,617,-0.03868315522414654,0.07494439526161932,0.10105304678600101,0.0038945181566117258,0.005092688144012311,0.7647273986707148,,,,,,,,
pair,cone_intrinsic,fine,004,017,3,788,0.03864701892878524,0.06654036382995347,0.10395445514340654,0.004505238818296174,0.00554061505952666,0.8131297283592664,,,,,,,,
pair,cone_intrinsic,fine,004,018,3,738,0.05667464708851095,0.10436154505960445,0.1586319512173408,0.004421955350383635,0.006309776695006914,0.700810118032044,,,,,,,,
pair,cone_intrinsic,fine,004,025,3,682,-0.039286678036214995,0.11449324038231463,0.15677504250439525,0.004456387910020095,0.005650453126556282,0.7886779715197956,,,,,,,,
pair,cone_intrinsic,fine,004,026,3,401,0.020830069005890364,0.12185556041490128,0.16662667792689723,0.004691549642244167,0.0061986684418621485,0.7568641049681266,,,,,,,,
pair,cone_intrinsic,fine,004,027,3,776,-0.35625440674320835,0.46586230920853167,0.6616073916513849,0.07245339182643314,0.008209062822321679,8.826024772209252,,,,,,,,
pair,cone_intrinsic,fine,004,028,3,640,0.04464787272976522,0.08933506938230917,0.12367662396564891,0.003917914265482616,0.0067198716993503655,0.5830340876688724,,,,,,,,
pair,cone_intrinsic,fine,004,029,3,659,-0.022453854258890623,0.06931888727166659,0.10083566930247406,0.0034538494441954796,0.005791821632342276,0.5963321496139903,,,,,,,,
