analysis,parameterization,singular_index,singular_value,relative_to_strongest,effective,condition_number,effective_rank,loading_theta_axis,loading_phi_axis,loading_c1,loading_c2,loading_rho_ref,loading_q,parameter,step_multiplier,step,derivative_norm,relative_to_1x,selected
local_fullfit_frame_equal_robust_weighted,local,1,0.9209963917967245,1.0,True,13774.663580125414,6,-0.007556923749202759,0.9996104921564187,0.0028887965180935324,-0.02639709071437754,0.0017944653154126425,0.003658582372648378,,,,,,
local_fullfit_frame_equal_robust_weighted,local,2,0.41529609118765215,0.4509204323563878,True,13774.663580125414,6,0.995120980165263,0.007220998967437525,-0.004607267238285334,0.0013971669531000067,-0.004016050917020689,0.09819767999790355,,,,,,
local_fullfit_frame_equal_robust_weighted,local,3,0.2696497372237802,0.29278044911526135,True,13774.663580125414,6,-0.006086236744687953,0.0022886174604614742,-0.703211359039558,-0.036813682654135496,-0.7099973642459068,1.8575748839573525e-06,,,,,,
local_fullfit_frame_equal_robust_weighted,local,4,0.006563522353818071,0.0071265451333784625,True,13774.663580125414,6,0.09655736129819745,0.004199994152502384,-0.12559443080343466,-0.009660832967563477,0.1240782112669006,-0.9794877951126234,,,,,,
local_fullfit_frame_equal_robust_weighted,local,5,0.0014569860157377223,0.0015819671268150824,True,13774.663580125414,6,-0.0015380790672929422,0.026511936398342633,-0.05286064869178887,0.9982439151234037,0.0006946576375412197,-0.0030177360622044742,,,,,,
local_fullfit_frame_equal_robust_weighted,local,6,6.686162507268575e-05,7.259705430794234e-05,True,13774.663580125414,6,-0.01773120843526365,-0.0009801287487296306,-0.6977793370629817,-0.03690187693375233,0.6931727843277616,0.17589310080009207,,,,,,
local_fullfit_step_stability,local,,,,,,,,,,,,,theta_axis,0.3,3e-06,1317.066643409618,9.986621906404332e-11,False
local_fullfit_step_stability,local,,,,,,,,,,,,,theta_axis,1.0,1e-05,1317.0666434029047,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,theta_axis,3.0,3.0000000000000004e-05,1317.0666432222995,1.948912321968817e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,phi_axis,0.3,3e-06,2929.464723912734,4.827063298920291e-11,False
local_fullfit_step_stability,local,,,,,,,,,,,,,phi_axis,1.0,1e-05,2929.4647238677126,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,phi_axis,3.0,3.0000000000000004e-05,2929.464723477358,1.3364118060960246e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,c1,0.3,0.003,1.0551851786773432,1.6480989743050587e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,c1,1.0,0.01,1.0551851785181443,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,c1,3.0,0.03,1.0551851784770359,6.45216370431368e-11,False
local_fullfit_step_stability,local,,,,,,,,,,,,,c2,0.3,0.003,0.14660206044340648,4.714598191360028e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,c2,1.0,0.01,0.14660206041038049,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,c2,3.0,0.03,0.14660206011406984,2.0462480736028173e-09,False
local_fullfit_step_stability,local,,,,,,,,,,,,,rho_ref,0.3,0.003,1.06532057396066,1.438836300693592e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,rho_ref,1.0,0.01,1.0653205738343496,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,rho_ref,3.0,0.03,1.0653205738497853,3.0214584721410574e-11,False
local_fullfit_step_stability,local,,,,,,,,,,,,,q,0.3,3e-06,1319.0825917837246,2.382028886083844e-10,False
local_fullfit_step_stability,local,,,,,,,,,,,,,q,1.0,1e-05,1319.0825917997358,0.0,True
local_fullfit_step_stability,local,,,,,,,,,,,,,q,3.0,3.0000000000000004e-05,1319.082591787405,1.9214092138258983e-10,False
