bin_width_px,v_start_px,v_end_px,v_center_px,model,point_count,unique_frame_count,u_ref_px,u_span_px,residual_span_mm,status,b_mm,delta_g_mm_per_px,b_p05_mm,b_p50_mm,b_p95_mm,delta_g_p05_mm_per_px,delta_g_p50_mm_per_px,delta_g_p95_mm_per_px,bootstrap_count,weighted_rmse_mm,weighted_r2,fit_mae_mm,fit_rmse_mm,fit_p95_mm
30,0,30,15.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,0,30,15.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,30,60,45.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,30,60,45.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,60,90,75.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,60,90,75.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,90,120,105.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,90,120,105.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,120,150,135.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,120,150,135.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,150,180,165.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,150,180,165.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,180,210,195.0,M0,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,180,210,195.0,M_local_fullfit,0,0,nan,nan,nan,no_data,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,210,240,225.0,M0,1,1,2071.423531377006,nan,nan,insufficient_frames,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
30,210,240,225.0,M_local_fullfit,1,1,2071.423531377006,nan,nan,insufficient_frames,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
