group_id,comparison,source_marker_detected,target_marker_detected,marker_observable,status,method,point_count,inlier_count,inlier_ratio,median_dx_px,median_dy_px,median_displacement_px,p95_displacement_px,max_displacement_px,median_reprojection_error_px,center_dx_px,center_dy_px,rotation_deg,scale
001,chess_to_laser,True,False,False,not_detected,none,,,,,,,,,,,,,
002,chess_to_laser,True,False,False,not_detected,none,,,,,,,,,,,,,
003,chess_to_laser,True,False,False,not_detected,none,,,,,,,,,,,,,
004,chess_to_laser,True,False,False,not_detected,none,,,,,,,,,,,,,
005,chess_to_laser,True,False,False,not_detected,none,,,,,,,,,,,,,
001-002,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,0.00616455078125,0.0086669921875,0.015973210334777832,0.027533290907740593,0.03427655249834061,0.03831285983324051,0.002341530539752057,0.011891798539636511,0.0,1.0
001-003,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.00506591796875,0.005126953125,0.016532402485609055,0.03953077644109726,0.057750362902879715,0.038821592926979065,-0.007302024147747943,0.013356642289636511,0.0,1.0
001-004,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.01025390625,-0.0023193359375,0.012561065144836903,0.03640441223978996,0.048650190234184265,0.03230734542012215,-0.009987571022747943,0.0011496110396365111,0.0,1.0
001-005,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.01434326171875,-0.002685546875,0.015025494620203972,0.021436288952827454,0.02258649282157421,0.04451703280210495,-0.017189719460247943,-0.002512498335363489,0.0,1.0
002-003,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.0150146484375,-0.00579833984375,0.01973715052008629,0.03522728011012077,0.0432039238512516,0.035129234194755554,-0.009614424272058386,0.0006426030938655458,0.0,1.0
002-004,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.0157470703125,-0.0072021484375,0.020346185192465782,0.03339789807796478,0.04003310576081276,0.035957593470811844,-0.012299971147058386,-0.010709935968634454,0.0,1.0
002-005,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.01953125,-0.01092529296875,0.02432437799870968,0.03720512613654137,0.041783012449741364,0.036996446549892426,-0.019624189897058386,-0.014372045343634454,0.0017485284269804495,1.0
003-004,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.0009765625,-0.0103759765625,0.014929680153727531,0.027606291696429253,0.03826092556118965,0.0374203622341156,-0.003103082830193671,-0.012354417280675989,0.0,1.0
003-005,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.0081787109375,-0.00750732421875,0.019390057772397995,0.03560933470726013,0.05630539357662201,0.03960896283388138,-0.01006109064269367,-0.01613859696817599,0.0,1.0
004-005,chess_to_chess_repeat,True,True,True,ok,chess_to_chess_repeat,88,88,1.0,-0.0032958984375,-0.0020751953125,0.010068180039525032,0.02485407330095768,0.03613410145044327,0.03401899337768555,-0.007206309925322785,-0.0036617625844428403,0.0,1.0
