row_type,group_left,group_right,common_v_start_px,common_v_end_px,overlap_point_count,e_delta_bias_mm,e_delta_rmse_mm,e_delta_p95_abs_mm,e_delta_max_abs_mm,u_delta_bias_px,u_delta_rmse_px,u_delta_p95_abs_px,truth_delta_rmse_mm,pair_count,e_delta_rmse_mm_median,e_delta_rmse_mm_p95,e_delta_rmse_mm_max,e_delta_p95_abs_mm_median,e_delta_p95_abs_mm_p95,e_delta_p95_abs_mm_max,u_delta_rmse_px_median,u_delta_rmse_px_p95,u_delta_rmse_px_max,u_delta_p95_abs_px_median,u_delta_p95_abs_px_p95,u_delta_p95_abs_px_max,truth_delta_rmse_mm_median,truth_delta_rmse_mm_p95,truth_delta_rmse_mm_max,e_delta_bias_std_mm,e_delta_bias_range_mm
pair,001,002,506.0,2562.0,2057,0.009429761553648504,0.018470604540751112,0.03464701325141798,0.15602215824229626,-0.01443954526543786,0.05122717004135746,0.10564078854949911,0.006589497662447985,,,,,,,,,,,,,,,,,,
pair,001,003,506.0,2562.0,2057,0.02502978343554581,0.0309963977381885,0.04940522452301451,0.1460949799957456,-0.04759545582733766,0.06599879677796874,0.11487118278055275,0.014781173705087228,,,,,,,,,,,,,,,,,,
pair,001,004,506.0,2562.0,2057,0.017861451634852338,0.02429887022819943,0.03931328616267523,0.162481158659394,-0.05200096089554956,0.07357301623025862,0.12013764364592115,0.003095697365557678,,,,,,,,,,,,,,,,,,
pair,001,005,506.0,2562.0,2057,0.02681378049975674,0.0326710891393886,0.05006978972528167,0.1996018534187524,-0.07942229927883114,0.09923840397850729,0.1535796509289866,0.0016436531727155403,,,,,,,,,,,,,,,,,,
pair,002,003,506.0,2562.0,2057,0.015600021881897309,0.022465530681075336,0.03907008499534115,0.14644975033739543,-0.033155910561899794,0.056553327646782496,0.10504882105760764,0.008246670924202126,,,,,,,,,,,,,,,,,,
pair,002,004,506.0,2562.0,2057,0.008431690081203836,0.01737029940940124,0.03269296383229061,0.156266666965846,-0.0375614156301117,0.0610990804913222,0.1093293477366387,0.003905557913565561,,,,,,,,,,,,,,,,,,
pair,002,005,506.0,2562.0,2057,0.017384018946108238,0.02595134154584287,0.04674466369140061,0.1745225655436479,-0.06498275401339329,0.08887409408384687,0.15577152789865065,0.005161721129516121,,,,,,,,,,,,,,,,,,
pair,003,004,506.0,2562.0,2057,-0.007168331800693475,0.019004754304252188,0.03276845493271797,0.16288856221788656,-0.004405505068211901,0.04846733502092673,0.07743933735309834,0.011858737147222461,,,,,,,,,,,,,,,,,,
pair,003,005,506.0,2562.0,2057,0.0017839970642109257,0.020326248743346098,0.037002985400741754,0.18222588202492188,-0.03182684345149349,0.06340487377118514,0.11316946937413352,0.013399305588337448,,,,,,,,,,,,,,,,,,
pair,004,005,506.0,2562.0,2057,0.0089523288649044,0.019684683482855427,0.03750510010487607,0.18389375504705743,-0.027421338383281587,0.062078249657542536,0.11382152333535481,0.002310937889343396,,,,,,,,,,,,,,,,,,
aggregate,all,all,,,,,,,,,,,,10,0.021395889712210715,0.03191747800884855,0.0326710891393886,0.03828759255010861,0.049770735384261446,0.05006978972528167,0.06274156171436385,0.09457446452591009,0.09923840397850729,0.11349549635474417,0.1547851832623018,0.15577152789865065,0.005875609395982053,0.014159333052549825,0.014781173705087228,0.010350794368859023,0.033982112300450215
