scope,u_start_px,u_end_px,v_start_px,v_end_px,lambda_start_mm,lambda_end_mm,point_count,unique_frame_count,frame_ids,frame_median_residual_mean_mm,frame_median_residual_std_mm,frame_median_residual_range_mm,between_frame_variance_mm2,within_frame_variance_mm2,between_fraction,contains_frame027,frame_median_residuals
all30,1824,1856,390,420,630.0,635.0,5,2,003;027,0.10336169303505471,0.02374865289429946,0.03358566701120935,0.0011403435606204839,0.002632783215371204,0.3022277353298759,True,003:0.120154527;027:0.0865688595
all30,1824,1856,420,450,630.0,635.0,15,2,003;027,-0.13779237050522397,0.2288586380839889,0.32365498984461283,0.027604676528063976,0.004392172496060854,0.8627310929038899,True,003:0.0240351244;027:-0.299619865
all30,1824,1856,450,480,630.0,635.0,33,2,003;027,0.009083817921123227,0.01989981082109224,0.028142582351847523,0.001283141119126603,0.003293991085004881,0.2803373514027831,True,003:0.0231551091;027:-0.00498747325
all30,1824,1856,480,510,630.0,635.0,25,2,003;027,0.10065578829286892,0.03281500518078051,0.046407425376003175,0.0006675900140565958,0.0006547475512041703,0.5048559699088232,True,003:0.123859501;027:0.0774520756
all30,1824,1856,510,540,635.0,640.0,23,2,003;027,0.000520941702404798,0.05787738885417943,0.08185098827232196,0.0024142074464523567,0.0009442589560358807,0.7188422205634413,True,003:-0.0404045524;027:0.0414464358
all30,1856,1888,570,600,635.0,640.0,32,2,003;027,0.0425775891283422,0.0054713643354425134,0.007737677647867258,1.5594742217297107e-06,0.0015644123502183813,0.0009958507537562347,True,003:0.046446428;027:0.0387087503
all30,1856,1888,600,630,640.0,645.0,17,2,027;028,0.03664204785954439,0.11635995832476284,0.16455783118004774,0.006993403831734244,0.0002861530614828345,0.9606908681832729,True,027:0.118920963;028:-0.0456368677
all30,1856,1888,660,690,640.0,645.0,17,2,027;028,-0.07164407278349927,0.059501532775271815,0.08414787463277662,0.0014224337366271307,0.0008940087967462529,0.6140595832332918,True,027:-0.0295701355;028:-0.11371801
all30,1856,1888,690,720,640.0,645.0,33,3,003;027;028,-0.053173417065636386,0.07656956626738347,0.1472323097459025,0.004884434885666856,0.0005285338428985984,0.9023578613877065,True,003:-0.0288544198;027:0.00828323919;028:-0.138949071
all30,1856,1888,720,750,640.0,645.0,32,3,003;027;028,-0.03628602780959985,0.0920974891885412,0.1840645655560138,0.005942172176236602,0.0011902667461528803,0.8331192514784098,True,003:-0.0402871012;027:0.0577467917;028:-0.126317774
all30,1856,1888,750,780,640.0,645.0,30,2,003;028,-0.12178809108348787,0.11813674938313908,0.16707059319230666,0.0051220381906574375,0.001331506567689011,0.7936782624824974,False,003:-0.0382527945;028:-0.205323388
all30,1856,1888,780,810,640.0,645.0,30,2,003;028,-0.069685920749464,0.022147537853856404,0.03132134840609524,0.0006830799760039654,0.0020173719298262095,0.25295024678248157,False,003:-0.0540252465;028:-0.085346595
all30,1856,1888,810,840,640.0,645.0,43,3,003;025;028,-0.09693168824086722,0.07747342455168878,0.15459395525999753,0.003704991342086348,0.0021271880183559174,0.6352670439486263,False,003:-0.0226518152;025:-0.090897479;028:-0.177245771
all30,1856,1888,840,870,640.0,645.0,47,3,003;025;028,-0.0831834519072648,0.10008533200640102,0.1998159157640771,0.005817033692644841,0.0021278748657334117,0.7321712578441857,False,003:0.0132858224;025:-0.0763060847;028:-0.186530093
all30,1856,1888,870,900,640.0,645.0,30,2,025;028,-0.08857518674454923,0.05232974509683433,0.07400543523147007,0.0014718782083037723,0.0006982130523560325,0.6782563641384628,False,025:-0.0515724691;028:-0.125577904
all30,1856,1888,900,930,640.0,645.0,26,2,025;028,-0.06273393279010975,0.023791377371555913,0.03364608854639073,0.0011461008873459495,0.003569083590442823,0.24306596968681562,False,025:-0.0459108885;028:-0.0795569771
all30,1856,1888,930,960,640.0,645.0,18,2,025;028,-0.037981655297528505,0.10739176578056822,0.15187489165407442,0.005093904267535244,0.002168685806533165,0.7013894789027663,False,025:0.0379557905;028:-0.113919101
all30,1856,1888,960,990,640.0,645.0,17,2,025;028,-0.10664004046824971,0.024069403007095744,0.03403927617085856,0.00022032092390094268,0.0006125810842726322,0.2645220226855646,False,025:-0.0896204024;028:-0.123659679
all30,1856,1888,1140,1170,640.0,645.0,17,2,026;028,-0.057213120885819535,0.03201087109952804,0.04527020805232951,0.00047906985998895715,0.000491800241778885,0.49344382849634194,False,026:-0.0345780169;028:-0.0798482249
all30,1856,1888,1170,1200,640.0,645.0,12,2,026;028,0.039492955673438246,0.07461529488997641,0.10552196199387254,0.0036785712539831946,0.004729685945851682,0.437495091617254,False,026:0.0922539367;028:-0.0132680253
all30,1856,1888,1200,1230,640.0,645.0,14,2,026;028,-0.03669002544666,0.015320929995408062,0.021667066987674843,0.0004350915234741353,0.0033463503772404634,0.11505968752076128,False,026:-0.025856492;028:-0.0475235589
all30,1856,1888,1230,1260,640.0,645.0,27,2,026;028,-0.0028383926510286983,0.02100960765889194,0.029712072091342634,7.48345568959279e-06,0.0025743204204641233,0.0028985376304963137,False,026:0.0120176434;028:-0.0176944287
all30,1856,1888,1260,1290,640.0,645.0,27,2,026;028,0.016422365632223546,0.01115304653022511,0.01577278966482254,0.0002981928551265596,0.0033490713292112927,0.0817579533742208,False,026:0.0243087605;028:0.0085359708
all30,1856,1888,1290,1320,640.0,645.0,16,2,026;028,-0.038015070110645865,0.032827949679986826,0.046425731662338876,0.00037906686219535727,0.003035330119601049,0.11102014915556772,False,026:-0.0148022043;028:-0.0612279359
all30,1856,1888,2160,2190,645.0,650.0,10,2,001;005,0.03128398675960398,0.019304360275560078,0.02730048811463348,0.0002181660192741906,0.0023161246324100333,0.08608563470381865,False,001:0.0449342308;005:0.0176337427
all30,1856,1888,2190,2220,645.0,650.0,10,2,001;005,-0.045789583730766026,0.0669804228683368,0.09472462243388691,0.0032892067150467256,0.0028076918805715464,0.5394885060759609,False,001:-0.0931518949;005:0.00157272749
all30,1856,1888,2220,2250,645.0,650.0,14,3,001;005;016,0.028582140845837028,0.023676865805301314,0.046267814205236846,2.5995963619759915e-05,0.0014066348344540065,0.01814561271104363,False,001:0.0344035171;005:0.0488053598;016:0.00253754559
all30,1856,1888,2250,2280,645.0,650.0,18,3,001;005;016,0.040222240205821436,0.06771905658336434,0.12081143342845735,0.0025802476181233653,0.0031937949607472103,0.44687020971502284,False,001:-0.0378566201;005:0.0829548133;016:0.0755685274
all30,1856,1888,2280,2310,640.0,645.0,33,2,001;028,-0.03528422359389083,0.016506742752014716,0.023344059470502998,0.000722919661196261,0.005033322166365119,0.12558882737255053,False,001:-0.0469562533;028:-0.0236121939
all30,1856,1888,2280,2310,645.0,650.0,23,2,005;016,0.04378865235247531,0.008879866788603315,0.012558028044509228,5.846314637978588e-06,0.0020214248635930946,0.002883834536176793,False,005:0.0500676664;016:0.0375096383
all30,1856,1888,2310,2340,640.0,645.0,45,2,001;028,-0.06201170496348141,0.016660404789346543,0.02356137040771955,5.527947460703008e-05,0.0015762199669164308,0.03388261938686981,False,001:-0.0502310198;028:-0.0737923902
all30,1856,1888,2310,2340,645.0,650.0,24,2,005;016,0.013616812523366661,0.023447667428897548,0.03316000928396079,0.0011006470869033287,0.0014931525040165184,0.4243377517508987,False,005:0.0301968172;016:-0.00296319212
all30,1856,1888,2340,2370,640.0,645.0,45,2,001;028,-0.0675567989718786,0.006731236642492245,0.00951940615135527,3.166813564074556e-05,0.000531690486146406,0.05621310194966791,False,001:-0.072316502;028:-0.0627970959
all30,1856,1888,2340,2370,645.0,650.0,23,2,005;016,0.017983661770188064,0.027215913384459448,0.03848911382067399,0.0006648976514111937,0.0013677499133128235,0.3271091668572019,False,005:0.0372282187;016:-0.00126089514
all30,1856,1888,2370,2400,640.0,645.0,39,3,001;016;028,-0.03874032527134356,0.04957993582731218,0.09772361105586924,0.0012667073077815526,0.0009592451190344785,0.5690630637571314,False,001:-0.0827477858;016:0.0149758253;028:-0.0484490153
all30,1856,1888,2370,2400,645.0,650.0,19,2,005;016,0.007810750890030249,0.043538554346274835,0.06157281404261994,0.001094426561629265,0.000904143418096634,0.5476048238147578,False,005:0.0385971579;016:-0.0229756561
all30,1856,1888,2400,2430,640.0,645.0,34,2,016;028,-0.039916029020361066,0.0339694680684129,0.048040082448949306,0.0004163966801847788,0.0013313353019066409,0.23824973419923268,False,016:-0.0158959878;028:-0.0639360702
all30,1856,1888,2430,2460,640.0,645.0,34,2,016;028,-0.018348762089090087,0.021192312694397884,0.029970456030468995,0.00033551497883463143,0.0005311882434524982,0.38711633948844243,False,016:-0.00336353407;028:-0.0333339901
all30,1856,1888,2460,2490,640.0,645.0,33,2,016;028,-0.025517269258074293,0.045677521877670206,0.06459777093499497,0.0007449460899995696,0.00112811877145513,0.3977150526549378,False,016:0.00678161621;028:-0.0578161547
all30,1856,1888,2490,2520,640.0,645.0,29,2,016;028,-0.029651574770241496,0.04227693865076307,0.05978862001552443,0.0007713628708635892,0.0009136596180059992,0.4577760094947246,False,016:0.000242735238;028:-0.0595458848
