scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
all30,bias_mm,board_center_z_mm,pose_depth,30,-0.27331036547405096,0.14391549738162868,-0.3263626251390434,0.0783802502072956,-0.0009027483425528817,-0.0006991502954564507
all30,bias_mm,board_tilt_deg,pose_orientation,30,0.29796480903179234,0.10976692441672208,0.07630700778642936,0.6885846533599633,0.0024789412559583614,0.000458681139846221
all30,bias_mm,board_roll_deg,pose_orientation,30,-0.35301911494415605,0.05568035939673073,-0.06740823136818688,0.7233952866667432,-0.0020998778381130555,-0.00033391408730473553
all30,bias_mm,board_pitch_deg,pose_orientation,30,0.16851190660737767,0.3733861480405529,0.2462736373748609,0.1895561497643769,0.0014755769105897001,0.0012659085774303408
all30,bias_mm,board_nx,pose_orientation,30,0.16859751121722713,0.373139876127471,0.2462736373748609,0.1895561497643769,0.08600316409356015,0.0726805084494342
all30,bias_mm,board_ny,pose_orientation,30,0.3469446643643205,0.06033075555826045,0.06740823136818688,0.7233952866667432,0.1210452820328225,0.01945314273756022
all30,bias_mm,board_nz,pose_orientation,30,0.4411915498971711,0.014666563957788842,0.07630700778642936,0.6885846533599633,0.9586961991795525,0.12617366222112436
all30,bias_mm,pnp_rmse_px,pnp,30,0.2618956891691738,0.16209782880254814,0.06162402669632924,0.7463209997659643,0.6039062987223786,0.10021659681192739
all30,bias_mm,u_center_px,coverage,30,-0.2075271680769472,0.27115434613394074,-0.21379310344827587,0.256621454939998,-0.00018822613505436214,-0.00010181017370177433
all30,bias_mm,u_span_px,coverage,30,0.32361661021012594,0.0810727179230108,0.17730812013348163,0.34858023571858665,0.00025892002005760184,0.0001168366080022386
all30,bias_mm,v_center_px,coverage,30,-0.18418521442937655,0.3298941997971955,-0.11768631813125695,0.5356772351954262,-4.261540145886396e-05,-1.4614032100346369e-05
all30,bias_mm,v_span_px,coverage,30,-0.3126460618646375,0.09254237035084178,-0.2449388209121246,0.1920438013514832,-6.196258059105622e-05,-3.3851373887432975e-05
all30,bias_mm,lambda_span_mm,coverage,30,0.3171783418502722,0.08766331817944709,0.09810901001112346,0.606008850375706,0.000848122133031936,0.00018702075090384551
all30,bias_mm,chess_to_laser_s,acquisition_timing,30,-0.1733014249485976,0.3597539732314904,-0.3343715239154616,0.07091939636872743,-0.0008370023876630511,-0.001265591614491805
all30,bias_mm,nolaser_to_laser_s,acquisition_timing,30,-0.18176876502759542,0.3363888700281676,-0.2943270300333704,0.11438288816004179,-0.0009165405704777681,-0.0011527059907053432
all30,bias_mm,chess_focus_laplacian,image_quality,30,-0.2897169021004403,0.12043817362986242,-0.4122358175750834,0.023592933648307175,-0.0012665599801066193,-0.0013898269498499578
all30,bias_mm,chess_mean_dn,image_quality,30,-0.26979883071309685,0.14934376428402812,-0.2520578420467186,0.17903581173913882,-0.001524483366540992,-0.0011225290317120407
all30,bias_mm,laser_mean_dn,image_quality,30,-0.007714165597038445,0.967728492980173,-0.08565072302558399,0.6526939314208455,-0.03492935951072737,-0.26494982139760526
all30,bias_mm,laser_p99_dn,image_quality,30,nan,nan,nan,nan,nan,nan
all30,bias_mm,laser_dynamic_range_u8,image_quality,30,0.4071038561247102,0.02556419311135513,0.08622856039367982,0.650498119866123,0.012409113485416996,0.0024330508809319576
all30,bias_mm,laser_coverage,image_quality,30,-0.020233179690959727,0.9154844876015944,0.01491042700189139,0.9376675653998201,-0.015919550238390347,0.0377101133352041
all30,bias_mm,quality_warning_count,image_quality,30,-0.16690326231757865,0.37803164740437756,-0.2643627573937917,0.15803588081416844,-0.0272859942110246,-0.024383555298749998
all30,bias_mm,acquisition_order,acquisition_order,30,-0.22703382982427533,0.2276212694681788,-0.49632925472747497,0.005276659496342741,-0.0016973234490481864,-0.002350239045851255
all30,a_frame_mm,board_center_z_mm,pose_depth,30,-0.26948429745772395,0.14983708828165304,-0.3236929922135706,0.08099687862909574,-0.0008813994218263235,-0.0006991502954564514
all30,a_frame_mm,board_tilt_deg,pose_orientation,30,0.2924810686916668,0.11677971561754966,0.07408231368186874,0.6972322835738773,0.0024095043865505392,0.00042684484152940314
all30,a_frame_mm,board_roll_deg,pose_orientation,30,-0.34526445875121825,0.06166932365488598,-0.055394883203559515,0.7712493167085641,-0.002033650805434852,-0.0003105545905617172
all30,a_frame_mm,board_pitch_deg,pose_orientation,30,0.1698685737883664,0.36949441220184953,0.24671857619577306,0.18873194299723545,0.001472899107523891,0.001340043097599564
all30,a_frame_mm,board_nx,pose_orientation,30,0.16994125035540802,0.3692866072061446,0.24671857619577306,0.18873194299723545,0.08584021156297952,0.07826831431967765
all30,a_frame_mm,board_ny,pose_orientation,30,0.33918894940670985,0.06670427625022876,0.055394883203559515,0.7712493167085641,0.11718122898932153,0.018061218038800793
all30,a_frame_mm,board_nz,pose_orientation,30,0.4358707233986235,0.01605294744070475,0.07408231368186874,0.6972322835738773,0.937864762974727,0.11142801756005973
all30,a_frame_mm,pnp_rmse_px,pnp,30,0.2544890343573367,0.1747388631327128,0.05761957730812013,0.7623192630766409,0.5810840880515836,0.08721615378267732
all30,a_frame_mm,u_center_px,coverage,30,-0.20395524377355828,0.27967267995604084,-0.21156840934371526,0.2617215525946962,-0.0001831759871856836,-0.0001010168644571859
all30,a_frame_mm,u_span_px,coverage,30,0.3174770156400728,0.08734881943450305,0.17819799777530587,0.3461271818881001,0.000251521906782447,0.00011207221403332704
all30,a_frame_mm,v_center_px,coverage,30,-0.18566350134496767,0.3259591349920622,-0.11457174638487205,0.5466011942416222,-4.2537019512477486e-05,-1.5478699057276438e-05
all30,a_frame_mm,v_span_px,coverage,30,-0.31441996855971266,0.09060878154780239,-0.24315906562847608,0.19539583425127272,-6.170428924273097e-05,-3.7001819327687754e-05
all30,a_frame_mm,lambda_span_mm,coverage,30,0.3102675522642733,0.09518392245563359,0.0967741935483871,0.6109428677788464,0.0008215233883879894,0.00015618267504431538
